"","LiBlock","COM_WBSM_AncSPLRada_UBSM_AncSPLRada","WBSM_AncSPLRada","UBSM_AncSPLRada","bio_embedding_intrinsic","BlockDistance","bioc_skipgram_defaultchar_Min","bio_embedding_extrinsic","Sent2vec_BioSentVec_PubMed_MIMICIII.bigram_d700","PubMed_SkipGramNegSampling","Jaccard","bioconceptvec_word2vec_skipgram","PubMed.and.PMC.w2v","Qgram","PubMed_CBOW","bioconceptvec_word2vec_cbow","PubMed_Glove","BioNLP2016_PubMed.shuffle.win.30","scibert_scivocab_uncased_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.biosses_ner.none","bioconceptvec_glove","UBSM_AncSPLCosineNormWeightedJiangConrath","WBSM_AncSPLCosineNormWeightedJiangConrath","UBSM_AncSPLWeightedJiangConrath","biobert_v1.1_pubmed_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none","BioNLP2016_PubMed.shuffle.win.2","ncbi_bert_pubmed_mimic_uncased_l.12_h.768_a.12_tok.wordpiecetokenizer_lc_sw.biosses2017stopwords_cf.biosses_ner.none","oubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none","OverlapCoefficient","biobert_large_v1.1_pubmed_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none","USE","pubmedbert.base.uncased.abstract.fulltext_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none","UBSM_AncSPLCaiStrategy1","UBSM_JiangConrath","ncbi_bert_pubmed_uncased_l.12_h.768_a.12_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none","ncbi_bert_pubmed_mimic_uncased_l.24_h.1024_a.16_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","biobert_v1.0_pmc_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","ncbi_bert_pubmed_uncased_l.24_h.1024_a.16_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","WBSM_AncSPLWeightedJiangConrath","WBSM_JiangConrath","biobert_v1.0_pubmed_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","Levenshtein","biobert_v1.0_pubmed_pmc_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none","WBSM_AncSPLCaiStrategy1","bio.clinicalbert_tok.wordpiecetokenizer_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none","clinicalbert_tok.wordpiecetokenizer_notlc_sw.biosses2017stopwords_cf.blagec2019_ner.none","dischargesummarybert_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none","pubmedbert.base.uncased.abstract_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none","bio.dischargesummarybert_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.blagec2019_ner.none","bioconceptvec_fasttext","Flair"
"LiBlock",NA,0.121,0.098,0,0.003,0,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027
"COM_WBSM_AncSPLRada_UBSM_AncSPLRada",0.121,NA,0.088,0,0.004,0.003,0.003,0,0.001,0.001,0,0,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033
"WBSM_AncSPLRada",0.098,0.088,NA,0.041,0.018,0.011,0.008,0,0.002,0.002,0.001,0.001,0,0.001,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039
"UBSM_AncSPLRada",0,0,0.041,NA,0.049,0.01,0.011,0.001,0.001,0.001,0,0.001,0,0.001,0,0,0,0,0,0.002,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032
"bio_embedding_intrinsic",0.003,0.004,0.018,0.049,NA,0.063,0.032,0.007,0.022,0.023,0.001,0.006,0.006,0.004,0.005,0.003,0,0,0.001,0.003,0,0.001,0,0,0,0.002,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038
"BlockDistance",0,0.003,0.011,0.01,0.063,NA,0.178,0.15,0.083,0.085,0.003,0.067,0.032,0.006,0.029,0.031,0.004,0.002,0.007,0.017,0,0.007,0.001,0.001,0,0.007,0,0,0.003,0,0,0.001,0.001,0,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.024
"bioc_skipgram_defaultchar_Min",0.002,0.003,0.008,0.011,0.032,0.178,NA,0.214,0.15,0.139,0.12,0.072,0.049,0.067,0.04,0.031,0.009,0.007,0.008,0.012,0.002,0.007,0.001,0,0.001,0.006,0,0.001,0.002,0,0,0.001,0.001,0,0.001,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.028
"bio_embedding_extrinsic",0,0,0,0.001,0.007,0.15,0.214,NA,0.182,0.178,0.13,0.079,0.037,0.055,0.018,0.008,0,0.006,0.001,0.004,0,0.001,0,0,0,0.002,0,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051
"Sent2vec_BioSentVec_PubMed_MIMICIII.bigram_d700",0,0.001,0.002,0.001,0.022,0.083,0.15,0.182,NA,0.248,0.194,0.169,0.088,0.08,0.05,0.057,0.017,0.004,0.014,0.031,0,0.013,0.002,0.002,0,0.013,0,0.001,0.004,0,0,0.002,0.001,0,0.003,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.025
"PubMed_SkipGramNegSampling",0,0.001,0.002,0.001,0.023,0.085,0.139,0.178,0.248,NA,0.195,0.137,0.045,0.097,0.041,0.048,0.013,0.002,0.018,0.024,0.002,0.013,0.002,0.001,0,0.013,0,0.001,0.004,0,0,0.002,0.002,0,0.003,0,0,0.001,0.001,0,0,0,0,0.001,0,0,0,0,0,0.022
"Jaccard",0,0,0.001,0,0.001,0.003,0.12,0.13,0.194,0.195,NA,0.214,0.131,0.078,0.095,0.079,0.024,0.007,0.024,0.034,0,0.016,0.002,0.003,0.001,0.017,0,0,0.008,0,0,0.002,0.001,0,0.004,0,0,0.001,0.001,0,0,0,0,0.002,0,0.001,0,0,0,0.03
"bioconceptvec_word2vec_skipgram",0,0,0.001,0.001,0.006,0.067,0.072,0.079,0.169,0.137,0.214,NA,0.09,0.156,0.072,0.044,0.018,0.006,0.026,0.014,0.006,0.011,0.004,0.002,0,0.011,0,0.002,0.005,0,0,0.002,0.002,0,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.039
"PubMed.and.PMC.w2v",0,0,0,0,0.006,0.032,0.049,0.037,0.088,0.045,0.131,0.09,NA,0.225,0.095,0.083,0.03,0.027,0.034,0.031,0.009,0.016,0.004,0.003,0.002,0.014,0,0.004,0.006,0,0,0.002,0.001,0,0.003,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.047
"Qgram",0,0.001,0.001,0.001,0.004,0.006,0.067,0.055,0.08,0.097,0.078,0.156,0.225,NA,0.205,0.173,0.103,0.035,0.04,0.068,0.009,0.032,0.012,0.008,0.003,0.027,0,0.005,0.014,0,0,0.004,0.003,0.001,0.007,0,0,0.001,0.001,0.001,0,0,0.001,0.003,0.001,0.001,0,0,0,0.038
"PubMed_CBOW",0,0,0,0,0.005,0.029,0.04,0.018,0.05,0.041,0.095,0.072,0.095,0.205,NA,0.147,0.111,0.067,0.041,0.052,0.017,0.016,0.007,0.007,0.005,0.015,0.002,0.016,0.007,0.001,0,0.001,0.001,0,0.002,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.07
"bioconceptvec_word2vec_cbow",0,0,0,0,0.003,0.031,0.031,0.008,0.057,0.048,0.079,0.044,0.083,0.173,0.147,NA,0.199,0.098,0.068,0.038,0.04,0.009,0.012,0.014,0.008,0.015,0.004,0.027,0.01,0.002,0,0.001,0.001,0.001,0.002,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092
"PubMed_Glove",0,0,0,0,0,0.004,0.009,0,0.017,0.013,0.024,0.018,0.03,0.103,0.111,0.199,NA,0.107,0.056,0.069,0.034,0.023,0.003,0.005,0.008,0.019,0.001,0.018,0.008,0,0,0.001,0.001,0,0.003,0,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0.069
"BioNLP2016_PubMed.shuffle.win.30",0,0,0,0,0,0.002,0.007,0.006,0.004,0.002,0.007,0.006,0.027,0.035,0.067,0.098,0.107,NA,0.232,0.212,0.17,0.157,0.143,0.102,0,0.116,0.023,0.037,0.086,0.02,0.014,0.056,0.045,0.005,0.042,0.011,0.002,0.012,0.012,0.007,0.004,0.002,0.006,0.012,0.004,0.004,0,0.002,0,0.035
"scibert_scivocab_uncased_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0,0,0,0,0.001,0.007,0.008,0.001,0.014,0.018,0.024,0.026,0.034,0.04,0.041,0.068,0.056,0.232,NA,0.225,0.198,0.108,0.09,0.045,0.096,0.026,0.024,0.103,0.006,0.013,0.002,0.003,0.001,0.007,0.002,0.001,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0.124
"bioconceptvec_glove",0.001,0.001,0.001,0.002,0.003,0.017,0.012,0.004,0.031,0.024,0.034,0.014,0.031,0.068,0.052,0.038,0.069,0.212,0.225,NA,0.233,0.135,0.164,0.121,0.108,0.071,0.079,0.115,0.058,0.044,0.033,0.028,0.017,0.022,0.016,0.016,0.011,0.002,0.002,0.003,0,0.004,0.001,0.001,0,0,0,0,0,0.148
"UBSM_AncSPLCosineNormWeightedJiangConrath",0,0,0,0,0,0,0.002,0,0,0.002,0,0.006,0.009,0.009,0.017,0.04,0.034,0.17,0.198,0.233,NA,0.194,0.168,0.141,0.091,0.133,0.024,0.065,0.097,0.025,0.009,0.038,0.029,0.007,0.033,0.004,0.001,0.005,0.005,0.005,0.003,0,0.002,0.01,0.003,0.003,0,0.001,0,0.064
"WBSM_AncSPLCosineNormWeightedJiangConrath",0,0,0,0,0.001,0.007,0.007,0.001,0.013,0.013,0.016,0.011,0.016,0.032,0.016,0.009,0.023,0.157,0.108,0.135,0.194,NA,0.248,0.191,0.172,0.103,0.115,0.157,0.077,0.08,0.038,0.008,0.003,0.033,0.013,0.016,0.014,0,0,0.004,0,0.002,0,0.001,0,0,0,0,0,0.161
"UBSM_AncSPLWeightedJiangConrath",0,0,0,0,0,0.001,0.001,0,0.002,0.002,0.002,0.004,0.004,0.012,0.007,0.012,0.003,0.143,0.09,0.164,0.168,0.248,NA,0.175,0.164,0.134,0.072,0.135,0.071,0.039,0.017,0.002,0.001,0.017,0.021,0.003,0.004,0.001,0.001,0.002,0.001,0,0,0.004,0.001,0.001,0,0,0,0.107
"biobert_v1.1_pubmed_tok.wordpiecetokenizer_notlc_sw.nltk2018stopwords_cf.blagec2019_ner.none",0,0,0,0,0,0.001,0,0,0.002,0.001,0.003,0.002,0.003,0.008,0.007,0.014,0.005,0.102,0.045,0.121,0.141,0.191,0.175,NA,0.22,0.181,0.133,0.182,0.101,0.062,0.052,0.083,0.061,0.017,0.029,0.005,0.004,0.008,0.008,0.001,0.001,0.001,0.002,0.005,0.001,0.001,0,0,0,0.109
