"","UBSM_Ctakes_AncSPLRada","UBSM_MetamapLite_AncSPLRada","COM_WBSM_UBSM_MetamapLite_AncSPLWeightedJiangConrath","COM_WBSM_UBSM_Ctakes_AncSPLWeightedJiangConrath","COM_WBSM_UBSM_Metamap_AncSPLWeightedJiangConrath","UBSM_MetamapLite_AncSPLCosineNormWeightedJiangConrath","UBSM_Metamap_AncSPLRada","UBSM_Ctakes_AncSPLCosineNormWeightedJiangConrath","UBSM_MetamapLite_AncSPLWeightedJiangConrath","UBSM_MetamapLite_AncSPLCaiStrategy1","UBSM_MetamapLite_JiangConrath","UBSM_Metamap_AncSPLCosineNormWeightedJiangConrath","UBSM_Ctakes_AncSPLWeightedJiangConrath","UBSM_Ctakes_AncSPLCaiStrategy1","UBSM_Ctakes_JiangConrath","UBSM_Metamap_AncSPLWeightedJiangConrath","UBSM_Metamap_AncSPLCaiStrategy1","UBSM_Metamap_JiangConrath"
"UBSM_Ctakes_AncSPLRada",NA,0.015,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UBSM_MetamapLite_AncSPLRada",0.015,NA,0.211,0.026,0.011,0,0.001,0,0,0,0,0,0,0,0,0,0,0
"COM_WBSM_UBSM_MetamapLite_AncSPLWeightedJiangConrath",0.004,0.211,NA,0.007,0.003,0,0.001,0,0,0,0,0,0,0,0,0,0,0
"COM_WBSM_UBSM_Ctakes_AncSPLWeightedJiangConrath",0,0.026,0.007,NA,0.076,0.016,0.013,0,0.001,0,0,0,0,0,0,0,0,0
"COM_WBSM_UBSM_Metamap_AncSPLWeightedJiangConrath",0,0.011,0.003,0.076,NA,0.055,0.044,0.001,0,0,0,0,0,0,0,0,0,0
"UBSM_MetamapLite_AncSPLCosineNormWeightedJiangConrath",0,0,0,0.016,0.055,NA,0.182,0.023,0,0,0,0,0,0,0,0,0,0
"UBSM_Metamap_AncSPLRada",0,0.001,0.001,0.013,0.044,0.182,NA,0.026,0.027,0.007,0.005,0,0,0,0,0,0,0
"UBSM_Ctakes_AncSPLCosineNormWeightedJiangConrath",0,0,0,0,0.001,0.023,0.026,NA,0.163,0.038,0.03,0.004,0,0,0,0.001,0.001,0.001
"UBSM_MetamapLite_AncSPLWeightedJiangConrath",0,0,0,0.001,0,0,0.027,0.163,NA,0.002,0.001,0.006,0.002,0,0,0,0,0
"UBSM_MetamapLite_AncSPLCaiStrategy1",0,0,0,0,0,0,0.007,0.038,0.002,NA,0.035,0.112,0.071,0.001,0,0,0,0
"UBSM_MetamapLite_JiangConrath",0,0,0,0,0,0,0.005,0.03,0.001,0.035,NA,0.149,0.099,0.001,0,0,0,0
"UBSM_Metamap_AncSPLCosineNormWeightedJiangConrath",0,0,0,0,0,0,0,0.004,0.006,0.112,0.149,NA,0.146,0.002,0.001,0,0,0.001
"UBSM_Ctakes_AncSPLWeightedJiangConrath",0,0,0,0,0,0,0,0,0.002,0.071,0.099,0.146,NA,0,0,0.016,0.006,0.004
"UBSM_Ctakes_AncSPLCaiStrategy1",0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0,NA,0.009,0.165,0.028,0.014
"UBSM_Ctakes_JiangConrath",0,0,0,0,0,0,0,0,0,0,0,0.001,0,0.009,NA,0.222,0.033,0.015
"UBSM_Metamap_AncSPLWeightedJiangConrath",0,0,0,0,0,0,0,0.001,0,0,0,0,0.016,0.165,0.222,NA,0.001,0.001
"UBSM_Metamap_AncSPLCaiStrategy1",0,0,0,0,0,0,0,0.001,0,0,0,0,0.006,0.028,0.033,0.001,NA,0.002
"UBSM_Metamap_JiangConrath",0,0,0,0,0,0,0,0.001,0,0,0,0.001,0.004,0.014,0.015,0.001,0.002,NA
