"","Human","Human","Human","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min.2","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min","[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min","[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min","[TOK]  bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none_Min","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min.1","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average.1","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum.1","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum","[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Min","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max.2","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max","[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max","[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max","[TOK]  bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none_Max","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max.1","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Max","[TOK]  bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none_Average","[TOK]  bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none_Sum","[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Max","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average.2","[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum.2","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum","[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average","[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum","[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average","[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Average","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Sum","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Max","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.biosses_ner.none_Min","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Average","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Sum","[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Average","[TOK]  bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none_Sum","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Max","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.blagec2019_ner.none_Min","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Average","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Sum","[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Average","[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Sum","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Max","[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.none_ner.none_Min","[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Max","[LC]  bioc_skipgram_defaultchar__tok.whitespace_notlc_sw.user_cf.default_ner.none_Min"
"Human",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Human",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Human",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min.2",0,0,0,NA,NA,NA,NA,0.16,0.024,0.018,0.026,0.026,0.022,0.022,0.042,0,0,0,0,0.003,0,0,0.001,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.001,0.001,0,0,0,0,0,0,0,0
"[CF]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min",0,0,0,NA,NA,NA,NA,0.16,0.024,0.018,0.026,0.026,0.022,0.022,0.042,0,0,0,0,0.003,0,0,0.001,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.001,0.001,0,0,0,0,0,0,0,0
"[TOK]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min",0,0,0,NA,NA,NA,NA,0.16,0.024,0.018,0.026,0.026,0.022,0.022,0.042,0,0,0,0,0.003,0,0,0.001,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.001,0.001,0,0,0,0,0,0,0,0
"[LC]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min",0,0,0,NA,NA,NA,NA,0.16,0.024,0.018,0.026,0.026,0.022,0.022,0.042,0,0,0,0,0.003,0,0,0.001,0.001,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.001,0.001,0,0,0,0,0,0,0,0
"[TOK]  bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none_Min",0,0,0,0.16,0.16,0.16,0.16,NA,0.201,0.181,0.078,0.078,0.07,0.07,0.054,0.006,0.006,0.006,0.006,0.001,0.002,0.001,0.002,0.002,0.006,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0,0,0,0,0.002,0.002,0.003,0.003,0.001,0.001,0,0,0,0,0,0,0,0
"[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min.1",0,0,0,0.024,0.024,0.024,0.024,0.201,NA,0.016,0.068,0.068,0.056,0.056,0.07,0.001,0.001,0.001,0.001,0.016,0,0,0.002,0.002,0.009,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,0,0.003,0.003,0.004,0.004,0.001,0.001,0,0,0,0,0,0,0,0
"[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Min",0,0,0,0.018,0.018,0.018,0.018,0.181,0.016,NA,0.083,0.083,0.07,0.07,0.075,0.001,0.001,0.001,0.001,0.019,0,0,0.003,0.003,0.01,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0,0,0.003,0.003,0.004,0.004,0.001,0.001,0,0,0,0,0,0,0,0
"[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average.1",0,0,0,0.026,0.026,0.026,0.026,0.078,0.068,0.083,NA,NA,0.042,0.042,0.135,0.037,0.037,0.037,0.037,0.087,0.006,0.007,0.001,0.001,0.023,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.004,0.004,0.005,0.005,0.002,0.002,0,0,0,0,0,0,0,0
"[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Sum.1",0,0,0,0.026,0.026,0.026,0.026,0.078,0.068,0.083,NA,NA,0.042,0.042,0.135,0.037,0.037,0.037,0.037,0.087,0.006,0.007,0.001,0.001,0.023,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.004,0.004,0.005,0.005,0.002,0.002,0,0,0,0,0,0,0,0
"[SW]  bioc_skipgram_defaultchar__tok.whitespace_lc_sw.user_cf.default_ner.none_Average",0,0,0,0.022,0.022,0.022,0.022,0.07,0.056,0.07,0.042,0.042,NA,NA,0.142,0.044,0.044,0.044,0.044,0.095,0.008,0.008,0.001,0.001,0.026,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.004,0.004,0.006,0.006,0.002,0.002,0,0,0,0,0,0,0,0
