"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"WBSM.AncSPLRada",0.753066916037064,0.77318965439181,0.76299563235425,0.762006106551136,0.698737673576507,0.729001733755261,0.786500305872642,0.754724463242713,0.770284819041253,0.754094061716921
"UBSM.AncSPLCosineNormWeightedJiangConrath",0.648047059204001,0.686123113998731,0.666541757879944,0.717755406462413,0.644742004044667,0.679292387064784,0.726368328204434,0.703692502644166,0.714850635287068,0.686894926743932
"WBSM.CosineNormJiangConrath",0.54619693653146,0.560904346851108,0.553452950575956,0.691567082482339,0.62679019175492,0.657587245447225,0.640835220488347,0.592129445372972,0.615520321368093,0.608853505797091
"WBSM.AncSPLCosineNormWeightedJiangConrath",0.54619693653146,0.560904346851108,0.553452950575956,0.691567082482339,0.62679019175492,0.657587245447225,0.640835220488347,0.592129445372972,0.615520321368093,0.608853505797091
"WBSM.Resnik",0.55155027760449,0.565747830707149,0.558558849709664,0.68884241902496,0.620908644975735,0.65311374772568,0.627530692361465,0.580915098936223,0.6033238013055,0.604998799580281
"UBSM.Resnik",0.435267297022665,0.462664811021008,0.448548080454255,0.647609953373148,0.577374704284692,0.610478838217556,0.55366547088632,0.529405420548392,0.541263741414779,0.533430220028863
"UBSM.CosineNormJiangConrath",0.424257365085938,0.452382147015095,0.437868599476096,0.646305205141547,0.581104938879172,0.611973346579625,0.537512175260592,0.5115229575589,0.524195632751084,0.524679192935602
"WBSM.JiangConrath",0.422578829110862,0.440985951778524,0.431586213983818,0.643464999293243,0.588386206300799,0.614694255446088,0.542819267597802,0.505293274878624,0.523384492172278,0.523221653867394
"UBSM.AncSPLRada",0.386497578211847,0.408154444861371,0.397030901312601,0.667532936996658,0.611844793655581,0.638476881861629,0.517947738168473,0.495317654486009,0.506379988255305,0.513962590476511
"UBSM.JiangConrath",0.398692166254414,0.432321388766242,0.414826328557409,0.639902334040097,0.580417914162443,0.608710342286458,0.518574401407722,0.486794218233679,0.502182016421621,0.508572895755163
"UBSM.Cai",0.372523918403159,0.41723666244338,0.393614571718074,0.636677807202514,0.582916189555465,0.608612050134037,0.498949546340157,0.462549782076141,0.48006066589098,0.49409576258103
"WBSM.Cai",0.382783307974326,0.401936869247604,0.392126337192244,0.619675105353001,0.571577497150571,0.594655314951344,0.485995727832404,0.443769277242164,0.463923618776485,0.483568423640024
