"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"[SW]  oubiobert.base.uncasedoubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.686991080160575,0.728781666025613,0.707269588700384,0.707410757706488,0.583471482492958,0.639491334959724,0.670139635147269,0.694688144208596,0.682193118491176,0.676318014050428
"[CF]  oubiobert.base.uncasedoubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.686991080160575,0.728781666025613,0.707269588700384,0.707410757706488,0.583471482492958,0.639491334959724,0.670139635147269,0.694688144208596,0.682193118491176,0.676318014050428
"[LC]  oubiobert.base.uncasedoubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.686991080160575,0.728781666025613,0.707269588700384,0.707410757706488,0.583471482492958,0.639491334959724,0.670139635147269,0.694688144208596,0.682193118491176,0.676318014050428
"[LC]  oubiobert.base.uncasedoubiobert.base.uncased_tok.wordpiecetokenizer_notlc_sw.nonestopwords_cf.default_ner.none",0.686991080160575,0.728781666025613,0.707269588700384,0.707410757706488,0.583471482492958,0.639491334959724,0.670139635147269,0.694688144208596,0.682193118491176,0.676318014050428
"[SW]  oubiobert.base.uncasedoubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none",0.625156312293452,0.639351917464752,0.632174433623798,0.724632190941827,0.622898207694882,0.669924913652903,0.67643378666962,0.707713813731986,0.691720355202329,0.66460656749301
"[CF]  oubiobert.base.uncasedoubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.691427016894891,0.708208908104741,0.699717353524458,0.682489861684325,0.56350300008741,0.6173150687902,0.656794126385012,0.690811790828567,0.673373604045707,0.663468675453455
"[CF]  oubiobert.base.uncasedoubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.biosses_ner.none",0.681339397004141,0.71022100214444,0.695480483113549,0.681958642646835,0.563876742858748,0.617321714656574,0.661953486056463,0.686730520089241,0.674114410318484,0.662305536029536
"[CF]  oubiobert.base.uncasedoubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.nonestopwords_cf.none_ner.none",0.653153914355916,0.66495491048487,0.659001585405274,0.688945182222733,0.56966880090339,0.623655197076677,0.682808607874917,0.710550943361296,0.696403595224626,0.659686792568859
"[SW]  oubiobert.base.uncasedoubiobert.base.uncased_tok.wordpiecetokenizer_lc_sw.biosses2017stopwords_cf.default_ner.none",0.608032855246983,0.626556445188344,0.617155687655703,0.73048065826577,0.621634376179548,0.671676413240314,0.668767318270106,0.696257957550351,0.682235816937964,0.657022639277993
