"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"COM_WBSM_UBSM_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.793827793645601,0.807647581724881,0.80067805937453,0.773809912005671,0.710110481467927,0.740593001613436,0.790848437138781,0.787186857348225,0.789013399186882,0.776761486724949
"UBSM_AncSPLWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.792629969137516,0.804150743081349,0.798348794913443,0.765710328263977,0.703613537096474,0.733349760611083,0.780628582312346,0.802808378007259,0.79156313979912,0.774420565107882
"UBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.792629969137516,0.804150743081349,0.798348794913443,0.765710328263977,0.703613537096474,0.733349760611083,0.780628582312346,0.802808378007259,0.79156313979912,0.774420565107882
"UBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.792629969137516,0.804150743081349,0.798348794913443,0.765710328263977,0.703613537096474,0.733349760611083,0.780628582312346,0.802808378007259,0.79156313979912,0.774420565107882
"UBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.792629969137516,0.804150743081349,0.798348794913443,0.765710328263977,0.703613537096474,0.733349760611083,0.780628582312346,0.802808378007259,0.79156313979912,0.774420565107882
"UBSM_JiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.792629969137516,0.804150743081349,0.798348794913443,0.765710328263977,0.703613537096474,0.733349760611083,0.780628582312346,0.802808378007259,0.79156313979912,0.774420565107882
"COM_WBSM_UBSM_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.776029373568879,0.800062953971522,0.787862921653962,0.770995907162874,0.707258718228006,0.73775324993807,0.793149131593511,0.788246144271822,0.790690037276131,0.772102069622721
"COM_WBSM_UBSM_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.782600574078369,0.804255523701516,0.793280292315217,0.759070533493746,0.692329020141565,0.724165247751079,0.783907340023532,0.782230599493151,0.783068072181335,0.76683787074921
"UBSM_AncSPLWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.726513240809403,0.761726560242312,0.743703308433438,0.754216816288046,0.691042072025656,0.721248705956626,0.781325648904674,0.807573588185893,0.794232816151391,0.753061610180485
"UBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.726513240809403,0.761726560242312,0.743703308433438,0.754216816288046,0.691042072025656,0.721248705956626,0.781325648904674,0.807573588185893,0.794232816151391,0.753061610180485
"UBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.726513240809403,0.761726560242312,0.743703308433438,0.754216816288046,0.691042072025656,0.721248705956626,0.781325648904674,0.807573588185893,0.794232816151391,0.753061610180485
"UBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.726513240809403,0.761726560242312,0.743703308433438,0.754216816288046,0.691042072025656,0.721248705956626,0.781325648904674,0.807573588185893,0.794232816151391,0.753061610180485
"UBSM_JiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.726513240809403,0.761726560242312,0.743703308433438,0.754216816288046,0.691042072025656,0.721248705956626,0.781325648904674,0.807573588185893,0.794232816151391,0.753061610180485
"UBSM_AncSPLWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.731737574350683,0.760463131425428,0.745823862726222,0.712769278826582,0.653837960309274,0.682032991035189,0.744547658964026,0.767972588935404,0.756078728908913,0.727978527556775
"UBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.731737574350683,0.760463131425428,0.745823862726222,0.712769278826582,0.653837960309274,0.682032991035189,0.744547658964026,0.767972588935404,0.756078728908913,0.727978527556775
"UBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.731737574350683,0.760463131425428,0.745823862726222,0.712769278826582,0.653837960309274,0.682032991035189,0.744547658964026,0.767972588935404,0.756078728908913,0.727978527556775
"UBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.731737574350683,0.760463131425428,0.745823862726222,0.712769278826582,0.653837960309274,0.682032991035189,0.744547658964026,0.767972588935404,0.756078728908913,0.727978527556775
"UBSM_JiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.731737574350683,0.760463131425428,0.745823862726222,0.712769278826582,0.653837960309274,0.682032991035189,0.744547658964026,0.767972588935404,0.756078728908913,0.727978527556775
