"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"Human",1,1,1,1,1,1,1,1,1,1
"[TOK]  bio_embedding_intrinsic__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Min",0.831320778973042,0.809343742651036,0.820185067367208,0.764002291156737,0.681972749916254,0.72066077026592,0.760510672166798,0.73562404596667,0.747860377651185,0.762902071761438
"[CF]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Min",0.81897154246764,0.797186839141718,0.807932369396457,0.756075319032224,0.684709405784818,0.718624890319905,0.759690620071218,0.729139875240354,0.744101797597952,0.756886352438105
"[CF]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Min",0.810921123162464,0.782463612096737,0.79643824509468,0.764736374395859,0.69587481175248,0.728682329177981,0.759690620071218,0.729139875240354,0.744101797597952,0.756407457290204
"[TOK]  bio_embedding_intrinsic__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Max",0.829163277007867,0.792999996753723,0.810678538481302,0.758855980047988,0.664504462357791,0.708553041106681,0.756650677276946,0.724254791764263,0.740098392727664,0.753109990771882
"[CF]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Max",0.821570517373651,0.794060261876438,0.807581173315464,0.75314160395898,0.668020862635547,0.708032073446169,0.762198197112117,0.723925460293964,0.742569002155179,0.752727416305604
"[CF]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Max",0.796597410472689,0.76570419407745,0.780845358429764,0.760281534471523,0.680898874944791,0.718403938994176,0.762198197112117,0.723925460293964,0.742569002155179,0.747272766526373
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.755456316935261,0.736637266707551,0.745928114060388,0.760211439262742,0.69185404990606,0.724423749427325,0.757908206979512,0.728948375089106,0.743146262534306,0.737832708674006
"[CF]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.755456316935261,0.736637266707551,0.745928114060388,0.760211439262742,0.69185404990606,0.724423749427325,0.757908206979512,0.728948375089106,0.743146262534306,0.737832708674006
"[TOK]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.755456316935261,0.736637266707551,0.745928114060388,0.760211439262742,0.69185404990606,0.724423749427325,0.757908206979512,0.728948375089106,0.743146262534306,0.737832708674006
"[LC]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.755456316935261,0.736637266707551,0.745928114060388,0.760211439262742,0.69185404990606,0.724423749427325,0.757908206979512,0.728948375089106,0.743146262534306,0.737832708674006
"[CF]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Min",0.782051893223493,0.741293999320386,0.761127697184537,0.687933691882479,0.643646453579704,0.665053594538933,0.773023466213507,0.741814257862091,0.757097370609892,0.727759554111121
"[TOK]  bio_embedding_intrinsic__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Min",0.755740201876703,0.740390364272618,0.747986540777764,0.704526875645782,0.676352034257799,0.690152021462313,0.757908206979512,0.728948375089106,0.743146262534306,0.727094941591461
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Min",0.71964041524368,0.712245144651442,0.715923682741519,0.754902251797748,0.687469970950534,0.719609849564414,0.751793251526797,0.733340681105936,0.742452331081235,0.725995287795723
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.721005188317531,0.725522555619993,0.723256818316514,0.754562918194373,0.671976100518494,0.710878904415258,0.758909479210386,0.726799182308863,0.74250733434175,0.725547685691174
"[CF]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.721005188317531,0.725522555619993,0.723256818316514,0.754562918194373,0.671976100518494,0.710878904415258,0.758909479210386,0.726799182308863,0.74250733434175,0.725547685691174
"[TOK]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.721005188317531,0.725522555619993,0.723256818316514,0.754562918194373,0.671976100518494,0.710878904415258,0.758909479210386,0.726799182308863,0.74250733434175,0.725547685691174
"[LC]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.721005188317531,0.725522555619993,0.723256818316514,0.754562918194373,0.671976100518494,0.710878904415258,0.758909479210386,0.726799182308863,0.74250733434175,0.725547685691174
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Min",0.720353657808348,0.714209044821927,0.717268191810613,0.753869429728305,0.686736372917847,0.718738681843869,0.749833024117728,0.728143342606155,0.738829032547806,0.724945302067429
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Max",0.690200953673963,0.711660793987218,0.700766619136061,0.748696391584438,0.670578975087054,0.70748787826496,0.750124221668794,0.722001920558185,0.735794458323774,0.714682985241598
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Max",0.691557847002765,0.715389794617678,0.703271978996668,0.747246452210767,0.668719800641547,0.705805661040152,0.749346014208693,0.718879370321283,0.733796590800069,0.714291410278963
"[SW]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Average",0.682532348407734,0.659406591291569,0.670770205700451,0.751875840058363,0.650294081922759,0.697405359315986,0.743490289117038,0.802563716670258,0.771898429819932,0.71335799827879
"[SW]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Sum",0.682532348407734,0.659406591291569,0.670770205700451,0.751875840058363,0.650294081922759,0.697405359315986,0.743490289117038,0.802563716670258,0.771898429819932,0.71335799827879
"[TOK]  bio_embedding_intrinsic__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Max",0.717163848676466,0.721371858633908,0.719261699012062,0.694910217220903,0.655913661239202,0.674849048907086,0.758909479210386,0.726799182308863,0.74250733434175,0.7122060274203
"[SW]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Average",0.678246625097617,0.653273921434044,0.665526091401385,0.751947297878137,0.650307051087578,0.697443556109605,0.742362510781158,0.804059125494649,0.771980082555248,0.711649910022079
"[SW]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Sum",0.678246625097617,0.653273921434044,0.665526091401385,0.751947297878137,0.650307051087578,0.697443556109605,0.742362510781158,0.804059125494649,0.771980082555248,0.711649910022079
"[CF]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none_Max",0.747949385817576,0.704437737838719,0.725541785356503,0.674322891679459,0.620597058351562,0.646345440805613,0.773631928966726,0.740121250155521,0.756505668591352,0.709464298251156
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Average",0.66066485086212,0.679497410520298,0.669948808914399,0.759512995155016,0.667477496784564,0.710527274911768,0.702529309936749,0.749645028378072,0.725322835679786,0.701932973168651
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Sum",0.66066485086212,0.679497410520298,0.669948808914399,0.759512995155016,0.667477496784564,0.710527274911768,0.702529309936749,0.749645028378072,0.725322835679786,0.701932973168651
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Average",0.663397408837443,0.677672067723804,0.670458766867553,0.75902224347274,0.665211145508788,0.709027129897879,0.703307974003858,0.747501934328761,0.724731845264178,0.70140591400987
"[SW]  bio_embedding_intrinsic__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Sum",0.663397408837443,0.677672067723804,0.670458766867553,0.75902224347274,0.665211145508788,0.709027129897879,0.703307974003858,0.747501934328761,0.724731845264178,0.70140591400987
"[TOK]  PubMed.and.PMC.w2v__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Average",0.627746641362984,0.680623942213183,0.653116783759739,0.717680810702864,0.634313389998244,0.673426776146746,0.665030341349053,0.745707687688729,0.70306212476387,0.676535228223451
"[TOK]  PubMed.and.PMC.w2v__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.627746641362984,0.680623942213183,0.653116783759739,0.717680810702864,0.634313389998244,0.673426776146746,0.665030341349053,0.745707687688729,0.70306212476387,0.676535228223451
"[SW]  BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Average",0.577220044519515,0.608459647298359,0.592428304415684,0.747287287334094,0.640185347284236,0.68960260494748,0.688570243387937,0.735980211853067,0.711486310281143,0.664505739881436
"[SW]  BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Sum",0.577220044519515,0.608459647298359,0.592428304415684,0.747287287334094,0.640185347284236,0.68960260494748,0.688570243387937,0.735980211853067,0.711486310281143,0.664505739881436
"[TOK]  bio_embedding_intrinsic__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Average",0.653987302881967,0.67298521394271,0.663350264403383,0.687904038969001,0.643974940493512,0.665215037388879,0.625868586752951,0.694784504157313,0.658528418564591,0.662364573452284
"[TOK]  bio_embedding_intrinsic__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.653987302881967,0.67298521394271,0.663350264403383,0.687904038969001,0.643974940493512,0.665215037388879,0.625868586752951,0.694784504157313,0.658528418564591,0.662364573452284
"[SW]  BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Average",0.572710180966383,0.608959658691458,0.590278916539659,0.747875299844653,0.641302124888087,0.690500738642457,0.68016326558829,0.732268524208187,0.705254801415544,0.662011485532554
"[SW]  BioNLP2016_PubMed.shuffle.win.2__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Sum",0.572710180966383,0.608959658691458,0.590278916539659,0.747875299844653,0.641302124888087,0.690500738642457,0.68016326558829,0.732268524208187,0.705254801415544,0.662011485532554
"[SW]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.59949513524869,0.63276140584969,0.615679238743397,0.711178667478449,0.637835851848901,0.672513519593645,0.653620448771688,0.745861375708201,0.696701076904723,0.661631278413922
"[CF]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.59949513524869,0.63276140584969,0.615679238743397,0.711178667478449,0.637835851848901,0.672513519593645,0.653620448771688,0.745861375708201,0.696701076904723,0.661631278413922
"[TOK]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.59949513524869,0.63276140584969,0.615679238743397,0.711178667478449,0.637835851848901,0.672513519593645,0.653620448771688,0.745861375708201,0.696701076904723,0.661631278413922
"[LC]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Average",0.59949513524869,0.63276140584969,0.615679238743397,0.711178667478449,0.637835851848901,0.672513519593645,0.653620448771688,0.745861375708201,0.696701076904723,0.661631278413922
"[SW]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.59949513524869,0.63276140584969,0.615679238743397,0.711178667478449,0.637835851848901,0.672513519593645,0.653620448771688,0.745861375708201,0.696701076904723,0.661631278413922
"[CF]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.59949513524869,0.63276140584969,0.615679238743397,0.711178667478449,0.637835851848901,0.672513519593645,0.653620448771688,0.745861375708201,0.696701076904723,0.661631278413922
"[TOK]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.59949513524869,0.63276140584969,0.615679238743397,0.711178667478449,0.637835851848901,0.672513519593645,0.653620448771688,0.745861375708201,0.696701076904723,0.661631278413922
"[LC]  PubMed.and.PMC.w2v__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Sum",0.59949513524869,0.63276140584969,0.615679238743397,0.711178667478449,0.637835851848901,0.672513519593645,0.653620448771688,0.745861375708201,0.696701076904723,0.661631278413922
