"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.default_ner.none",0.814173259298491,0.823357766622058,0.818739756143017,0.770159321072054,0.709282554641415,0.738468445024171,0.795037740372612,0.80498103098067,0.799978489467832,0.78572889687834
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.814161962141225,0.823502845299935,0.81880576453966,0.769806060812326,0.708674432011696,0.737976423163089,0.794327885947623,0.804554099278003,0.799408289936804,0.785396825879851
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.default_ner.none",0.811651657707328,0.822256077210658,0.81691945495497,0.770570803180262,0.709724373194898,0.738897064609225,0.794356089397771,0.804009663436987,0.79915372430011,0.784990081288102
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.none_ner.none",0.812771710939109,0.825077609299196,0.818878430245446,0.769238353527347,0.70611578340356,0.736326728652355,0.794248810127067,0.804862221240784,0.799520294710129,0.784908484535977
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.811829998262129,0.822141282543245,0.816953105380568,0.770355080977491,0.709196342387259,0.738511682853474,0.794213051289164,0.804133695583022,0.799142585628817,0.784869124620953
"LiMixed_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.811629232937137,0.821839191313209,0.816702303565297,0.770347857432356,0.709196342387259,0.738508363485857,0.793662569408929,0.804060581896938,0.798827740421963,0.784679469157706
"LiMixed_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.800813741115187,0.821120053225567,0.810839781528246,0.762412024446868,0.702521879175784,0.731242722686817,0.796182747441928,0.798782680768473,0.797480595045695,0.779854366420253
"LiMixed_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.798540338905398,0.8176214442902,0.807968251704166,0.763267670717821,0.702975726050458,0.731882095668866,0.795402907500092,0.798304148912645,0.796850887444473,0.778900411605835
"LiMixed_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none",0.801450917314356,0.819920124410716,0.810580328527781,0.759958900400677,0.698683046927102,0.728033909958573,0.796182747441928,0.798782680768473,0.797480595045695,0.778698277844016
"LiMixed_tok.whitespace_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.797736921527716,0.815951594098627,0.806741457832366,0.762594882404628,0.702357334485029,0.731237650924668,0.795904423670442,0.797826374080996,0.796864239993244,0.778281116250093
