"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"LiMixed",0.814173259298491,0.823357766622058,0.818739756143017,0.770159321072054,0.709282554641415,0.738468445024171,0.795037740372612,0.80498103098067,0.799978489467832,0.78572889687834
"UBSM_AncSPLRada",0.796432125572649,0.811794093720545,0.804039739973057,0.763627129129519,0.70000302002538,0.730432202250847,0.773914915363167,0.788935650190322,0.781353099779943,0.771941680667949
"BlockDistance",0.798444493659795,0.818154108839087,0.80817915116088,0.73069356577587,0.682732165263414,0.705899134777162,0.79678253497807,0.801401528149675,0.799085356770145,0.771054547569396
"WBSM_AncSPLRada",0.772038051614535,0.791451303235109,0.781624153950417,0.773964251282102,0.709471204182342,0.740315795107216,0.785123790504153,0.764630416539944,0.774741605139619,0.765560518065751
"bio_embedding_intrinsic",0.830681483954193,0.806415965096265,0.818368889352379,0.7661219569616,0.685642218881689,0.723651357769604,0.756673237707323,0.734811695006601,0.745582247826163,0.762534164982715
"Sent2vec_BioSentVec_PubMed_MIMICIII.bigram_d700",0.796991854459735,0.766903016574157,0.781657985700953,0.763214814148688,0.637576342843336,0.694761253424371,0.791481021223681,0.821173384234482,0.806053853269278,0.760824364131534
"PubMed_SkipGramNegSampling",0.771485671092924,0.763186064411001,0.767313425339855,0.763589627068875,0.640849660855103,0.696856258219474,0.799020651517784,0.835202904869188,0.816711234628786,0.760293639396038
"Jaccard",0.781642202667765,0.815063639372251,0.798003140740515,0.706430277791264,0.679723344685958,0.692819530853405,0.758716626884499,0.797051208255964,0.777411629836891,0.756078100476937
"bioc_skipgram_defaultchar_Min",0.813758086643719,0.777077947212035,0.794995147254292,0.758231087511105,0.66001195424054,0.70572048245842,0.760996527511317,0.759667682790816,0.760331524540213,0.753682384750975
"Qgram",0.752322386122165,0.773278975850168,0.762656744744375,0.700748436355469,0.673684187267667,0.68694984782996,0.762706015802248,0.766052753586359,0.764375721378017,0.737994104650784
"bioconceptvec_word2vec_skipgram",0.742184887839579,0.742769936565076,0.742477296952353,0.750519471626002,0.651757214389246,0.697660433279902,0.738390763376279,0.800124224297678,0.768018955302136,0.736052228511464
"OverlapCoefficient",0.781782263406933,0.794981263132989,0.788326519223902,0.695907122361741,0.56400461757162,0.623051310616028,0.781307427441586,0.792737564266526,0.786980995125511,0.73278627498848
"COM_WBSM_AncSPLRada_UBSM_AncSPLWeightedJiangConrath",0.753112602613385,0.781945528002683,0.767258281560525,0.737395197701198,0.669948868415395,0.702055865610815,0.752022869339515,0.703110710284517,0.726744734937837,0.732019627369726
"bio_embedding_extrinsic",0.75175722488264,0.725082786563412,0.738179111091878,0.755937948451436,0.67270674011788,0.711897866702482,0.735675958927567,0.728523903416277,0.732082463646022,0.727386480480127
"BioNLP2016_PubMed.shuffle.win.30",0.744639356685433,0.750993015499772,0.747802690469922,0.714078355223955,0.608815985842507,0.657259320429169,0.742266934003994,0.809552862317699,0.774451160438925,0.726504390446005
"PubMed.and.PMC.w2v",0.713159774783443,0.705546196830649,0.709332556426187,0.753854977099664,0.641104700934304,0.692923210974057,0.744225190149422,0.803041857175284,0.77251561698748,0.724923794795908
"PubMed_CBOW",0.67537156966042,0.686003582864234,0.680646059526636,0.745821311550898,0.646522234317456,0.692630869983654,0.697306364075231,0.767666778280505,0.730796919762424,0.701357949757571
"UBSM_AncSPLCosineNormWeightedJiangConrath",0.733862841408547,0.771716379261939,0.752313750178452,0.697549084086486,0.625187574674587,0.659389028357281,0.711076970813383,0.673630544066145,0.691847428535982,0.701183402357238
"PubMed_Glove",0.671160532463131,0.677774479695885,0.674451291696456,0.739544595347306,0.643041500317751,0.687925139179504,0.73231424786987,0.729241114173816,0.730774450165537,0.697716960347166
"BioNLP2016_PubMed.shuffle.win.2",0.697026209423062,0.69341941448959,0.695218133970554,0.699201119884418,0.59394242853914,0.642287875445386,0.691480623065188,0.758724818988814,0.723543706781747,0.687016572065896
