"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"Human",1,1,1,1,1,1,1,1,1,1
"Human.1",1,1,1,1,1,1,1,1,1,1
"Human.2",1,1,1,1,1,1,1,1,1,1
"X.LC...Flair_tok.whitespace_notlc_sw.nonestopwords_cf.default_ner.none",0.578,0.609,0.593,-0.015,-0.035,-0.021,0.653,0.719,0.684,0.419
"X.CF...Flair_tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none",0.603,0.6,0.602,-0.014,-0.035,-0.02,0.642,0.703,0.671,0.418
"X.CF...Flair_tok.whitespace_lc_sw.nonestopwords_cf.none_ner.none",0.602,0.61,0.606,-0.014,-0.035,-0.02,0.606,0.658,0.631,0.406
"X.SW...Flair_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.552,0.606,0.578,-0.015,-0.035,-0.021,0.617,0.684,0.649,0.402
"X.CF...Flair_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.552,0.606,0.578,-0.015,-0.035,-0.021,0.617,0.684,0.649,0.402
"X.TOK...Flair_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.552,0.606,0.578,-0.015,-0.035,-0.021,0.617,0.684,0.649,0.402
"X.LC...Flair_tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none",0.552,0.606,0.578,-0.015,-0.035,-0.021,0.617,0.684,0.649,0.402
"X.CF...Flair_tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none",0.575,0.582,0.578,-0.014,-0.035,-0.02,0.614,0.677,0.644,0.401
"X.TOK...Flair_tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none",0.543,0.607,0.573,-0.015,-0.035,-0.021,0.617,0.684,0.649,0.4
"X.TOK...Flair_tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none",0.543,0.607,0.573,-0.015,-0.036,-0.021,0.617,0.684,0.649,0.4
"X.SW...Flair_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.479,0.553,0.513,-0.012,-0.035,-0.017,0.626,0.684,0.654,0.383
"X.SW...Flair_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.474,0.555,0.512,-0.012,-0.035,-0.018,0.621,0.681,0.65,0.381
