"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"COM_WBSM_UBSM_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.794,0.808,0.801,0.774,0.71,0.741,0.791,0.787,0.789,0.777
"UBSM_AncSPLWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.793,0.804,0.798,0.766,0.704,0.733,0.781,0.803,0.792,0.774
"UBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.793,0.804,0.798,0.766,0.704,0.733,0.781,0.803,0.792,0.774
"UBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.793,0.804,0.798,0.766,0.704,0.733,0.781,0.803,0.792,0.774
"UBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.793,0.804,0.798,0.766,0.704,0.733,0.781,0.803,0.792,0.774
"UBSM_JiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.ctakes",0.793,0.804,0.798,0.766,0.704,0.733,0.781,0.803,0.792,0.774
"COM_WBSM_UBSM_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.776,0.8,0.788,0.771,0.707,0.738,0.793,0.788,0.791,0.772
"COM_WBSM_UBSM_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.783,0.804,0.793,0.759,0.692,0.724,0.784,0.782,0.783,0.767
"UBSM_AncSPLWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.727,0.762,0.744,0.754,0.691,0.721,0.781,0.808,0.794,0.753
"UBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.727,0.762,0.744,0.754,0.691,0.721,0.781,0.808,0.794,0.753
"UBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.727,0.762,0.744,0.754,0.691,0.721,0.781,0.808,0.794,0.753
"UBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.727,0.762,0.744,0.754,0.691,0.721,0.781,0.808,0.794,0.753
"UBSM_JiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamaplite",0.727,0.762,0.744,0.754,0.691,0.721,0.781,0.808,0.794,0.753
"UBSM_AncSPLWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.732,0.76,0.746,0.713,0.654,0.682,0.745,0.768,0.756,0.728
"UBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.732,0.76,0.746,0.713,0.654,0.682,0.745,0.768,0.756,0.728
"UBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.732,0.76,0.746,0.713,0.654,0.682,0.745,0.768,0.756,0.728
"UBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.732,0.76,0.746,0.713,0.654,0.682,0.745,0.768,0.756,0.728
"UBSM_JiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.732,0.76,0.746,0.713,0.654,0.682,0.745,0.768,0.756,0.728
