"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"Human",1,1,1,1,1,1,1,1,1,1
"Human.1",1,1,1,1,1,1,1,1,1,1
"Human.2",1,1,1,1,1,1,1,1,1,1
"X.TOK...bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Min",0.814,0.777,0.795,0.758,0.66,0.706,0.761,0.76,0.76,0.754
"X.TOK...bioc_skipgram_defaultchar__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Max",0.821,0.794,0.807,0.731,0.624,0.674,0.751,0.745,0.748,0.743
"X.SW...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.746,0.734,0.74,0.755,0.677,0.714,0.771,0.761,0.766,0.74
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.746,0.734,0.74,0.755,0.677,0.714,0.771,0.761,0.766,0.74
"X.TOK...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.746,0.734,0.74,0.755,0.677,0.714,0.771,0.761,0.766,0.74
"X.LC...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Min",0.746,0.734,0.74,0.755,0.677,0.714,0.771,0.761,0.766,0.74
"X.SW...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Min",0.721,0.723,0.722,0.749,0.674,0.709,0.755,0.762,0.759,0.73
"X.SW...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Min",0.721,0.722,0.721,0.748,0.673,0.709,0.755,0.761,0.758,0.729
"X.TOK...bioc_skipgram_defaultchar__tok.biocnlptokenizer_lc_sw.nonestopwords_cf.default_ner.none_Min",0.743,0.738,0.741,0.687,0.661,0.673,0.771,0.761,0.766,0.727
"X.SW...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.706,0.7,0.703,0.732,0.641,0.683,0.77,0.76,0.765,0.717
"X.CF...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.706,0.7,0.703,0.732,0.641,0.683,0.77,0.76,0.765,0.717
"X.TOK...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.706,0.7,0.703,0.732,0.641,0.683,0.77,0.76,0.765,0.717
"X.LC...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nonestopwords_cf.default_ner.none_Max",0.706,0.7,0.703,0.732,0.641,0.683,0.77,0.76,0.765,0.717
"X.SW...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Average",0.657,0.684,0.67,0.753,0.66,0.703,0.723,0.808,0.763,0.712
"X.SW...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none_Sum",0.657,0.684,0.67,0.753,0.66,0.703,0.723,0.808,0.763,0.712
"X.SW...bioc_skipgram_defaultchar__tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none_Average",0.658,0.676,0.667,0.753,0.658,0.702,0.724,0.807,0.763,0.711
