"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"Human",1,1,1,1,1,1,1,1,1,1
"Human.1",1,1,1,1,1,1,1,1,1,1
"Human.2",1,1,1,1,1,1,1,1,1,1
"Human.3",1,1,1,1,1,1,1,1,1,1
"Human.4",1,1,1,1,1,1,1,1,1,1
"Human.5",1,1,1,1,1,1,1,1,1,1
"Human.6",1,1,1,1,1,1,1,1,1,1
"Human.7",1,1,1,1,1,1,1,1,1,1
"Human.8",1,1,1,1,1,1,1,1,1,1
"Human.9",1,1,1,1,1,1,1,1,1,1
"Human.10",1,1,1,1,1,1,1,1,1,1
"Human.11",1,1,1,1,1,1,1,1,1,1
"Human.12",1,1,1,1,1,1,1,1,1,1
"Human.13",1,1,1,1,1,1,1,1,1,1
"Human.14",1,1,1,1,1,1,1,1,1,1
"Human.15",1,1,1,1,1,1,1,1,1,1
"Human.16",1,1,1,1,1,1,1,1,1,1
"Human.17",1,1,1,1,1,1,1,1,1,1
"Human.18",1,1,1,1,1,1,1,1,1,1
"Human.19",1,1,1,1,1,1,1,1,1,1
"Human.20",1,1,1,1,1,1,1,1,1,1
"Human.21",1,1,1,1,1,1,1,1,1,1
"Human.22",1,1,1,1,1,1,1,1,1,1
"Human.23",1,1,1,1,1,1,1,1,1,1
"Human.24",1,1,1,1,1,1,1,1,1,1
"Human.25",1,1,1,1,1,1,1,1,1,1
"Human.26",1,1,1,1,1,1,1,1,1,1
"Human.27",1,1,1,1,1,1,1,1,1,1
"Human.28",1,1,1,1,1,1,1,1,1,1
"Human.29",1,1,1,1,1,1,1,1,1,1
"Human.30",1,1,1,1,1,1,1,1,1,1
"Human.31",1,1,1,1,1,1,1,1,1,1
"Human.32",1,1,1,1,1,1,1,1,1,1
"Human.33",1,1,1,1,1,1,1,1,1,1
"Human.34",1,1,1,1,1,1,1,1,1,1
"Human.35",1,1,1,1,1,1,1,1,1,1
"Human.36",1,1,1,1,1,1,1,1,1,1
"Human.37",1,1,1,1,1,1,1,1,1,1
"Human.38",1,1,1,1,1,1,1,1,1,1
"Human.39",1,1,1,1,1,1,1,1,1,1
"Human.40",1,1,1,1,1,1,1,1,1,1
"Human.41",1,1,1,1,1,1,1,1,1,1
"Human.42",1,1,1,1,1,1,1,1,1,1
"Human.43",1,1,1,1,1,1,1,1,1,1
"Human.44",1,1,1,1,1,1,1,1,1,1
"Human.45",1,1,1,1,1,1,1,1,1,1
"Human.46",1,1,1,1,1,1,1,1,1,1
"X.TOK...bio_embedding_intrinsic__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Min",0.831,0.809,0.82,0.764,0.682,0.721,0.761,0.736,0.748,0.763
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.biosses_ner.none_Min",0.819,0.797,0.808,0.756,0.685,0.719,0.76,0.729,0.744,0.757
"X.CF...bio_embedding_intrinsic__tok.whitespace_lc_sw.nonestopwords_cf.blagec2019_ner.none_Min",0.811,0.782,0.796,0.765,0.696,0.729,0.76,0.729,0.744,0.756
"X.TOK...bio_embedding_intrinsic__tok.stanfordcorenlpv4_2_0_lc_sw.nonestopwords_cf.default_ner.none_Max",0.829,0.793,0.811,0.759,0.665,0.709,0.757,0.724,0.74,0.753
