"","r","$\rho$","r","$\rho$","r","$\rho$","Avg"
"BlockDistance_tok.whitespace_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.798,0.818,0.731,0.683,0.797,0.801,0.771
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.default_ner.none",0.788,0.803,0.74,0.691,0.795,0.809,0.771
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.788,0.804,0.74,0.691,0.794,0.808,0.77
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.default_ner.none",0.782,0.801,0.741,0.692,0.794,0.807,0.77
"BlockDistance_tok.whitespace_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.794,0.814,0.732,0.683,0.795,0.799,0.769
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.783,0.803,0.741,0.691,0.793,0.806,0.769
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.782,0.802,0.741,0.691,0.793,0.807,0.769
"BlockDistance_tok.whitespace_lc_sw.nltk2018stopwords_cf.default_ner.none",0.788,0.808,0.73,0.683,0.797,0.802,0.768
"BlockDistance_tok.stanfordcorenlpv4_2_0_lc_sw.biosses2017stopwords_cf.none_ner.none",0.781,0.803,0.736,0.682,0.793,0.807,0.767
"BlockDistance_tok.whitespace_lc_sw.biosses2017stopwords_cf.default_ner.none",0.783,0.804,0.732,0.684,0.795,0.8,0.766
"BlockDistance_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.biosses_ner.none",0.799,0.816,0.714,0.668,0.797,0.801,0.766
"BlockDistance_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.794,0.813,0.715,0.668,0.796,0.799,0.764
"BlockDistance_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.biosses_ner.none",0.794,0.813,0.715,0.668,0.795,0.799,0.764
"BlockDistance_tok.whitespace_lc_sw.biosses2017stopwords_cf.blagec2019_ner.none",0.775,0.796,0.732,0.685,0.796,0.799,0.764
"BlockDistance_tok.biocnlptokenizer_lc_sw.nltk2018stopwords_cf.default_ner.none",0.789,0.807,0.715,0.669,0.797,0.802,0.763
"BlockDistance_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.default_ner.none",0.784,0.803,0.716,0.67,0.795,0.8,0.761
"BlockDistance_tok.biocnlptokenizer_lc_sw.biosses2017stopwords_cf.none_ner.none",0.783,0.802,0.715,0.667,0.795,0.8,0.76
