"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"Human",1,1,1,1,1,1,1,1,1,1
"Human.1",1,1,1,1,1,1,1,1,1,1
"Human.2",1,1,1,1,1,1,1,1,1,1
"Human.3",1,1,1,1,1,1,1,1,1,1
"Human.4",1,1,1,1,1,1,1,1,1,1
"Human.5",1,1,1,1,1,1,1,1,1,1
"Human.6",1,1,1,1,1,1,1,1,1,1
"X.SW...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.79,0.808,0.799,0.757,0.696,0.725,0.782,0.794,0.788,0.771
"X.SW...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.79,0.808,0.799,0.757,0.696,0.725,0.782,0.794,0.788,0.771
"X.SW...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.79,0.808,0.799,0.757,0.696,0.725,0.782,0.794,0.788,0.771
"X.SW...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.79,0.808,0.799,0.757,0.696,0.725,0.782,0.794,0.788,0.771
"X.SW...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes",0.79,0.808,0.799,0.757,0.696,0.725,0.782,0.794,0.788,0.771
"X.SW...UBSM_AncSPLWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes.1",0.784,0.805,0.794,0.758,0.697,0.726,0.781,0.791,0.786,0.769
"X.SW...UBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.ctakes.1",0.784,0.805,0.794,0.758,0.697,0.726,0.781,0.791,0.786,0.769
"X.SW...UBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes.1",0.784,0.805,0.794,0.758,0.697,0.726,0.781,0.791,0.786,0.769
"X.SW...UBSM_AncSPLCaiStrategy1_tok.whitespace_lc_sw.user_cf.default_ner.ctakes.1",0.784,0.805,0.794,0.758,0.697,0.726,0.781,0.791,0.786,0.769
"X.SW...UBSM_JiangConrath_tok.whitespace_lc_sw.user_cf.default_ner.ctakes.1",0.784,0.805,0.794,0.758,0.697,0.726,0.781,0.791,0.786,0.769
"UBSM_AncSPLWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.732,0.76,0.746,0.713,0.654,0.682,0.745,0.768,0.756,0.728
"UBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.732,0.76,0.746,0.713,0.654,0.682,0.745,0.768,0.756,0.728
"UBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.732,0.76,0.746,0.713,0.654,0.682,0.745,0.768,0.756,0.728
"UBSM_AncSPLCaiStrategy1_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.metamapsnomedct",0.732,0.76,0.746,0.713,0.654,0.682,0.745,0.768,0.756,0.728
