"","r","$\rho$","h","r","$\rho$","h","r","$\rho$","h","Avg"
"Human",1,1,1,1,1,1,1,1,1,1
"Human.1",1,1,1,1,1,1,1,1,1,1
"Human.2",1,1,1,1,1,1,1,1,1,1
"Human.3",1,1,1,1,1,1,1,1,1,1
"WBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.none",0.772,0.791,0.782,0.774,0.709,0.74,0.785,0.765,0.775,0.766
"X.SW...WBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.none",0.743,0.769,0.756,0.762,0.7,0.73,0.786,0.755,0.77,0.752
"X.SW...WBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.none.1",0.738,0.77,0.753,0.763,0.7,0.731,0.787,0.753,0.77,0.751
"X.TOK...WBSM_AncSPLRada_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none",0.723,0.765,0.743,0.753,0.702,0.726,0.726,0.723,0.725,0.731
"X.CF...WBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.biosses_ner.none",0.694,0.733,0.713,0.741,0.691,0.715,0.72,0.712,0.716,0.715
"X.SW...WBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.none.2",0.687,0.73,0.708,0.742,0.692,0.716,0.721,0.715,0.718,0.714
"X.CF...WBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.none",0.687,0.73,0.708,0.742,0.692,0.716,0.721,0.715,0.718,0.714
"X.TOK...WBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.none",0.687,0.73,0.708,0.742,0.692,0.716,0.721,0.715,0.718,0.714
"X.LC...WBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.default_ner.none",0.687,0.73,0.708,0.742,0.692,0.716,0.721,0.715,0.718,0.714
"X.TOK...WBSM_AncSPLRada_tok.biocnlptokenizer_lc_sw.user_cf.default_ner.none",0.69,0.733,0.711,0.722,0.677,0.699,0.721,0.715,0.718,0.709
"X.CF...WBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.blagec2019_ner.none",0.673,0.717,0.695,0.741,0.692,0.716,0.685,0.687,0.686,0.699
"X.LC...WBSM_AncSPLRada_tok.whitespace_notlc_sw.user_cf.default_ner.none",0.646,0.685,0.665,0.703,0.657,0.679,0.712,0.702,0.707,0.684
"X.CF...WBSM_AncSPLRada_tok.whitespace_lc_sw.user_cf.none_ner.none",0.609,0.641,0.625,0.701,0.662,0.681,0.692,0.688,0.69,0.665
"X.TOK...WBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.default_ner.none",0.569,0.607,0.587,0.688,0.645,0.666,0.615,0.601,0.608,0.62
"WBSM_AncSPLCosineNormWeightedJiangConrath_tok.stanfordcorenlpv4_2_0_lc_sw.user_cf.biosses_ner.none",0.571,0.566,0.568,0.705,0.651,0.677,0.637,0.59,0.613,0.619
"X.CF...WBSM_AncSPLCosineNormWeightedJiangConrath_tok.whitespace_lc_sw.user_cf.biosses_ner.none",0.548,0.606,0.575,0.675,0.622,0.647,0.614,0.595,0.604,0.609
