"","paragram.ws.emb+wordnet.randomwalks.emb","attract.reppel.emb+wordnet.randomwalks.emb","cf.emb+wordnet.randomwalks.emb","attract.reppel.emb+paragram.ws.emb","paragram.sl.emb+wordnet.randomwalks.emb","attract.reppel.emb+glove.emb","attract.reppel.emb+paragram.sl.emb","attract.reppel.emb+fastext.emb","attract.reppel.emb+cbow.emb","glove.emb+cf.emb"
"MC28",0.887,0.895,0.862,0.846,0.868,0.887,0.834,0.888,0.869,0.874
"RG65",0.855,0.851,0.834,0.841,0.838,0.855,0.829,0.852,0.852,0.842
"PSfull",0.876,0.878,0.867,0.87,0.866,0.871,0.866,0.877,0.877,0.863
"Agirre201",0.831,0.811,0.809,0.79,0.823,0.826,0.774,0.8,0.808,0.818
"SimLex665",0.666,0.706,0.716,0.712,0.688,0.676,0.722,0.663,0.671,0.67
"SimLex111",0.826,0.88,0.86,0.885,0.807,0.874,0.88,0.866,0.856,0.832
"SimLex222",0.575,0.751,0.709,0.748,0.599,0.689,0.756,0.704,0.711,0.622
"SimLex999",0.675,0.75,0.74,0.756,0.691,0.718,0.762,0.709,0.714,0.691
"SimVerb3500",0.59,0.699,0.669,0.653,0.608,0.597,0.663,0.605,0.63,0.55
"MTurk771",0.759,0.673,0.743,0.705,0.748,0.722,0.686,0.69,0.697,0.757
"MTurk287_235",0.729,0.699,0.708,0.709,0.712,0.751,0.683,0.732,0.727,0.752
"WS353Rel",0.748,0.683,0.709,0.688,0.71,0.695,0.641,0.707,0.647,0.724
"Rel122",0.637,0.584,0.631,0.587,0.614,0.584,0.558,0.544,0.587,0.616
"WS353Full",0.768,0.728,0.739,0.717,0.749,0.745,0.691,0.742,0.714,0.753
"MEN",0.812,0.769,0.782,0.774,0.796,0.807,0.751,0.784,0.769,0.813
"YP130",0.8,0.807,0.787,0.728,0.795,0.678,0.722,0.681,0.68,0.668
"RW2034",0.44,0.363,0.358,0.495,0.436,0.442,0.492,0.474,0.452,0.421
"RW1401",0.574,0.516,0.499,0.506,0.573,0.46,0.503,0.485,0.463,0.439
"SCWS1994",0.202,0.199,0.202,0.2,0.203,0.196,0.2,0.196,0.194,0.196
"Avg",0.697,0.697,0.696,0.695,0.691,0.688,0.685,0.684,0.68,0.679
