"","MC28","RG65","PSfull","Agirre201","SimLex665","Avg","p-value"
"Zhou.Seco",0.912,0.905,0.946,0.777,0.739,0.856,0.006
"CosineNormWeightedJiangConrath.Sanchez2011",0.92,0.912,0.942,0.784,0.721,0.856,0.006
"CaiStrategy2.Cai",0.907,0.902,0.947,0.786,0.736,0.856,0.01
"CosineNormJiangConrath.Sanchez2011",0.908,0.91,0.949,0.778,0.72,0.853,0.006
"Gao2015Strategy3.CondProbRefHyponyms",0.899,0.899,0.939,0.767,0.732,0.847,0.005
"Meng2014.Seco",0.911,0.915,0.933,0.749,0.723,0.846,0.001
"Taieb2014",0.889,0.896,0.943,0.782,0.722,0.846,0.007
"Lin.Seco",0.888,0.898,0.942,0.774,0.724,0.845,0.005
"Li2003Strategy3",0.901,0.895,0.934,0.763,0.728,0.844,0.005
"Sanchez2012",0.89,0.896,0.935,0.767,0.731,0.844,0.002
"FaITH.Seco",0.876,0.888,0.94,0.774,0.718,0.839,0.006
"Meng2012.Seco",0.87,0.889,0.937,0.763,0.698,0.831,0.004
"PirroSeco.Seco",0.886,0.892,0.932,0.744,0.679,0.827,0.004
"glove.emb",0.876,0.855,0.883,0.817,0.691,0.824,0.03
"wordnet.randomwalks.emb",0.868,0.848,0.899,0.791,0.709,0.823,0.034
"fastext.emb",0.868,0.858,0.902,0.793,0.673,0.819,0.055
"LeacockChodorow",0.879,0.883,0.913,0.722,0.69,0.817,0.002
"en_wordsenses_BN.txt.nasari.unified",0.871,0.855,0.893,0.78,0.679,0.816,0.013
"cbow.emb",0.853,0.851,0.89,0.799,0.679,0.814,0.018
"paragram.ws.emb",0.829,0.844,0.89,0.77,0.716,0.81,0.007
"PedersenPath",0.857,0.848,0.907,0.732,0.7,0.809,0.002
"WuPalmerFast",0.845,0.864,0.89,0.732,0.691,0.804,0
"paragram.sl.emb",0.819,0.833,0.888,0.758,0.721,0.804,0.002
"cf.emb",0.831,0.836,0.894,0.73,0.722,0.803,0
"attract.reppel.emb",0.837,0.84,0.893,0.72,0.691,0.796,NA
"Mubaid",0.85,0.846,0.895,0.719,0.668,0.795,0.002
"sp.500d.emb",0.823,0.85,0.894,0.713,0.691,0.794,0
"Garla.Sanchez2011",0.829,0.838,0.907,0.712,0.671,0.791,0.002
"JiangConrath.Sanchez2011",0.872,0.872,0.889,0.67,0.606,0.782,0.001
"wordnet.ukb.ppv",0.795,0.796,0.868,0.663,0.666,0.757,0
"Resnik.CondProbRefLeavesSubsumersRatio",0.805,0.831,0.883,0.683,0.535,0.747,0.004
"Rada",0.777,0.81,0.799,0.61,0.623,0.724,0
