"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg","p-value"
"wordnet.randomwalks.emb",0.77900244483517,0.730889281214308,0.770509134081078,0.666288854493768,0.736672428656081,0.0015
"glove.emb",0.771683082927173,0.754301973928889,0.750852337489686,0.598954268344802,0.718947915672637,0.037
"cbow.emb",0.759384828920822,0.755212385334904,0.720699838892836,0.626551316746579,0.715462092473786,0.0019
"fastext.emb",0.76037502768644,0.745588102238807,0.761614471364588,0.581759980536888,0.712334395456681,0.011
"wordnet.ukb.ppv",0.751382123036822,0.708977449558096,0.743672141412402,0.618535818089381,0.705641883024175,0.012
"cf.emb",0.739695994522089,0.694290187845507,0.707466784035776,0.613416747104823,0.688717428377049,0.00092
"paragram.ws.emb",0.745251965810093,0.698998064400129,0.721478733898606,0.589015660889152,0.688686106249495,NA
"attract.reppel.emb",0.716297881517133,0.706013179611947,0.718107738331467,0.608194093336892,0.68715322319936,0.00044
"sp.500d.emb",0.73938742472853,0.729345419515635,0.672739654320701,0.606685118334033,0.687039404224725,0.0029
"paragram.sl.emb",0.738758149197473,0.689205015350149,0.701960253392576,0.576646217754579,0.676642408923694,0.019
"Garla.Sanchez2011",0.655550386440044,0.72949476582551,0.679821927505694,0.604122675711037,0.667247438870571,0.013
"en_wordsenses_BN.txt.nasari.unified",0.685285281917876,0.62732570683462,0.660285086457359,0.665185158267966,0.659520308369456,0.0026
"PedersenPath",0.696903111382419,0.696930797058181,0.651396543921637,0.586882959861457,0.658028353055924,0.0099
"CaiStrategy2.Cai",0.752301744808079,0.670554296769929,0.543347200530895,0.534995266339376,0.62529962711207,0.0034
"Zhou.Seco",0.749883000123778,0.653753068095276,0.496658381510347,0.519609608772507,0.604976014625477,0.0031
"Taieb2014",0.708577994184268,0.674228308467339,0.502740617157811,0.511570000810782,0.59927923015505,0.004
"FaITH.Seco",0.689607589338404,0.673342402802572,0.499917581775453,0.533718753518457,0.599146581858721,0.0037
"Li2003Strategy3",0.715874157718307,0.642560417559257,0.479711600963126,0.509867355817903,0.587003383014648,0.0035
"CosineNormWeightedJiangConrath.Sanchez2011",0.724671918484057,0.620078018267177,0.404718169925681,0.506689093075243,0.56403929993804,0.0017
"CosineNormJiangConrath.Sanchez2011",0.723288067400979,0.636026169722887,0.416557863627841,0.479302357091894,0.5637936144609,0.001
"Gao2015Strategy3.CondProbRefHyponyms",0.727023869655981,0.636401616173717,0.405232673122263,0.467116187543699,0.558943586623915,0.0014
"Lin.Seco",0.71812432144242,0.622282610234614,0.402969022262121,0.472141857570126,0.55387945287732,0.00084
"Sanchez2012",0.71622754017217,0.591766951537701,0.429480013301876,0.468652775690163,0.551531820175478,0.0016
"Meng2014.Seco",0.772856067074958,0.571713857236584,0.272039587075388,0.424948242759686,0.510389438536654,1.7e-05
"Meng2012.Seco",0.652308047113706,0.602009889007211,0.343660390497488,0.43548453725485,0.508365715968314,0.0016
"WuPalmerFast",0.740923819521177,0.492772541969718,0.315206854081898,0.41216504253626,0.490267064527263,0.00037
"Mubaid",0.641535190928149,0.535031074449556,0.281968560341708,0.407259317026747,0.46644853568654,0.0019
"PirroSeco.Seco",0.624876545940411,0.519419067784184,0.223596316234614,0.338227834716449,0.426529941168914,0.00016
"LeacockChodorow",0.64307205701959,0.483184323926779,0.196794412602343,0.335407482829172,0.414614569094471,0.00017
"Rada",0.640006755848462,0.354958264028824,0.0642880108376624,0.191504689158673,0.312689429968405,0.034
"JiangConrath.Sanchez2011",0.560414339229338,0.3890411263811,0.062434412088992,0.222619861939825,0.308627434909814,0.029
"Resnik.CondProbRefLeavesSubsumersRatio",0.401356743573763,0.402371787247955,0.0909059010348357,0.253960727184444,0.28714878976025,0.0034
