"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg","p-value"
"wordnet.randomwalks.emb",0.779,0.731,0.771,0.666,0.737,0.002
"glove.emb",0.772,0.754,0.751,0.599,0.719,0.037
"cbow.emb",0.759,0.755,0.721,0.627,0.715,0.002
"fastext.emb",0.76,0.746,0.762,0.582,0.712,0.011
"wordnet.ukb.ppv",0.751,0.709,0.744,0.619,0.706,0.012
"cf.emb",0.74,0.694,0.707,0.613,0.689,0.001
"paragram.ws.emb",0.745,0.699,0.721,0.589,0.689,NA
"attract.reppel.emb",0.716,0.706,0.718,0.608,0.687,0
"sp.500d.emb",0.739,0.729,0.673,0.607,0.687,0.003
"paragram.sl.emb",0.739,0.689,0.702,0.577,0.677,0.019
"Garla.Sanchez2011",0.656,0.729,0.68,0.604,0.667,0.013
"en_wordsenses_BN.txt.nasari.unified",0.685,0.627,0.66,0.665,0.66,0.003
"PedersenPath",0.697,0.697,0.651,0.587,0.658,0.01
"CaiStrategy2.Cai",0.752,0.671,0.543,0.535,0.625,0.003
"Zhou.Seco",0.75,0.654,0.497,0.52,0.605,0.003
"Taieb2014",0.709,0.674,0.503,0.512,0.599,0.004
"FaITH.Seco",0.69,0.673,0.5,0.534,0.599,0.004
"Li2003Strategy3",0.716,0.643,0.48,0.51,0.587,0.004
"CosineNormWeightedJiangConrath.Sanchez2011",0.725,0.62,0.405,0.507,0.564,0.002
"CosineNormJiangConrath.Sanchez2011",0.723,0.636,0.417,0.479,0.564,0.001
"Gao2015Strategy3.CondProbRefHyponyms",0.727,0.636,0.405,0.467,0.559,0.001
"Lin.Seco",0.718,0.622,0.403,0.472,0.554,0.001
"Sanchez2012",0.716,0.592,0.429,0.469,0.552,0.002
"Meng2014.Seco",0.773,0.572,0.272,0.425,0.51,0
"Meng2012.Seco",0.652,0.602,0.344,0.435,0.508,0.002
"WuPalmerFast",0.741,0.493,0.315,0.412,0.49,0
"Mubaid",0.642,0.535,0.282,0.407,0.466,0.002
"PirroSeco.Seco",0.625,0.519,0.224,0.338,0.427,0
"LeacockChodorow",0.643,0.483,0.197,0.335,0.415,0
"Rada",0.64,0.355,0.064,0.192,0.313,0.034
"JiangConrath.Sanchez2011",0.56,0.389,0.062,0.223,0.309,0.029
"Resnik.CondProbRefLeavesSubsumersRatio",0.401,0.402,0.091,0.254,0.287,0.003
