"","MC28","RG65","PSfull","Agirre201","SimLex665","Avg"
"attract.reppel.emb",0.859826793500649,0.832604144961059,0.866819071779436,0.728832412025876,0.690447827308461,0.795706049915096
"paragram.ws.emb",0.809852757940324,0.811358552587979,0.835021573844127,0.786051870055623,0.65316289957088,0.779089530799786
"cf.emb",0.830639487633646,0.806916842905298,0.848225917710967,0.697593161510772,0.697350132170815,0.7761451083863
"CosineNormWeightedJiangConrath.Sanchez2011",0.874012578171769,0.855509441100054,0.852535198403715,0.679720463337405,0.58952842194654,0.770261220591897
"Zhou.Seco",0.850219344791417,0.847800879906679,0.852625040735125,0.663358105556362,0.616770609875167,0.76615479617295
"paragram.sl.emb",0.770731007897354,0.786358809428639,0.822951163490208,0.762344530240699,0.680890588395806,0.764655219890541
"wordnet.randomwalks.emb",0.870309060826359,0.809614475462375,0.828212235980597,0.77866371764108,0.535808055663847,0.764521509114852
"CaiStrategy2.Cai",0.861147845039925,0.836606742951426,0.843890715784442,0.674617261574215,0.601334647607579,0.763519442591518
"CosineNormJiangConrath.Sanchez2011",0.848236679648661,0.837597180501701,0.846937925588364,0.666002750833669,0.592307808002469,0.758216468914973
"PirroSeco.Seco",0.856821728821213,0.830434792129796,0.84100189047344,0.667018925624869,0.591771232587553,0.757409713927374
"Taieb2014",0.815988649404456,0.830440607045976,0.848336382232593,0.683274271595854,0.602578163890402,0.756123614833856
"Gao2015Strategy3.CondProbRefHyponyms",0.830966002548122,0.8319551044111,0.837817006602599,0.657012036907854,0.60413978835674,0.752377987765283
"JiangConrath.Sanchez2011",0.854158357401655,0.831473663371187,0.836417983236956,0.651234418958582,0.587138597105001,0.752084604014676
"Meng2012.Seco",0.822652099348483,0.827046447815432,0.843204995414155,0.66870021448082,0.59667234199259,0.751655219810296
"FaITH.Seco",0.82009802227593,0.825609701175832,0.843658689602386,0.668734483642623,0.596594305455219,0.750939040430398
"Lin.Seco",0.827511847892952,0.827650364319715,0.839412606804683,0.662819214785665,0.594820358975784,0.75044287855576
"Li2003Strategy3",0.823873056555459,0.835200013175319,0.839126205388947,0.643961348562924,0.596905115423995,0.747813147821329
"LeacockChodorow",0.819219955923402,0.829576726133099,0.832781673096585,0.635983447552754,0.596299776847414,0.742772315910651
"Meng2014.Seco",0.807813431919084,0.834108272184467,0.825891131194123,0.633246915249188,0.590175919804071,0.738247134070186
"Sanchez2012",0.798002910498132,0.814566576795621,0.827738951853447,0.655616906189227,0.586082079930716,0.736401485053429
"Mubaid",0.797635459736449,0.809681942014676,0.829161765152776,0.644858584798672,0.576565074045355,0.731580565149586
"fastext.emb",0.843769848894912,0.796891371585757,0.809071301839944,0.775926817678491,0.410556777368378,0.727243223473497
"glove.emb",0.85346434047549,0.769711928155198,0.756975706380045,0.796026382649294,0.447413011809559,0.724718273893917
"Resnik.CondProbRefLeavesSubsumersRatio",0.8155312442563,0.792132767049136,0.81131507049184,0.653161685432774,0.511744481347965,0.716777049715603
"PedersenPath",0.784588025636927,0.794894960385967,0.818103475531334,0.614947268111773,0.568900956969938,0.716286937327188
"cbow.emb",0.788242281171972,0.766013254470055,0.776647732767528,0.767283145288013,0.457366630530405,0.711110608845595
"en_wordsenses_BN.txt.nasari.unified",0.813359429210735,0.767227744226995,0.780882517591988,0.695769897579321,0.488673541048726,0.709182625931553
"Garla.Sanchez2011",0.779027668985735,0.785684743525799,0.822885011298861,0.608852808609502,0.548335313742698,0.708957109232519
"Rada",0.76871680861394,0.789712425988609,0.773356066185119,0.589392523119864,0.576408229214253,0.699517210624357
"WuPalmerFast",0.631207347610834,0.716129207849104,0.715977974059651,0.583751929862885,0.4776405864061,0.624941409157715
"wordnet.ukb.ppv",0.674531366784998,0.668690545803784,0.719533236931244,0.492560644877816,0.427418428936502,0.596546844666869
"sp.500d.emb",0.628334524410832,0.676439146282601,0.691242884903231,0.468328922015625,0.447091931857693,0.582287481893996
