"","MC28","RG65","PSfull","Agirre201","SimLex665","Avg"
"attract.reppel.emb",0.86,0.833,0.867,0.729,0.69,0.796
"paragram.ws.emb",0.81,0.811,0.835,0.786,0.653,0.779
"cf.emb",0.831,0.807,0.848,0.698,0.697,0.776
"CosineNormWeightedJiangConrath.Sanchez2011",0.874,0.856,0.853,0.68,0.59,0.77
"Zhou.Seco",0.85,0.848,0.853,0.663,0.617,0.766
"paragram.sl.emb",0.771,0.786,0.823,0.762,0.681,0.765
"wordnet.randomwalks.emb",0.87,0.81,0.828,0.779,0.536,0.765
"CaiStrategy2.Cai",0.861,0.837,0.844,0.675,0.601,0.764
"CosineNormJiangConrath.Sanchez2011",0.848,0.838,0.847,0.666,0.592,0.758
"PirroSeco.Seco",0.857,0.83,0.841,0.667,0.592,0.757
"Taieb2014",0.816,0.83,0.848,0.683,0.603,0.756
"Gao2015Strategy3.CondProbRefHyponyms",0.831,0.832,0.838,0.657,0.604,0.752
"JiangConrath.Sanchez2011",0.854,0.831,0.836,0.651,0.587,0.752
"Meng2012.Seco",0.823,0.827,0.843,0.669,0.597,0.752
"FaITH.Seco",0.82,0.826,0.844,0.669,0.597,0.751
"Lin.Seco",0.828,0.828,0.839,0.663,0.595,0.75
"Li2003Strategy3",0.824,0.835,0.839,0.644,0.597,0.748
"LeacockChodorow",0.819,0.83,0.833,0.636,0.596,0.743
"Meng2014.Seco",0.808,0.834,0.826,0.633,0.59,0.738
"Sanchez2012",0.798,0.815,0.828,0.656,0.586,0.736
"Mubaid",0.798,0.81,0.829,0.645,0.577,0.732
"fastext.emb",0.844,0.797,0.809,0.776,0.411,0.727
"glove.emb",0.853,0.77,0.757,0.796,0.447,0.725
"Resnik.CondProbRefLeavesSubsumersRatio",0.816,0.792,0.811,0.653,0.512,0.717
"PedersenPath",0.785,0.795,0.818,0.615,0.569,0.716
"cbow.emb",0.788,0.766,0.777,0.767,0.457,0.711
"en_wordsenses_BN.txt.nasari.unified",0.813,0.767,0.781,0.696,0.489,0.709
"Garla.Sanchez2011",0.779,0.786,0.823,0.609,0.548,0.709
"Rada",0.769,0.79,0.773,0.589,0.576,0.7
"WuPalmerFast",0.631,0.716,0.716,0.584,0.478,0.625
"wordnet.ukb.ppv",0.675,0.669,0.72,0.493,0.427,0.597
"sp.500d.emb",0.628,0.676,0.691,0.468,0.447,0.582
