"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg"
"glove.emb",0.704794089672156,0.748507791339628,0.664712486798962,0.598847669091799,0.679215509225636
"paragram.ws.emb",0.700806860274336,0.704251324147953,0.667534021618879,0.57295738741017,0.661387398362834
"fastext.emb",0.641055998377731,0.727824156526709,0.659311864303999,0.539965197587848,0.642039304199072
"cbow.emb",0.649591674561012,0.698420969385439,0.566840681426795,0.576269433126641,0.622780689624972
"paragram.sl.emb",0.673896334702871,0.65991269767573,0.577674701043909,0.523350588690635,0.608708580528286
"wordnet.randomwalks.emb",0.642379631334037,0.653156911178941,0.623200661807079,0.512866440522709,0.607900911210691
"cf.emb",0.665704753287701,0.629600158244673,0.590133865592383,0.52596249567297,0.602850318199432
"attract.reppel.emb",0.590467113251182,0.617590783853378,0.541317732056532,0.463890195262975,0.553316456106017
"en_wordsenses_BN.txt.nasari.unified",0.50535488576739,0.474041831586916,0.399717188022968,0.552884018280182,0.482999480914364
"sp.500d.emb",0.506381206340442,0.409016602859565,0.327687681565796,0.435971822483838,0.419764328312411
"wordnet.ukb.ppv",0.349012377991143,0.32040098049668,0.414159315945604,0.328489073593146,0.353015437006643
"Taieb2014",0.540021275256557,0.496033874232503,0.0914788172781929,0.188676685660795,0.329052663107012
"CosineNormWeightedJiangConrath.Sanchez2011",0.528639564388731,0.486540538456851,0.0785026785972212,0.220025052784335,0.328426958556784
"CaiStrategy2.Cai",0.535913905546031,0.47790188911694,0.0808405287602878,0.21874531114637,0.328350408642407
"FaITH.Seco",0.515248355707662,0.489792343439558,0.0882187367769658,0.208031754203636,0.325322797531955
"Meng2012.Seco",0.519955071518515,0.48679212654165,0.0839905269082549,0.203708561164766,0.323611571533296
"PirroSeco.Seco",0.51490518214591,0.481701306214909,0.0846643176064149,0.210145188193061,0.322853998540074
"Zhou.Seco",0.541070554467163,0.467354643201615,0.0685464979857959,0.211369116122144,0.322085202944179
"CosineNormJiangConrath.Sanchez2011",0.524745767151001,0.479740370948708,0.0793201641139313,0.1877584096669,0.317891177970135
"Lin.Seco",0.524487946596067,0.468505758337583,0.0692558522535358,0.193258283913596,0.313876960275195
"Gao2015Strategy3.CondProbRefHyponyms",0.532509542429163,0.454021915089546,0.0721555636764651,0.183732894845195,0.310604979010092
"JiangConrath.Sanchez2011",0.518046903493567,0.442417794441004,0.0661428877665226,0.193939382535583,0.305136742059169
"Li2003Strategy3",0.518266030288293,0.433944972484685,0.0702018062813128,0.190198788546946,0.303152899400309
"Garla.Sanchez2011",0.409951275831236,0.437253476865515,0.117400230528679,0.23361752635002,0.299555627393862
"PedersenPath",0.424819179211907,0.423333951027157,0.102750058953924,0.220581078092587,0.292871066821394
"LeacockChodorow",0.506274333266516,0.409555693184995,0.0559272111579152,0.194536087685327,0.291573331323688
"Resnik.CondProbRefLeavesSubsumersRatio",0.40198838386315,0.452835687760722,0.0767498476175779,0.195005854541577,0.281644943445757
"Mubaid",0.445916943957691,0.415370350997189,0.0590394956770263,0.204380106869071,0.281176724375244
"Sanchez2012",0.506177625151306,0.393571779936196,0.0570599142253308,0.160066732251354,0.279219012891047
"Meng2014.Seco",0.470772878897051,0.425039060536329,0.0323019699046689,0.161363601883032,0.27236937780527
"Rada",0.510402408852267,0.338111026837814,0.0197148116586605,0.174603882917511,0.260708032566563
"WuPalmerFast",0.465515521050784,0.301705937295837,0.024151767972509,0.159309532190573,0.237670689627426
