"","attract.reppel.emb+wordnet.randomwalks.emb","paragram.ws.emb+wordnet.randomwalks.emb","attract.reppel.emb+glove.emb","attract.reppel.emb+paragram.ws.emb","cf.emb+wordnet.randomwalks.emb","attract.reppel.emb+fastext.emb","paragram.sl.emb+wordnet.randomwalks.emb","glove.emb+cf.emb","attract.reppel.emb+cbow.emb","attract.reppel.emb+paragram.sl.emb","fastext.emb+cf.emb","glove.emb+paragram.sl.emb","cbow.emb+cf.emb","paragram.ws.emb+en_wordsenses_BN.txt.nasari.unified","glove.emb+paragram.ws.emb","fastext.emb+paragram.sl.emb","cbow.emb+paragram.sl.emb","fastext.emb+paragram.ws.emb","paragram.ws.emb+cf.emb","cbow.emb+paragram.ws.emb","sp.500d.emb+paragram.ws.emb","attract.reppel.emb+cf.emb","glove.emb+wordnet.randomwalks.emb","paragram.ws.emb+paragram.sl.emb","paragram.sl.emb+en_wordsenses_BN.txt.nasari.unified","cf.emb+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+paragram.sl.emb","paragram.sl.emb+cf.emb","cbow.emb+wordnet.randomwalks.emb","paragram.ws.emb+wordnet.ukb.ppv","attract.reppel.emb+en_wordsenses_BN.txt.nasari.unified","attract.reppel.emb+sp.500d.emb","fastext.emb+wordnet.randomwalks.emb","sp.500d.emb+cf.emb","sp.500d.emb+wordnet.randomwalks.emb","glove.emb+en_wordsenses_BN.txt.nasari.unified","paragram.sl.emb+wordnet.ukb.ppv","attract.reppel.emb+wordnet.ukb.ppv","cf.emb+wordnet.ukb.ppv","cbow.emb+en_wordsenses_BN.txt.nasari.unified","wordnet.randomwalks.emb+en_wordsenses_BN.txt.nasari.unified","fastext.emb+en_wordsenses_BN.txt.nasari.unified","glove.emb+sp.500d.emb","glove.emb+wordnet.ukb.ppv","glove.emb+cbow.emb","fastext.emb+glove.emb","cbow.emb+sp.500d.emb","fastext.emb+cbow.emb","fastext.emb+sp.500d.emb","cbow.emb+wordnet.ukb.ppv","fastext.emb+wordnet.ukb.ppv","sp.500d.emb+en_wordsenses_BN.txt.nasari.unified","wordnet.randomwalks.emb+wordnet.ukb.ppv","wordnet.ukb.ppv+en_wordsenses_BN.txt.nasari.unified","sp.500d.emb+wordnet.ukb.ppv"
"MC28",0.868,0.852,0.876,0.829,0.839,0.868,0.836,0.856,0.853,0.819,0.84,0.843,0.827,0.872,0.84,0.835,0.817,0.835,0.809,0.816,0.796,0.831,0.89,0.795,0.862,0.862,0.782,0.798,0.866,0.779,0.871,0.823,0.872,0.8,0.825,0.91,0.754,0.795,0.764,0.876,0.881,0.871,0.826,0.773,0.845,0.872,0.775,0.844,0.822,0.751,0.733,0.827,0.703,0.793,0.66
"RG65",0.848,0.843,0.855,0.844,0.832,0.858,0.831,0.838,0.851,0.833,0.833,0.827,0.832,0.862,0.821,0.833,0.829,0.833,0.818,0.83,0.831,0.836,0.834,0.81,0.852,0.847,0.817,0.806,0.83,0.784,0.855,0.85,0.835,0.823,0.828,0.863,0.766,0.796,0.77,0.849,0.84,0.838,0.819,0.746,0.799,0.815,0.797,0.819,0.825,0.74,0.721,0.847,0.705,0.773,0.715
"PSfull",0.899,0.887,0.883,0.89,0.888,0.902,0.886,0.874,0.89,0.888,0.884,0.857,0.877,0.894,0.841,0.88,0.871,0.869,0.869,0.861,0.866,0.894,0.854,0.858,0.893,0.892,0.864,0.864,0.863,0.848,0.893,0.894,0.874,0.873,0.866,0.871,0.841,0.868,0.844,0.868,0.873,0.861,0.821,0.788,0.801,0.82,0.814,0.839,0.849,0.797,0.785,0.87,0.772,0.825,0.781
"Agirre201",0.791,0.812,0.817,0.77,0.782,0.793,0.803,0.804,0.799,0.758,0.781,0.82,0.796,0.809,0.815,0.799,0.807,0.797,0.747,0.805,0.743,0.73,0.839,0.763,0.8,0.781,0.729,0.733,0.812,0.709,0.78,0.713,0.814,0.704,0.725,0.823,0.679,0.663,0.651,0.813,0.797,0.805,0.746,0.735,0.803,0.812,0.723,0.795,0.722,0.714,0.7,0.721,0.644,0.674,0.489
"SimLex665",0.709,0.676,0.691,0.716,0.72,0.673,0.694,0.685,0.679,0.721,0.673,0.653,0.676,0.665,0.625,0.641,0.646,0.612,0.696,0.619,0.672,0.722,0.553,0.679,0.677,0.699,0.693,0.7,0.547,0.653,0.679,0.691,0.525,0.702,0.59,0.553,0.663,0.666,0.682,0.558,0.572,0.538,0.532,0.529,0.479,0.456,0.533,0.457,0.494,0.52,0.494,0.58,0.501,0.524,0.519
"SimLex111",0.882,0.832,0.874,0.887,0.864,0.871,0.812,0.839,0.86,0.878,0.835,0.791,0.833,0.783,0.806,0.776,0.785,0.794,0.86,0.8,0.859,0.881,0.7,0.834,0.765,0.809,0.849,0.848,0.689,0.801,0.798,0.88,0.642,0.866,0.808,0.65,0.775,0.846,0.832,0.633,0.636,0.605,0.744,0.651,0.621,0.584,0.728,0.571,0.693,0.637,0.577,0.69,0.582,0.547,0.733
"SimLex222",0.747,0.583,0.699,0.739,0.697,0.708,0.606,0.633,0.717,0.747,0.65,0.519,0.662,0.598,0.48,0.546,0.562,0.507,0.672,0.529,0.658,0.774,0.416,0.597,0.613,0.685,0.686,0.678,0.469,0.555,0.715,0.796,0.429,0.755,0.629,0.457,0.576,0.728,0.672,0.508,0.519,0.471,0.454,0.348,0.301,0.249,0.52,0.317,0.476,0.42,0.373,0.628,0.435,0.455,0.591
"SimLex999",0.747,0.68,0.725,0.752,0.738,0.714,0.694,0.7,0.717,0.756,0.695,0.648,0.698,0.664,0.625,0.642,0.65,0.619,0.719,0.629,0.701,0.763,0.544,0.689,0.673,0.71,0.716,0.721,0.546,0.658,0.703,0.748,0.519,0.741,0.629,0.539,0.664,0.713,0.706,0.547,0.557,0.524,0.545,0.51,0.461,0.43,0.555,0.441,0.514,0.515,0.481,0.597,0.496,0.506,0.567
"SimVerb3500",0.691,0.591,0.602,0.647,0.66,0.608,0.608,0.557,0.633,0.655,0.561,0.493,0.588,0.517,0.467,0.494,0.527,0.469,0.588,0.503,0.538,0.675,0.485,0.541,0.527,0.577,0.556,0.593,0.527,0.548,0.579,0.647,0.479,0.613,0.554,0.406,0.564,0.644,0.618,0.441,0.479,0.392,0.367,0.422,0.352,0.296,0.419,0.343,0.35,0.466,0.41,0.422,0.515,0.406,0.469
"MTurk771",0.662,0.74,0.718,0.694,0.723,0.682,0.728,0.743,0.69,0.677,0.718,0.744,0.72,0.695,0.747,0.717,0.72,0.722,0.693,0.725,0.704,0.675,0.756,0.693,0.678,0.683,0.684,0.675,0.718,0.661,0.608,0.64,0.706,0.681,0.678,0.679,0.639,0.565,0.638,0.664,0.623,0.642,0.706,0.66,0.704,0.705,0.666,0.677,0.652,0.614,0.601,0.597,0.548,0.527,0.521
