"","attract.reppel.emb+wordnet.randomwalks.emb","paragram.ws.emb+wordnet.randomwalks.emb","attract.reppel.emb+glove.emb","attract.reppel.emb+paragram.ws.emb","cf.emb+wordnet.randomwalks.emb","attract.reppel.emb+fastext.emb","paragram.sl.emb+wordnet.randomwalks.emb","glove.emb+cf.emb","attract.reppel.emb+cbow.emb","attract.reppel.emb+paragram.sl.emb"
"MC28",0.868,0.852,0.876,0.829,0.839,0.868,0.836,0.856,0.853,0.819
"RG65",0.848,0.843,0.855,0.844,0.832,0.858,0.831,0.838,0.851,0.833
"PSfull",0.899,0.887,0.883,0.89,0.888,0.902,0.886,0.874,0.89,0.888
"Agirre201",0.791,0.812,0.817,0.77,0.782,0.793,0.803,0.804,0.799,0.758
"SimLex665",0.709,0.676,0.691,0.716,0.72,0.673,0.694,0.685,0.679,0.721
"SimLex111",0.882,0.832,0.874,0.887,0.864,0.871,0.812,0.839,0.86,0.878
"SimLex222",0.747,0.583,0.699,0.739,0.697,0.708,0.606,0.633,0.717,0.747
"SimLex999",0.747,0.68,0.725,0.752,0.738,0.714,0.694,0.7,0.717,0.756
"SimVerb3500",0.691,0.591,0.602,0.647,0.66,0.608,0.608,0.557,0.633,0.655
"MTurk771",0.662,0.74,0.718,0.694,0.723,0.682,0.728,0.743,0.69,0.677
"MTurk287_235",0.707,0.728,0.761,0.712,0.7,0.74,0.707,0.752,0.729,0.684
"WS353Rel",0.662,0.726,0.688,0.66,0.687,0.689,0.683,0.716,0.63,0.613
"Rel122",0.564,0.611,0.595,0.567,0.597,0.553,0.582,0.62,0.578,0.537
"WS353Full",0.691,0.726,0.724,0.678,0.694,0.712,0.707,0.727,0.686,0.655
"MEN",0.742,0.791,0.796,0.744,0.753,0.769,0.77,0.8,0.755,0.718
"YP130",0.825,0.806,0.704,0.762,0.791,0.716,0.802,0.688,0.714,0.759
"RW2034",0.363,0.437,0.433,0.469,0.355,0.455,0.433,0.412,0.441,0.466
"RW1401",0.503,0.567,0.45,0.48,0.481,0.466,0.566,0.427,0.449,0.477
"SCWS1994",0.117,0.117,0.115,0.117,0.118,0.114,0.118,0.115,0.114,0.118
"Avg",0.685,0.685,0.685,0.682,0.68,0.679,0.677,0.673,0.673,0.672
