"","MTurk771","MTurk287_235","WS353Rel","Rel122","Avg"
"paragram.ws.emb",0.745251965810093,0.698998064400129,0.721478733898606,0.589015660889152,0.688686106249495
"glove.emb",0.715080202533743,0.724230192809312,0.650955074882223,0.58400164833072,0.668566779638999
"fastext.emb",0.661177039455475,0.708910405549019,0.68091539980295,0.539008768632533,0.647502903359994
"paragram.sl.emb",0.712107773408246,0.663198875415486,0.644090680132579,0.559683356245803,0.644770171300528
"cf.emb",0.701061446097629,0.639290436002809,0.645339605021349,0.56249728024768,0.637047191842367
"cbow.emb",0.671618664230474,0.673816472472566,0.602868937571608,0.559959888642519,0.627065990729292
"wordnet.randomwalks.emb",0.672436498553921,0.639886055155806,0.626093268553479,0.521033839530952,0.61486241544854
"attract.reppel.emb",0.598572168923944,0.606066654031428,0.586360646994098,0.466137452755215,0.564284230676171
"wordnet.ukb.ppv",0.601535483664442,0.599138555928817,0.487960788614594,0.524896776321259,0.553382901132278
"en_wordsenses_BN.txt.nasari.unified",0.500153341659069,0.434160494743985,0.442235407694603,0.557420604231637,0.483492462082324
"sp.500d.emb",0.513406866626773,0.413621174027886,0.303279845800777,0.405353098737429,0.408915246298216
"CosineNormWeightedJiangConrath.Sanchez2011",0.480862086205387,0.367104560630798,0.0203265649599547,0.252216498083111,0.280127427469813
"CaiStrategy2.Cai",0.491426911981691,0.368717337514687,0.0437640024871396,0.193080749920999,0.274247250476129
"Zhou.Seco",0.507626920659755,0.368902616414238,0.0309846518170511,0.175441727057091,0.270738978987034
"PirroSeco.Seco",0.465002242300825,0.385421201938244,0.0494378506422725,0.181012903092419,0.27021854949344
"CosineNormJiangConrath.Sanchez2011",0.478621959481168,0.365190704509887,0.0372242090309965,0.188589896616558,0.267406692409653
"JiangConrath.Sanchez2011",0.478618839155746,0.365190704509887,0.0372242090309965,0.188589896616558,0.267405912328297
"Garla.Sanchez2011",0.478618839155746,0.365190704509887,0.0372242090309965,0.188589896616558,0.267405912328297
"Taieb2014",0.500574370058495,0.336803307190621,0.0318423269454311,0.174193304841771,0.26085332725908
"Meng2012.Seco",0.479059033000033,0.338571619929966,0.0325131179467171,0.179564852395389,0.257427155818026
"FaITH.Seco",0.479059033000033,0.338571619929966,0.0325131179467171,0.179564852395389,0.257427155818026
"Lin.Seco",0.479059033000033,0.338571619929966,0.0325131179467171,0.179564852395389,0.257427155818026
"Meng2014.Seco",0.503193957120269,0.331108012695508,0.00651331724196838,0.16672731231486,0.251885649843151
"Sanchez2012",0.482610790440796,0.302252274979344,0.0258313789654935,0.170904530122742,0.245399743627094
"Gao2015Strategy3.CondProbRefHyponyms",0.486441264134358,0.302687710123367,0.00384150112588319,0.181420641988675,0.243597779343071
"Mubaid",0.491724661255247,0.311220057798252,0.00325925487175067,0.167172483478285,0.243344114350884
"Li2003Strategy3",0.490077952859977,0.311471046081816,-0.00224359255049978,0.156447651884387,0.23893826456892
"PedersenPath",0.490077952859977,0.311471046081816,-0.00224359255049978,0.156447651884387,0.23893826456892
"LeacockChodorow",0.490077952859977,0.311471046081816,-0.00224359255049978,0.156447651884387,0.23893826456892
"Rada",0.490077952859977,0.311471046081816,-0.00224359255049978,0.156447651884387,0.23893826456892
"Resnik.CondProbRefLeavesSubsumersRatio",0.366451101345946,0.333333155057989,0.0405324219173062,0.18364688161451,0.230990889983938
"WuPalmerFast",0.447500217808491,0.279896072224393,0.0299089777466571,0.159487282117289,0.229198137474207
