"","MC28","RG65","PSfull","Agirre201","SimLex665","Avg","p-value"
"attract.reppel.emb",0.883504523511749,0.824988528118845,0.842535429851758,0.738164088927676,0.690255075183177,0.795889529118641,NA
"paragram.ws.emb",0.824366941522738,0.812662545182634,0.821075405156151,0.808165663536003,0.644558777515372,0.78216586658258,0.29
"cf.emb",0.856947368637054,0.807876392233999,0.831193522706117,0.694588501069959,0.698112355473307,0.777743628024087,0.05
"wordnet.randomwalks.emb",0.908692752877438,0.822803070151432,0.81384193451028,0.784181476132779,0.528918239785162,0.771687494691418,0.27
"wordnet.ukb.ppv",0.894182142481987,0.857921826594973,0.840599663454184,0.717518645885292,0.523519343556725,0.766748324394632,0.23
"CosineNormWeightedJiangConrath.Sanchez2011",0.87703947162533,0.835009906830592,0.82240382487573,0.665548403043786,0.587241176055522,0.757448556486192,0.072
"paragram.sl.emb",0.760848797904911,0.774875976926058,0.793780526495446,0.777554956750417,0.679298749701493,0.757271801555665,0.11
"Zhou.Seco",0.846333494500592,0.824221325860718,0.814154184294133,0.654839915845585,0.610019684669361,0.749913721034078,0.022
"CaiStrategy2.Cai",0.8638797671433,0.803825874615439,0.793562906343781,0.662316276265085,0.595208848032612,0.743758734480043,0.012
"Meng2014.Seco",0.80490862781328,0.820113426913787,0.814650604177799,0.654721043060621,0.610438192021876,0.740966378797473,0.014
"PirroSeco.Seco",0.867562901856998,0.800943856448756,0.791610841367679,0.655544623361561,0.586152755571897,0.740362995721378,0.015
"CosineNormJiangConrath.Sanchez2011",0.848917428618605,0.803134400432491,0.800070725321337,0.650370800623816,0.590565910033976,0.738611853006045,0.01
"JiangConrath.Sanchez2011",0.848917428618605,0.803134400432491,0.800070725321337,0.650370800623816,0.590565910033976,0.738611853006045,0.01
"Garla.Sanchez2011",0.848917428618605,0.803134400432491,0.800070725321337,0.650370800623816,0.590565910033976,0.738611853006045,0.01
"Taieb2014",0.807376411036008,0.796811424516287,0.796975852229783,0.660051343940352,0.595967395691583,0.731436485482803,0.0029
"Gao2015Strategy3.CondProbRefHyponyms",0.827138096976722,0.801494138588702,0.790504862886669,0.641301037331636,0.594516971842491,0.730991021525244,0.0049
"Meng2012.Seco",0.831071522715827,0.796885837363034,0.790723772599191,0.646778304740446,0.588795128160607,0.730850913115821,0.0044
"FaITH.Seco",0.831071522715827,0.796885837363034,0.790723772599191,0.646778304740446,0.588795128160607,0.730850913115821,0.0044
"Lin.Seco",0.831071522715827,0.796885837363034,0.790723772599191,0.646778304740446,0.588795128160607,0.730850913115821,0.0044
"Mubaid",0.804758428886024,0.811908827070955,0.806631435596531,0.644559036070484,0.577541299252939,0.729079805375387,0.011
"fastext.emb",0.845448394361413,0.80053325346349,0.800576929428576,0.777167030493086,0.409930288457861,0.726731179240885,0.14
"Li2003Strategy3",0.812562896997258,0.809591441847387,0.797537883784904,0.624971605424517,0.588159670078846,0.726564699626583,0.0092
"PedersenPath",0.812562896997258,0.809591441847387,0.797537883784904,0.624971605424517,0.588159670078846,0.726564699626583,0.0092
"LeacockChodorow",0.812562896997258,0.809591441847387,0.797537883784904,0.624971605424517,0.588159670078846,0.726564699626583,0.0092
"Rada",0.812562896997258,0.809591441847387,0.797537883784904,0.624971605424517,0.588159670078846,0.726564699626583,0.0092
"glove.emb",0.862149285571272,0.768975240414042,0.754815939904542,0.79527912272106,0.429117497603844,0.722067417242952,0.12
"Sanchez2012",0.7899761346505,0.783949917217618,0.789128025080488,0.64259334416319,0.578345475683069,0.716798579358973,0.0021
"cbow.emb",0.780561325234582,0.760058571906996,0.767250516332038,0.771843204428197,0.453659062747484,0.706674536129859,0.055
"Resnik.CondProbRefLeavesSubsumersRatio",0.838899245368851,0.76330252051536,0.757002155085867,0.638488518502653,0.511091546998265,0.701756797294199,0.0078
"en_wordsenses_BN.txt.nasari.unified",0.796431374150495,0.744864723489636,0.752469426968425,0.684369126461331,0.488225099250587,0.693271950064095,0.0081
"WuPalmerFast",0.601622550697258,0.712025530184007,0.716465912558234,0.600312718101793,0.482320583094682,0.622549458927195,0.0027
"sp.500d.emb",0.652429897591725,0.662958674414823,0.674264360446287,0.483328038161908,0.459564871480688,0.586509168419086,0.00018
