"","MC28","RG65","PSfull","Agirre201","SimLex665","Avg","p-value"
"attract.reppel.emb",0.884,0.825,0.843,0.738,0.69,0.796,NA
"paragram.ws.emb",0.824,0.813,0.821,0.808,0.645,0.782,0.29
"cf.emb",0.857,0.808,0.831,0.695,0.698,0.778,0.05
"wordnet.randomwalks.emb",0.909,0.823,0.814,0.784,0.529,0.772,0.27
"wordnet.ukb.ppv",0.894,0.858,0.841,0.718,0.524,0.767,0.23
"CosineNormWeightedJiangConrath.Sanchez2011",0.877,0.835,0.822,0.666,0.587,0.757,0.072
"paragram.sl.emb",0.761,0.775,0.794,0.778,0.679,0.757,0.11
"Zhou.Seco",0.846,0.824,0.814,0.655,0.61,0.75,0.022
"CaiStrategy2.Cai",0.864,0.804,0.794,0.662,0.595,0.744,0.012
"Meng2014.Seco",0.805,0.82,0.815,0.655,0.61,0.741,0.014
"PirroSeco.Seco",0.868,0.801,0.792,0.656,0.586,0.74,0.015
"CosineNormJiangConrath.Sanchez2011",0.849,0.803,0.8,0.65,0.591,0.739,0.01
"JiangConrath.Sanchez2011",0.849,0.803,0.8,0.65,0.591,0.739,0.01
"Garla.Sanchez2011",0.849,0.803,0.8,0.65,0.591,0.739,0.01
"Taieb2014",0.807,0.797,0.797,0.66,0.596,0.731,0.003
"Gao2015Strategy3.CondProbRefHyponyms",0.827,0.801,0.791,0.641,0.595,0.731,0.005
"Meng2012.Seco",0.831,0.797,0.791,0.647,0.589,0.731,0.004
"FaITH.Seco",0.831,0.797,0.791,0.647,0.589,0.731,0.004
"Lin.Seco",0.831,0.797,0.791,0.647,0.589,0.731,0.004
"Mubaid",0.805,0.812,0.807,0.645,0.578,0.729,0.011
"fastext.emb",0.845,0.801,0.801,0.777,0.41,0.727,0.14
"Li2003Strategy3",0.813,0.81,0.798,0.625,0.588,0.727,0.009
"PedersenPath",0.813,0.81,0.798,0.625,0.588,0.727,0.009
"LeacockChodorow",0.813,0.81,0.798,0.625,0.588,0.727,0.009
"Rada",0.813,0.81,0.798,0.625,0.588,0.727,0.009
"glove.emb",0.862,0.769,0.755,0.795,0.429,0.722,0.12
"Sanchez2012",0.79,0.784,0.789,0.643,0.578,0.717,0.002
"cbow.emb",0.781,0.76,0.767,0.772,0.454,0.707,0.055
"Resnik.CondProbRefLeavesSubsumersRatio",0.839,0.763,0.757,0.638,0.511,0.702,0.008
"en_wordsenses_BN.txt.nasari.unified",0.796,0.745,0.752,0.684,0.488,0.693,0.008
"WuPalmerFast",0.602,0.712,0.716,0.6,0.482,0.623,0.003
"sp.500d.emb",0.652,0.663,0.674,0.483,0.46,0.587,0
