"","attract.reppel.emb","cf.emb","paragram.ws.emb","paragram.sl.emb","wordnet.randomwalks.emb","cbow.emb","en_wordsenses_BN.txt.nasari.unified","glove.emb","fastext.emb","sp.500d.emb","wordnet.ukb.ppv"
"MC28",0.837,0.806,0.796,0.781,0.835,0.796,0.831,0.845,0.842,0.606,0.542
"RG65",0.84,0.806,0.81,0.798,0.797,0.772,0.791,0.77,0.793,0.69,0.548
"PSfull",0.893,0.866,0.849,0.854,0.843,0.786,0.812,0.759,0.818,0.709,0.629
"Agirre201",0.72,0.701,0.765,0.748,0.773,0.763,0.708,0.797,0.775,0.454,0.375
"SimLex665",0.691,0.697,0.662,0.682,0.543,0.461,0.489,0.467,0.411,0.435,0.361
"SimLex111",0.877,0.857,0.844,0.815,0.637,0.598,0.498,0.614,0.484,0.7,0.443
"SimLex222",0.777,0.713,0.574,0.605,0.464,0.349,0.428,0.22,0.247,0.537,0.338
"SimLex999",0.745,0.728,0.676,0.689,0.532,0.454,0.466,0.437,0.385,0.493,0.37
"SimVerb3500",0.666,0.613,0.524,0.546,0.549,0.375,0.336,0.294,0.263,0.327,0.387
"Avg_r",0.783,0.754,0.722,0.724,0.664,0.595,0.595,0.578,0.558,0.55,0.444
"MC28",0.884,0.857,0.824,0.761,0.909,0.781,0.796,0.862,0.845,0.652,0.894
"RG65",0.825,0.808,0.813,0.775,0.823,0.76,0.745,0.769,0.801,0.663,0.858
"PSfull",0.843,0.831,0.821,0.794,0.814,0.767,0.752,0.755,0.801,0.674,0.841
"Agirre201",0.738,0.695,0.808,0.778,0.784,0.772,0.684,0.795,0.777,0.483,0.718
"SimLex665",0.69,0.698,0.645,0.679,0.529,0.454,0.488,0.429,0.41,0.46,0.524
"SimLex111",0.872,0.847,0.825,0.795,0.643,0.592,0.473,0.622,0.508,0.676,0.555
"SimLex222",0.783,0.727,0.562,0.59,0.446,0.322,0.414,0.196,0.231,0.544,0.367
"SimLex999",0.751,0.736,0.667,0.685,0.525,0.442,0.45,0.408,0.38,0.513,0.497
"SimVerb3500",0.672,0.628,0.514,0.54,0.545,0.364,0.287,0.283,0.258,0.328,0.499
"Avg_rho",0.784,0.758,0.72,0.711,0.669,0.584,0.566,0.569,0.557,0.555,0.639
"MC28",0.86,0.831,0.81,0.771,0.87,0.788,0.813,0.853,0.844,0.628,0.675
"RG65",0.833,0.807,0.811,0.786,0.81,0.766,0.767,0.77,0.797,0.676,0.669
"PSfull",0.867,0.848,0.835,0.823,0.828,0.777,0.781,0.757,0.809,0.691,0.72
"Agirre201",0.729,0.698,0.786,0.762,0.779,0.767,0.696,0.796,0.776,0.468,0.493
"SimLex665",0.69,0.697,0.653,0.681,0.536,0.457,0.489,0.447,0.411,0.447,0.427
"SimLex111",0.874,0.852,0.835,0.805,0.64,0.595,0.485,0.618,0.496,0.688,0.493
"SimLex222",0.78,0.72,0.568,0.597,0.455,0.335,0.421,0.207,0.239,0.54,0.352
"SimLex999",0.748,0.732,0.671,0.687,0.528,0.448,0.458,0.422,0.383,0.503,0.424
"SimVerb3500",0.669,0.62,0.519,0.543,0.547,0.369,0.31,0.288,0.261,0.328,0.436
"Avg_h",0.783,0.756,0.721,0.717,0.666,0.589,0.58,0.573,0.557,0.552,0.521
