Word pair;Human jugdement;attract-reppel.emb;fastext.emb;glove.emb;cbow.emb;sp.500d.emb;paragram-ws.emb;paragram-sl.emb;cf.emb;wordnet-randomwalks.emb;wordnet-ukb.ppv;en_wordsenses_BN.txt+nasari-unified
love,sex;6.77;0.35185038613075487;0.343263999725199;0.38664217463025974;0.2639379370754362;0.034832582275494774;0.27063530689961823;0.4126047995340306;0.2879316852036663;0.29715013482726527;0.015939252923187423;0.9964344947575939
tiger,cat;7.35;0.2165632045039928;0.4308645509141478;0.5413389703676749;0.5172963002019578;0.18087750971911049;0.11633785622844403;0.0676920026363678;0.08306893769298318;0.4689301032278233;0.03955334334276755;0.872742067280586
tiger,tiger;10.0;1.0;1.0000000000000002;1.0;1.0000000000000002;1.0;0.9999999999999999;1.0;0.9999999999999999;1.0000000000000002;1.0;1.0
book,paper;7.46;0.3456497282707595;0.403089000112951;0.4799629129726751;0.3634623893904801;0.22971998303701102;0.5772520073146338;0.5623894922719236;0.6522812450336777;0.37927472279186575;0.07998252940301245;0.5561327440192476
computer,keyboard;7.62;0.14781836719602076;0.4821319266439877;0.5425749579195642;0.39639152138993716;0.16759405378715825;0.27334369965505656;0.13908318982521684;0.1654538238972466;0.4417028778107233;0.05486524075621606;0.5281763969386087
computer,internet;7.58;0.29753339808306567;0.45144874642519933;0.5635606993194666;0.4068623487808703;0.4003823348066198;0.3265878813299917;0.30374247414441924;0.31788860700525934;0.5444839429052226;0.044743997051653245;0.45734170215694664
plane,car;5.77;0.10548650033764646;0.33906895323645325;0.39917356598282555;0.37797019195695775;-0.04754345152481501;0.132174468331803;0.07143288979112312;0.13284061716322496;0.33276441179939276;0.021107961519692423;0.4383572197685343
train,car;6.31;0.10292539681642833;0.49376821691845435;0.44299942796043923;0.3402557914046379;8.561846994881864E-4;0.22560775914852302;0.23211362591209858;0.16957092469069357;0.3222950472598291;0.019710075132646915;0.8273229577668401
telephone,communication;7.5;0.3609537526757467;0.47283373721811084;0.5411482706397555;0.3321843214636222;0.1366167431738287;0.37057553746408806;0.2674009528400157;0.33471393878090705;0.4080184556575381;0.016448028681082857;0.4780901585580294
television,radio;6.77;0.43153061630981765;0.5846176231282098;0.6301351479211861;0.6114972539826546;0.1064407875359521;0.5156789980483047;0.518743505003479;0.4690259123074097;0.4738885753038346;0.07217846980319328;0.6763919189138042
drug,abuse;6.85;0.08239466124028923;0.45006391646448;0.5768848254940544;0.2408586839489806;0.07504195190051961;0.2373230525455375;0.2630324183116334;0.23967988808058072;0.2037175773039608;0.00873372651378533;0.706890921012621
bread,butter;6.19;0.32818093978494634;0.7490252403258549;0.7272146730765953;0.6417259211681957;0.44289657451621983;0.5686787231312781;0.37812536381446554;0.4161211409064522;0.4715794615387392;0.023474037229764058;0.5818598981762652
cucumber,potato;5.92;0.25225805028307374;0.6388816161590144;0.6386378221224892;0.5678559433108084;0.2966164113338266;0.5788032187716076;0.41981305552789666;0.4635102730961686;0.40728423185044266;0.02086734682343432;0.5524564666524707
doctor,nurse;7.0;0.24359641087745063;0.4861950775613465;0.6880643531992057;0.6319524227288814;0.12749863129849093;0.5900829315165314;0.45292986458600426;0.5056477145753694;0.46489676544953373;0.052857689574547;0.44529661784175806
professor,doctor;6.62;0.35765721539739315;0.4532444306414961;0.42699637199956886;0.2133600709189424;0.29108947756058473;0.4622681527881596;0.39518688416514003;0.35758808638847467;0.2404855278338542;0.004672856940062894;0.6710245803322893
student,professor;6.81;0.2168686540388947;0.40123578902417945;0.5964575335266981;0.4206622164653788;0.16644708852381535;0.4859662631099986;0.3696774525410076;0.3691709994491148;0.36558439092246864;0.01878447978053383;0.5380896643539294
smart,student;4.62;0.060199079823433845;0.22136591731923752;0.24779611088434836;0.06630235388427262;0.08039100061586475;-0.017542885172894592;-0.049421365067302485;-0.010179198814628025;0.13669578771948274;0.0034734948990793914;0.5
smart,stupid;5.81;-0.23995592731783877;0.41286529241449377;0.5243902868793647;0.4704720691695885;0.19448951057148256;0.2144743360602053;0.17893772932658242;-0.00535517791987941;0.43965501241607696;0.1250793461636826;0.5
company,stock;7.08;0.06988871527488484;0.41017691795244443;0.3984918540760902;0.3415683571308602;0.043658732989504054;0.09833134507286835;0.053301031671925514;0.11993429833168669;0.21488920616433543;0.02284389018234006;0.7745966692414834
stock,market;8.08;-0.030881560587715216;0.44578710138855726;0.5414044368668949;0.4680558312965693;0.1032534622801685;0.2123048084872444;0.18164467540900942;0.23753190211978065;0.24081127139525976;0.0199642058502725;0.9258200997725514
stock,phone;1.62;-0.006082974554088957;0.1899712987002539;0.16884929616157315;0.12326719928912318;-0.035544958026038485;-0.01689067898571776;-0.07616630277330291;-0.009474483337362602;0.12368319702676205;0.006751441308511355;0.35769269610780713
stock,cd;1.31;0.056752126278735125;0.1699406038405767;0.1886144847313498;0.06321494244120432;-0.048099848340936564;-0.002090270762329248;0.038246402195008876;0.03378802643894008;0.11210686645313532;0.006781616967137682;0.3333333333333333
stock,jaguar;0.92;0.04821349920991031;0.22412206660649595;0.14819916926523027;0.03606744766813423;0.08794824547542206;0.0635835758549246;0.017261807406323732;-0.03096846386906806;0.058689405687955366;0.005084614881284064;0.4209480331289481
stock,egg;1.81;-0.007670840800970054;0.19415475682364006;0.2312878432753338;0.10417795704227882;-0.01813350276799166;-0.0141216712209519;-0.03640423405641702;-0.0972895194355159;0.18870253078411467;0.004341915542909939;0.5285195931849862
fertility,egg;6.69;-0.05053195493132021;0.29399985314196336;0.35281540737922457;0.25652334848569613;-0.07610329038518905;0.3472864490644817;0.3005186420005272;0.1918331248884308;0.19733999231882227;0.0052400065464531615;0.5890100047690774
stock,live;3.73;0.027764859646050688;0.17442562539071488;0.15012480358569807;0.044471803385531535;0.008381872121619853;-0.009548511005875235;-0.022573654424682465;-0.005840474893769218;0.12686884700425502;0.00790299641538607;0.5
stock,life;0.92;0.031158665715685565;0.19706095213928526;0.20443932683843138;0.07456455587012684;0.03608475193141768;-0.008016536940465033;-0.03166559339616556;-0.03403626559457206;0.04654896993798085;0.013955345507340334;0.7454922925376932
book,library;7.46;0.27874713458096806;0.3405150903192295;0.3822631950147559;0.3245317354129293;0.08412747378164323;0.22380609893139047;0.24231881424853666;0.25551956043337765;0.44623154300709794;0.0967857931490576;0.5858259046545311
bank,money;8.12;0.20656222140082783;0.40701906683028083;0.5666829677648954;0.2613202563986809;0.1688826862665206;0.35775263232205073;0.15536487698745555;0.2520195608734797;0.308548781173129;0.0407221328603687;0.6056733143291501
wood,forest;7.73;0.7860829283232289;0.4627501987757718;0.48125165843775636;0.41751608776933297;0.20624339764532637;0.6747385598740958;0.7256005220000565;0.7875421730326511;0.3892260962732805;0.5833712870030091;1.0
money,cash;9.15;0.5617333268123109;0.6689896902317115;0.8190670167767594;0.6151220327114447;0.26014558739318155;0.8274595013122877;0.7243494901731954;0.941206486815591;0.43522341915789575;0.062256330091687455;0.8224728479120115
professor,cucumber;0.31;0.14946747215337983;0.09783546216240009;0.026717059861731597;0.056618110501037246;-0.010887459786884737;-0.0064099121439313055;0.017569050211904774;7.194015941415784E-4;0.03665230362345476;0.001443366871544297;0.1466471150213533
king,cabbage;0.23;-0.04191134930223167;0.19146298734471692;0.16686917022070447;0.11813205922955694;-0.03239083335704229;0.05020046755891926;0.11078822973069047;0.13026792817528698;0.08885417889435722;0.004344959211632508;0.17397025222873175
king,queen;8.58;0.07711099968557182;0.6493092735576517;0.7252610335547771;0.6510958380435731;0.21978048229850383;0.4291181643135131;0.2988826640226292;-0.07752835598116517;0.57042264267717;0.04438413188250093;1.0
king,rook;5.92;-0.025852251687503876;0.33716710210453366;0.26049352529913733;0.20875607284217687;0.3586177012944446;0.16539348167783513;0.14922684685100518;0.10618389539181902;0.2717335710007613;0.013814783373833853;0.9688218171032895
bishop,rabbi;6.69;0.129196393863839;0.36103565574618557;0.4754856720180028;0.42778147439047853;0.26609272721856686;0.21262312400104205;0.10359752779786037;0.11088000675017295;0.31364870993784627;0.005734167371488806;0.353248657397687
