"","MTurk771-Pearson","MTurk771-Spearman","MTurk771-Harmonic","MTurk287_235-Pearson","MTurk287_235-Spearman","MTurk287_235-Harmonic","WS353Rel-Pearson","WS353Rel-Spearman","WS353Rel-Harmonic","Rel122-Pearson","Rel122-Spearman","Rel122-Harmonic"
"CosineNormWeightedJiangConrath.Sanchez2011",0.528639564388731,0.480862086205387,0.503620224163214,0.486540538456851,0.367104560630798,0.418467231382617,0.0785026785972212,0.0203265649599547,0.0322918548923974,0.220025052784335,0.252216498083111,0.235023573007845
"Zhou.Seco",0.541070554467163,0.507626920659755,0.523815468117898,0.467354643201615,0.368902616414238,0.412333283060805,0.0685464979857959,0.0309846518170511,0.0426778828050337,0.211369116122144,0.175441727057091,0.191736935160408
"CosineNormJiangConrath.Sanchez2011",0.524745767151001,0.478621959481168,0.500623730735827,0.479740370948708,0.365190704509887,0.414700628577316,0.0793201641139313,0.0372242090309965,0.0506696340573767,0.1877584096669,0.188589896616558,0.188173234616874
"PirroSeco.Seco",0.51490518214591,0.465002242300825,0.488683029226661,0.481701306214909,0.385421201938244,0.428216070211341,0.0846643176064149,0.0494378506422725,0.0624243730465832,0.210145188193061,0.181012903092419,0.19449420289745
"Taieb2014",0.540021275256557,0.500574370058495,0.51955014591262,0.496033874232503,0.336803307190621,0.401196903900489,0.0914788172781929,0.0318423269454311,0.0472408592491077,0.188676685660795,0.174193304841771,0.181145954650738
"CaiStrategy2.Cai",0.535913905546031,0.491426911981691,0.512707197450425,0.47790188911694,0.368717337514687,0.416269100926309,0.0808405287602878,0.0437640024871396,0.0567861387753499,0.21874531114637,0.193080749920999,0.205113336481803
"JiangConrath.Sanchez2011",0.518046903493567,0.478618839155746,0.497552984853744,0.442417794441004,0.365190704509887,0.40011185184282,0.0661428877665226,0.0372242090309965,0.0476383057358707,0.193939382535583,0.188589896616558,0.191227234596691
"Resnik.CondProbRefLeavesSubsumersRatio",0.40198838386315,0.366451101345946,0.383398013325265,0.452835687760722,0.333333155057989,0.384001858895707,0.0767498476175779,0.0405324219173062,0.0530490621994545,0.195005854541577,0.18364688161451,0.189155992621012
"Lin.Seco",0.524487946596067,0.479059033000033,0.500745243870118,0.468505758337583,0.338571619929966,0.393079419193654,0.0692558522535358,0.0325131179467171,0.0442516749140501,0.193258283913596,0.179564852395389,0.186160094937728
"Rada",0.510402408852267,0.490077952859977,0.500033738267546,0.338111026837814,0.311471046081816,0.324244770942134,0.0197148116586605,-0.00224359255049978,-0.00506341364023262,0.174603882917511,0.156447651884387,0.16502788611862
"attract.reppel.emb",0.590467113251182,0.598572168923944,0.594492017135838,0.617590783853378,0.606066654031428,0.611774453114386,0.541317732056532,0.586360646994098,0.562939613802412,0.463890195262975,0.466137452755215,0.465011108946673
"fastext.emb",0.641055998377731,0.661177039455475,0.650961071971897,0.727824156526709,0.708910405549019,0.718242786929666,0.659311864303999,0.68091539980295,0.669939515036699,0.539965197587848,0.539008768632533,0.539486559209162
"glove.emb",0.704794089672156,0.715080202533743,0.709899887833544,0.748507791339628,0.724230192809312,0.736168887983741,0.664712486798962,0.650955074882223,0.657761852950843,0.598847669091799,0.58400164833072,0.591331492012344
"cbow.emb",0.649591674561012,0.671618664230474,0.660421554319607,0.698420969385439,0.673816472472566,0.685898139107712,0.566840681426795,0.602868937571608,0.584299955875809,0.576269433126641,0.559959888642519,0.567997606502959
"sp.500d.emb",0.506381206340442,0.513406866626773,0.509869835424698,0.409016602859565,0.413621174027886,0.411306001802582,0.327687681565796,0.303279845800777,0.315011677228047,0.435971822483838,0.405353098737429,0.420105299982075
"paragram.ws.emb",0.700806860274336,0.745251965810093,0.722346395390909,0.704251324147953,0.698998064400129,0.701614861118865,0.667534021618879,0.721478733898606,0.693458859666708,0.57295738741017,0.589015660889152,0.58087556282078
"paragram.sl.emb",0.673896334702871,0.712107773408246,0.692475318947275,0.65991269767573,0.663198875415486,0.661551705648594,0.577674701043909,0.644090680132579,0.609077482179876,0.523350588690635,0.559683356245803,0.540907540970531
"cf.emb",0.665704753287701,0.701061446097629,0.682925780903607,0.629600158244673,0.639290436002809,0.634408295713432,0.590133865592383,0.645339605021349,0.616503332187175,0.52596249567297,0.56249728024768,0.543616732328188
"wordnet.randomwalks.emb",0.642379631334037,0.672436498553921,0.657064513002937,0.653156911178941,0.639886055155806,0.646453381942522,0.623200661807079,0.626093268553479,0.624643616419197,0.512866440522709,0.521033839530952,0.516917880432822
"wordnet.ukb.ppv",0.349012377991143,0.601535483664442,0.441731212217168,0.32040098049668,0.599138555928817,0.417523278051049,0.414159315945604,0.487960788614594,0.448041242844094,0.328489073593146,0.524896776321259,0.404091199316448
"en_wordsenses_BN.txt.nasari.unified",0.507512210801315,0.501685312278185,0.504581939884116,0.379733361963872,0.350367531252511,0.364459876166913,0.375996118832581,0.42778379667746,0.400221613271156,0.54337440625798,0.550647865971258,0.546986957806031
