"","en_wordsenses_BN.txt.nasari.unified","paragram.ws.emb","attract.reppel.emb","paragram.sl.emb","glove.emb","wordnet.randomwalks.emb","cbow.emb","fastext.emb","sp.500d.emb","cf.emb","wordnet.ukb.ppv"
"MC28",0.837385055257029,0.858433147256212,0.871006506066104,0.859464399612693,0.847557021592452,0.823982536864007,0.846343272995749,0.854141042609589,0.824786601284484,0.793429819088097,0.729360349600083
"RG65",0.840361674066542,0.872174959159742,0.87704083676606,0.861886026114062,0.875150183179981,0.860885664784488,0.86218047405375,0.872769308199724,0.867033490394153,0.823226361416841,0.770786247612691
"PSfull",0.89254406775968,0.901034372360551,0.884958459448774,0.876224930986311,0.89963763828478,0.894490904507464,0.896966398700611,0.894911904926083,0.90677268968668,0.874023995437506,0.750597508369524
"Agirre201",0.719733726928927,0.687383818206608,0.694509209499959,0.652100333916538,0.682404648769911,0.679676029507673,0.678902064029564,0.672100826032592,0.708190918799987,0.668525126583356,0.557646215865353
"SimLex665",0.690640687114979,0.60758785000132,0.591833554694954,0.583750835044485,0.594060011965523,0.600970178952281,0.597498462127019,0.623672628570962,0.609337237051411,0.512399086117004,0.565117177763607
"MTurk771",0.590467113251182,0.535913905546031,0.528639564388731,0.518046903493567,0.524745767151001,0.524487946596067,0.51490518214591,0.541070554467163,0.540021275256557,0.40198838386315,0.510402408852267
"MTurk287_235",0.617590783853378,0.47790188911694,0.486540538456851,0.442417794441004,0.479740370948708,0.468505758337583,0.481701306214909,0.467354643201615,0.496033874232503,0.452835687760722,0.338111026837814
"WS353Rel",0.541317732056532,0.0808405287602878,0.0785026785972212,0.0661428877665226,0.0793201641139313,0.0692558522535358,0.0846643176064149,0.0685464979857959,0.0914788172781929,0.0767498476175779,0.0197148116586605
"Rel122",0.463890195262975,0.21874531114637,0.220025052784335,0.193939382535583,0.1877584096669,0.193258283913596,0.210145188193061,0.211369116122144,0.188676685660795,0.195005854541577,0.174603882917511
"WS353Full",0.518396967105175,0.678556833026445,0.607798407102334,0.639697127472843,0.712919646153274,0.666717130870796,0.64194076751035,0.698166249837466,0.372508474301619,0.614889563112558,0.299687166395629
"SimLex111",0.47412441856591,0.844220358349868,0.876534009581869,0.815118431276136,0.614018142020151,0.637451247208106,0.597983919322139,0.483965180071458,0.700055838764758,0.857417526183706,0.442729322601082
"SimLex222",0.424137775676279,0.574245537433052,0.777070235503505,0.605419419436554,0.219878842855067,0.463693302245827,0.348625032900924,0.247217496830527,0.536703376009753,0.713058730128015,0.338360513107226
"SimLex999",0.344054331962414,0.67583868419615,0.745368454577478,0.689448659184313,0.43668782214272,0.532038897322614,0.453928250205296,0.385185516989673,0.493177606777331,0.728469232571566,0.370441940009267
"SimVerb3500",0.285642686715825,0.52418746949781,0.66598144411919,0.545519153944753,0.29387576943901,0.548905697696109,0.375437061474568,0.263270953384877,0.327053276838918,0.613221744312994,0.387371312742525
"MEN",0.547290163739531,0.753980445935942,0.65458566556218,0.711843183774674,0.800073601537624,0.725001358701884,0.72271921725798,0.755400374083277,0.437527256626106,0.680117831740506,0.362064880721601
"YP130",0.545807763732209,0.721086611099848,0.746437331041069,0.711947350999188,0.509287371888612,0.792227241147264,0.557206481813017,0.517417019778617,0.407244329747186,0.702787570980145,0.582852806019079
"RW2034",-0.0172581141877054,0.504799046164391,0.318723694258163,0.498313005681692,0.439566470209742,0.252991234765074,0.437694476969585,0.432286291000991,0.22859545881699,0.287973972548904,0.268798336923763
"RW1401",0.0132683470481318,0.517761531726759,0.329492724368609,0.510656888654517,0.464515385885098,0.453204156960952,0.44822991510269,0.450997708947292,0.263171547390027,0.294888335064213,0.335395088528534
"SCWS1994",0.076705551753863,0.114744165354897,0.113316937690577,0.115678236068939,0.106162997249119,0.110405346728002,0.105349370079239,0.105644842460486,0.0885699830207648,0.113628384712377,0.0854675787903507
"Avg",0.653313856474755,0.614799361175489,0.610671710671563,0.591708095696341,0.590664727622419,0.583607412163236,0.583021032081771,0.580733450184054,0.573172354791922,0.570044659247463,0.468977828952202
