"","paragram.ws.emb","paragram.sl.emb","attract.reppel.emb","cf.emb","wordnet.randomwalks.emb","glove.emb","cbow.emb","fastext.emb","en_wordsenses_BN.txt.nasari.unified","sp.500d.emb","wordnet.ukb.ppv"
"MC28",0.796,0.781,0.837,0.806,0.835,0.845,0.796,0.842,0.831,0.606,0.542
"RG65",0.81,0.798,0.84,0.806,0.797,0.77,0.772,0.793,0.791,0.69,0.548
"PSfull",0.849,0.854,0.893,0.866,0.843,0.759,0.786,0.818,0.812,0.709,0.629
"Agirre201",0.765,0.748,0.72,0.701,0.773,0.797,0.763,0.775,0.688,0.454,0.375
"SimLex665",0.662,0.682,0.691,0.697,0.543,0.467,0.461,0.411,0.473,0.435,0.361
"MTurk771",0.701,0.674,0.59,0.666,0.642,0.705,0.65,0.641,0.508,0.506,0.349
"MTurk287_235",0.704,0.66,0.618,0.63,0.653,0.749,0.698,0.728,0.38,0.409,0.32
"WS353Rel",0.668,0.578,0.541,0.59,0.623,0.665,0.567,0.659,0.376,0.328,0.414
"Rel122",0.573,0.523,0.464,0.526,0.513,0.599,0.576,0.54,0.543,0.436,0.328
"WS353Full",0.679,0.64,0.608,0.615,0.667,0.713,0.642,0.698,0.518,0.373,0.3
"SimLex111",0.844,0.815,0.877,0.857,0.637,0.614,0.598,0.484,0.474,0.7,0.443
"SimLex222",0.574,0.605,0.777,0.713,0.464,0.22,0.349,0.247,0.424,0.537,0.338
"SimLex999",0.676,0.689,0.745,0.728,0.532,0.437,0.454,0.385,0.344,0.493,0.37
"SimVerb3500",0.524,0.546,0.666,0.613,0.549,0.294,0.375,0.263,0.286,0.327,0.387
"MEN",0.754,0.712,0.655,0.68,0.725,0.8,0.723,0.755,0.547,0.438,0.362
"YP130",0.721,0.712,0.746,0.703,0.792,0.509,0.557,0.517,0.546,0.407,0.583
"RW2034",0.505,0.498,0.319,0.288,0.253,0.44,0.438,0.432,-0.017,0.229,0.269
"RW1401",0.518,0.511,0.329,0.295,0.453,0.465,0.448,0.451,0.013,0.263,0.335
"SCWS1994",0.115,0.116,0.113,0.114,0.11,0.106,0.105,0.106,0.077,0.089,0.085
"Avg",0.655,0.639,0.633,0.626,0.6,0.576,0.566,0.555,0.453,0.444,0.386
