"","paragram.ws.emb","paragram.sl.emb","attract.reppel.emb","cf.emb","wordnet.randomwalks.emb","glove.emb","cbow.emb","fastext.emb","wordnet.ukb.ppv","sp.500d.emb","en_wordsenses_BN.txt.nasari.unified"
"MC28",0.824366941522738,0.760848797904911,0.883504523511749,0.856947368637054,0.908692752877438,0.862149285571272,0.780561325234582,0.845448394361413,0.894182142481987,0.652429897591725,0.796431374150495
"RG65",0.812662545182634,0.774875976926058,0.824988528118845,0.807876392233999,0.822803070151432,0.768975240414042,0.760058571906996,0.80053325346349,0.857921826594973,0.662958674414823,0.744864723489636
"PSfull",0.821075405156151,0.793780526495446,0.842535429851758,0.831193522706117,0.81384193451028,0.754815939904542,0.767250516332038,0.800576929428576,0.840599663454184,0.674264360446287,0.752469426968425
"Agirre201",0.808165663536003,0.777554956750417,0.738164088927676,0.694588501069959,0.784181476132779,0.79527912272106,0.771843204428197,0.777167030493086,0.717518645885292,0.483328038161908,0.671100726041738
"SimLex665",0.644558777515372,0.679298749701493,0.690255075183177,0.698112355473307,0.528918239785162,0.429117497603844,0.453659062747484,0.409930288457861,0.523519343556725,0.459564871480688,0.480778130188026
"MTurk771",0.745251965810093,0.712107773408246,0.598572168923944,0.701061446097629,0.672436498553921,0.715080202533743,0.671618664230474,0.661177039455475,0.601535483664442,0.513406866626773,0.501685312278185
"MTurk287_235",0.698998064400129,0.663198875415486,0.606066654031428,0.639290436002809,0.639886055155806,0.724230192809312,0.673816472472566,0.708910405549019,0.599138555928817,0.413621174027886,0.350367531252511
"WS353Rel",0.721478733898606,0.644090680132579,0.586360646994098,0.645339605021349,0.626093268553479,0.650955074882223,0.602868937571608,0.68091539980295,0.487960788614594,0.303279845800777,0.42778379667746
"Rel122",0.589015660889152,0.559683356245803,0.466137452755215,0.56249728024768,0.521033839530952,0.58400164833072,0.559959888642519,0.539008768632533,0.524896776321259,0.405353098737429,0.550647865971258
"WS353Full",0.763781695864953,0.71614019817536,0.666482313914865,0.68026640336482,0.717893035668986,0.71604975082553,0.684165433464434,0.738270136828634,0.606120539092048,0.391258431735213,0.559134933190939
"SimLex111",0.825187744781838,0.795052315187862,0.87181692508108,0.846547568786422,0.643466892039475,0.621813085247647,0.592186640777855,0.507738988191122,0.555351036316376,0.675686527960933,0.451965273447691
"SimLex222",0.56191773350933,0.589526240264388,0.78301173615698,0.726821827430476,0.445939190909789,0.195811340657365,0.321869275129522,0.230550939012598,0.367120967908515,0.544203801440911,0.371186218814005
"SimLex999",0.666530493203082,0.684942067679321,0.750853894330222,0.735830408864914,0.524791200475037,0.408285596742584,0.441962291206694,0.380333162793095,0.496578812770919,0.513370994976822,0.353965911517933
"SimVerb3500",0.514371819715125,0.539838794494208,0.671791447737891,0.62776431272176,0.54521599296577,0.283276951183888,0.363548365378711,0.258055877671908,0.498522842990061,0.328394381672139,0.211540540566408
"MEN",0.799121015289807,0.771039516445056,0.709460713027981,0.741393689152684,0.754374495710645,0.800551136592968,0.732075495805277,0.76208581492466,0.668645292188902,0.43438334943645,0.562591033477205
"YP130",0.669472917580453,0.654872860940502,0.655060990379381,0.621461595669493,0.776637451169976,0.534620042919342,0.530125403035617,0.509312730950786,0.686031891414283,0.361360292635862,0.376963256929861
"RW2034",0.536070067092106,0.53260046102727,0.272885488414737,0.206651951625381,0.263551502332429,0.451205845854442,0.452741856444593,0.463769671822308,0.241488119621099,0.159176473160194,-0.0370987193113497
"RW1401",0.550269182039691,0.546753199284072,0.280671875882165,0.21671898189523,0.442774507797204,0.475035411034705,0.473033382630231,0.484535458826408,0.397587261723993,0.203389182128974,-0.0410033968078723
"SCWS1994",0.69086500383512,0.67991049045719,0.587154569796721,0.611304226200063,0.624684528943535,0.624246547939107,0.64251820878957,0.651511670785904,0.557707667533875,0.468870781306158,0.360893473583768
"Avg",0.697008496359073,0.67769030720714,0.657146027527364,0.655350940694797,0.634590312277058,0.599763153356228,0.593466473485735,0.589991155865886,0.585390929371702,0.455173739144313,0.444540390127701
