"","paragram.ws.emb","paragram.sl.emb","attract.reppel.emb","cf.emb","wordnet.randomwalks.emb","glove.emb","cbow.emb","fastext.emb","wordnet.ukb.ppv","en_wordsenses_BN.txt.nasari.unified","sp.500d.emb"
"MC28",0.809852757940324,0.770731007897354,0.859826793500649,0.830639487633646,0.870309060826359,0.85346434047549,0.788242281171972,0.843769848894912,0.674531366784998,0.813359429210735,0.628334524410832
"RG65",0.811358552587979,0.786358809428639,0.832604144961059,0.806916842905298,0.809614475462375,0.769711928155198,0.766013254470055,0.796891371585757,0.668690545803784,0.767227744226995,0.676439146282601
"PSfull",0.835021573844127,0.822951163490208,0.866819071779436,0.848225917710967,0.828212235980597,0.756975706380045,0.776647732767528,0.809071301839944,0.719533236931244,0.780882517591988,0.691242884903231
"Agirre201",0.786051870055623,0.762344530240699,0.728832412025876,0.697593161510772,0.77866371764108,0.796026382649294,0.767283145288013,0.775926817678491,0.492560644877816,0.679304456722112,0.468328922015625
"SimLex665",0.65316289957088,0.680890588395806,0.690447827308461,0.697350132170815,0.535808055663847,0.447413011809559,0.457366630530405,0.410556777368378,0.427418428936502,0.476621590422897,0.447091931857693
"MTurk771",0.722346395390909,0.692475318947275,0.594492017135838,0.682925780903607,0.657064513002937,0.709899887833544,0.660421554319607,0.650961071971897,0.441731212217168,0.504581939884116,0.509869835424698
"MTurk287_235",0.701614861118865,0.661551705648594,0.611774453114386,0.634408295713432,0.646453381942522,0.736168887983741,0.685898139107712,0.718242786929666,0.417523278051049,0.364459876166913,0.411306001802582
"WS353Rel",0.693458859666708,0.609077482179876,0.562939613802412,0.616503332187175,0.624643616419197,0.657761852950843,0.584299955875809,0.669939515036699,0.448041242844094,0.400221613271156,0.315011677228047
"Rel122",0.58087556282078,0.540907540970531,0.465011108946673,0.543616732328188,0.516917880432822,0.591331492012344,0.567997606502959,0.539486559209162,0.404091199316448,0.546986957806031,0.420105299982075
"WS353Full",0.718651382166209,0.675763705533913,0.635789088037008,0.645927938243338,0.691359339372004,0.714481270300079,0.662380860807936,0.717658362850221,0.401070880175148,0.537995865345765,0.381653303675087
"SimLex111",0.834595557909164,0.804960340214304,0.87416910393905,0.851947876594748,0.640444943825417,0.617891030527978,0.595071160881011,0.495567123166822,0.492686156815739,0.46277973793109,0.687655349597957
"SimLex222",0.568014754788868,0.597367137536286,0.780029671863843,0.719874501501275,0.454642985138873,0.207148365341917,0.334713316094939,0.238593518360165,0.352154499917128,0.395899277024476,0.540427565962775
"SimLex999",0.671152316497221,0.687187974933555,0.748101119113712,0.732131318044713,0.528390196697084,0.422009365191549,0.447865359060466,0.382743961206402,0.424334984325329,0.348939751711365,0.503071740898222
"SimVerb3500",0.519233259685714,0.542664109776126,0.668873829384187,0.620407819543946,0.547054623938423,0.288479042093591,0.369397081571312,0.260637331109682,0.435974087584992,0.24306937579938,0.327722457245002
"MEN",0.775894730006198,0.740259798190383,0.680919388544007,0.709435077973604,0.739396324103793,0.800312297830695,0.72736726983023,0.758728367806761,0.469759558650356,0.554835129385484,0.435949634931619
"YP130",0.694321886125026,0.682218472502984,0.697770336010578,0.659627351524794,0.784354888378887,0.521646331379797,0.543328701864205,0.513332890561808,0.630247356183268,0.445938304665173,0.382932722198483
"RW2034",0.519964816130905,0.514886545054474,0.294028806598415,0.240627838275521,0.258163420800109,0.445310114433208,0.445091024753999,0.447474889133341,0.254412415255985,-0.0235574404496551,0.18767226771362
"RW1401",0.533520639214882,0.5280889425835,0.303129158918935,0.24983184418749,0.447928629158143,0.469716502799597,0.460297753006882,0.46716543969138,0.363852730690704,0.0392317521484195,0.229450283303769
"SCWS1994",0.196801951292763,0.197717347163219,0.189970775653853,0.191635776195899,0.187646475067076,0.181465001349491,0.181018379384236,0.181808771679805,0.148220642163538,0.126520085341838,0.148994762481576
"Avg",0.664520769832271,0.647284343194091,0.636080458980967,0.63050668553417,0.607740461255344,0.578274358499893,0.56951058985733,0.562029300320068,0.456149182501331,0.44554199811612,0.441750542732394
