"","en_wordsenses_BN.txt.nasari.unified","paragram.ws.emb","attract.reppel.emb","paragram.sl.emb","glove.emb","cbow.emb","fastext.emb","wordnet.randomwalks.emb","cf.emb","sp.500d.emb","wordnet.ukb.ppv"
"MC28",0.86,0.861,0.874,0.854,0.848,0.857,0.85,0.828,0.816,0.816,0.769
"RG65",0.833,0.837,0.856,0.831,0.838,0.83,0.848,0.828,0.792,0.83,0.79
"PSfull",0.867,0.844,0.853,0.836,0.847,0.841,0.853,0.839,0.811,0.848,0.773
"Agirre201",0.729,0.675,0.68,0.651,0.666,0.667,0.663,0.663,0.653,0.683,0.589
"SimLex665",0.69,0.601,0.59,0.587,0.592,0.592,0.617,0.595,0.512,0.603,0.576
"MTurk771",0.594,0.513,0.504,0.498,0.501,0.489,0.524,0.501,0.383,0.52,0.5
"MTurk287_235",0.612,0.416,0.418,0.4,0.415,0.428,0.412,0.393,0.384,0.401,0.324
"WS353Rel",0.563,0.057,0.032,0.048,0.051,0.062,0.043,0.044,0.053,0.047,-0.005
"Rel122",0.465,0.205,0.235,0.191,0.188,0.194,0.192,0.186,0.189,0.181,0.165
"WS353Full",0.538,0.719,0.636,0.676,0.714,0.662,0.718,0.691,0.646,0.382,0.401
"SimLex111",0.463,0.835,0.874,0.805,0.618,0.595,0.496,0.64,0.852,0.688,0.493
"SimLex222",0.396,0.568,0.78,0.597,0.207,0.335,0.239,0.455,0.72,0.54,0.352
"SimLex999",0.349,0.671,0.748,0.687,0.422,0.448,0.383,0.528,0.732,0.503,0.424
"SimVerb3500",0.243,0.519,0.669,0.543,0.288,0.369,0.261,0.547,0.62,0.328,0.436
"MEN",0.555,0.776,0.681,0.74,0.8,0.727,0.759,0.739,0.709,0.436,0.47
"YP130",0.446,0.694,0.698,0.682,0.522,0.543,0.513,0.784,0.66,0.383,0.63
"RW2034",-0.024,0.52,0.294,0.515,0.445,0.445,0.447,0.258,0.241,0.188,0.254
"RW1401",0.039,0.534,0.303,0.528,0.47,0.46,0.467,0.448,0.25,0.229,0.364
"SCWS1994",0.127,0.197,0.19,0.198,0.181,0.181,0.182,0.188,0.192,0.149,0.148
"Avg",0.656,0.597,0.596,0.58,0.571,0.565,0.565,0.564,0.554,0.545,0.489
