
Distance;# pairs;Overall time (secs);Avg speed (concept pairs/secs)
0;1195;0.0;Infinity
1;1474;0.019;77578.94736842105
2;11355;0.155;73258.06451612903
3;28988;0.605;47914.04958677686
4;73383;1.947;37690.29275808937
5;149310;4.133;36126.300508105494
6;287932;7.322;39324.22835290904
7;486772;10.887;44711.307063470194
8;777541;14.986;51884.492192713195
9;1068198;19.099;55929.52510602649
10;1337996;23.109;57899.34657492751
11;1508300;26.023;57960.26591861046
12;1452572;25.022;58051.7944209096
13;1200280;21.065;56979.824353192496
14;817965;14.782;55335.204979028545
15;453671;8.453;53669.82136519579
16;211106;3.992;52882.26452905811
17;87576;1.673;52346.68260609683
18;31787;0.605;52540.49586776859
19;10165;0.195;52128.205128205125
20;3073;0.056;54875.0
21;1606;0.029;55379.31034482759
22;1122;0.019;59052.63157894737
23;1007;0.015;67133.33333333334
24;1001;0.012;83416.66666666667
