
# Subgraph dimension;# concept pairs;Overall time (secs);Avg time (time/concept pair)
3;300000;8.782;2.9273333333333333E-5
4;300144;70.602;2.3522709099632177E-4
5;302640;17.858;5.900740153317473E-5
6;324666;17.677;5.4446723709904945E-5
7;363916;20.039;5.506490508798734E-5
8;484844;17.655;3.641377432741253E-5
9;518133;12.77;2.4646181578861025E-5
10;1054934;18.383;1.7425734690511445E-5
11;1609766;23.969;1.4889741738861425E-5
12;1904298;27.391;1.43837781691731E-5
13;2066270;27.319;1.3221408625203869E-5
14;2139371;27.814;1.3001017588814656E-5
15;2113212;27.829;1.3169052608067718E-5
16;2081410;27.575;1.3248230766643766E-5
17;1981315;26.976;1.3615200006056583E-5
18;1854670;28.765;1.5509497646481586E-5
19;1751618;26.797;1.5298426940120506E-5
20;1642209;25.182;1.533422359760542E-5
21;1560294;24.489;1.569511899680445E-5
22;1499313;25.097;1.6738999795239553E-5
23;1473817;26.488;1.7972380560137385E-5
24;1433695;26.143;1.8234701243988436E-5
25;1398544;23.133;1.654077383335812E-5
26;1347706;23.014;1.7076424680160213E-5
27;1301994;22.749;1.7472430748528793E-5
28;1236687;22.28;1.8015876288826518E-5
29;1170779;21.835;1.864997578535317E-5
30;1098478;20.998;1.9115539865158883E-5
31;1029182;20.823;2.023257305316261E-5
32;967063;20.862;2.1572534571170647E-5
33;905176;18.949;2.0934050394619392E-5
34;867230;18.963;2.186617160384212E-5
35;815121;18.457;2.264326400620276E-5
36;773923;18.063;2.333953119367172E-5
37;732862;18.136;2.474681454352934E-5
38;695270;17.524;2.520459677535346E-5
39;650822;16.637;2.556305717999699E-5
40;608190;15.474;2.54427070487841E-5
41;564955;14.711;2.6039242063527184E-5
42;533390;14.505;2.7193985639025857E-5
43;490482;13.717;2.796636777700303E-5
44;459089;13.164;2.8674178645099314E-5
45;423741;12.533;2.957702936463547E-5
46;398238;12.287;3.085340926782477E-5
47;371800;12.387;3.331629908552986E-5
48;345186;11.56;3.3489191334526894E-5
49;316928;10.492;3.310531098546042E-5
50;583500;19.219;3.293744644387318E-5
51;525128;18.382;3.5004798829999543E-5
52;479850;17.432;3.632801917265812E-5
53;429626;15.641;3.6406083430704846E-5
54;397444;14.927;3.755749237628446E-5
55;355606;13.75;3.8666389206031396E-5
56;325534;12.663;3.889916260667089E-5
57;436842;16.766;3.8380009248195E-5
58;401139;16.161;4.0287780544898405E-5
59;368532;14.063;3.815950853657213E-5
60;347592;13.51;3.886740776542613E-5
61;327363;12.837;3.9213350317537415E-5
62;309234;12.52;4.0487139189093045E-5
63;387956;16.474;4.246357834393591E-5
64;361224;15.724;4.3529776537550106E-5
65;335416;14.833;4.422269659169509E-5
66;310096;13.987;4.510538671895155E-5
67;361160;16.311;4.516280872743382E-5
68;328115;15.005;4.573091751367661E-5
69;308055;14.463;4.6949408384866337E-5
70;341700;15.803;4.624817091015511E-5
71;306318;14.661;4.786202573795859E-5
72;337393;16.254;4.817527334592004E-5
73;333920;16.367;4.901473406804025E-5
74;336951;16.446;4.880828369703607E-5
75;320958;16.339;5.090697225182111E-5
76;309920;15.628;5.042591636551368E-5
77;311069;15.867;5.100797572242815E-5
78;317352;16.313;5.140348887040258E-5
79;322868;16.737;5.1838522244384694E-5
80;319018;16.58;5.19719890413707E-5
81;300454;15.683;5.219767418639792E-5
82;303632;15.944;5.251093428887601E-5
83;303120;16.32;5.384006334125099E-5
84;301720;16.263;5.3900967784701054E-5
85;304842;16.556;5.431010162641631E-5
86;308784;17.0;5.505466604487279E-5
87;309287;17.237;5.5731408044955E-5
88;303345;17.17;5.660221859598807E-5
89;302214;17.251;5.708206767389996E-5
90;302148;17.252;5.709784608867177E-5
91;305500;17.64;5.774140752864157E-5
92;300040;17.658;5.8852153046260505E-5
93;304425;17.997;5.91180093619118E-5
94;302784;18.024;5.9527584020291696E-5
95;305030;17.291;5.668622758417205E-5
96;300687;17.528;5.829317529524056E-5
97;301456;16.467;5.462488721405445E-5
98;302880;17.261;5.698956682514527E-5
99;300696;17.376;5.7785936627025304E-5
100;302162;17.612;5.828661446508826E-5
