
Distance;# pairs;Overall time (secs);Avg speed (concept pairs/secs)
0;1038;0.0;Infinity
1;1208;0.001;1208000.0
2;2081;0.001;2081000.0
3;6800;0.003;2266666.6666666665
4;30944;0.014;2210285.714285714
5;124062;0.041;3025902.43902439
6;377616;0.118;3200135.593220339
7;824698;0.29;2843786.206896552
8;1329576;0.519;2561803.4682080923
9;1647516;0.686;2401626.822157434
10;1633188;0.728;2243390.10989011
11;1366349;0.554;2466333.9350180505
12;1014677;0.191;5312445.026178011
13;689746;0.14;4926757.142857143
14;437712;0.078;5611692.307692308
15;255355;0.046;5551195.652173913
16;138489;0.024;5770375.0
17;69407;0.012;5783916.666666667
18;31925;0.005;6385000.0
19;12999;0.002;6499500.0
20;4652;0.001;4652000.0
21;1382;0.0;Infinity
22;1240;0.0;Infinity
23;1014;0.0;Infinity
24;1000;0.001;1000000.0
