
# Subgraph dimension;# concept pairs;Overall time (secs);Avg time (time/concept pair)
2;5000000;0.257;5.1400000000000004E-8
3;3333382;0.143;4.289937366914443E-8
4;2500142;0.78;3.1198227940652973E-7
5;2000337;0.09;4.4992418777436E-8
6;1672188;0.108;6.45860393687791E-8
7;1428686;0.073;5.109590210865088E-8
8;1251168;0.089;7.113353282692652E-8
9;1119820;0.082;7.32260541872801E-8
10;1012440;0.084;8.296787957804908E-8
11;909096;0.037;4.0699772081276346E-8
12;966594;0.094;9.724868972908998E-8
13;769233;0.046;5.979982658050291E-8
14;717090;0.067;9.343318133009804E-8
15;779839;0.085;1.0899685704356926E-7
16;869206;0.091;1.0469324878107146E-7
18;814349;0.098;1.203415243341614E-7
20;3053404;0.358;1.1724619473872438E-7
21;558097;0.068;1.2184261875623772E-7
22;454916;0.039;8.573011281203563E-8
24;3466899;0.508;1.4652864130163584E-7
25;2730573;0.345;1.2634710736537714E-7
26;384657;0.025;6.499296776088827E-8
27;477660;0.063;1.3189297826906168E-7
28;2178757;0.295;1.353983027937489E-7
30;5734346;0.877;1.529381031420148E-7
32;1259364;0.185;1.4689954612010506E-7
33;330003;0.039;1.181807438114199E-7
35;3903137;0.601;1.5397870994535932E-7
36;3540651;0.592;1.6720089045771526E-7
39;259325;0.027;1.0411645618432468E-7
40;2659156;0.466;1.752435735248327E-7
42;4025404;0.669;1.6619449873851171E-7
44;286640;0.042;1.465252581635501E-7
45;1117073;0.185;1.656113790235732E-7
48;2376137;0.434;1.826494011077644E-7
49;1392340;0.222;1.594438140109456E-7
50;732303;0.126;1.720599260142318E-7
52;199980;0.027;1.35013501350135E-7
54;1151943;0.209;1.814325882443836E-7
55;257365;0.044;1.709634177141414E-7
56;1611236;0.292;1.8122733106757792E-7
60;856791;0.171;1.9958192838160067E-7
63;797289;0.151;1.8939180146722205E-7
64;464976;0.085;1.82805134028423E-7
65;164560;0.03;1.8230432668935343E-7
66;264062;0.05;1.8934947095757815E-7
70;530749;0.101;1.9029710842601683E-7
72;566624;0.116;2.0472129666233695E-7
77;183375;0.034;1.85412406271302E-7
78;135892;0.024;1.766108380184264E-7
80;302750;0.06;1.981833195706028E-7
81;228506;0.044;1.9255511890278592E-7
84;162280;0.031;1.910278530934188E-7
88;210548;0.041;1.9472994281588998E-7
90;149627;0.03;2.0049857311848796E-7
91;117820;0.021;1.7823799015447292E-7
96;126480;0.023;1.8184693232131561E-7
98;103032;0.017;1.6499728239770168E-7
99;105118;0.02;1.90262371810727E-7
100;147051;0.027;1.8360976803965972E-7
104;107528;0.02;1.8599806562011755E-7
108;105185;0.019;1.8063412083471977E-7
110;102657;0.018;1.7534118472193808E-7
112;91466;0.016;1.7492838869087966E-7
117;86970;0.015;1.7247326664367023E-7
120;96236;0.017;1.7664907103370882E-7
121;83510;0.013;1.556699796431565E-7
126;79917;0.013;1.6266876884767946E-7
130;81270;0.013;1.5996062507690413E-7
132;77440;0.013;1.6787190082644628E-7
140;71540;0.01;1.3978194017332962E-7
143;69975;0.01;1.429081814933905E-7
144;70200;0.008;1.1396011396011396E-7
154;65156;0.007;1.0743446497636442E-7
156;64375;0.007;1.087378640776699E-7
168;59584;0.005;8.391514500537058E-8
169;59248;0.005;8.439103429651635E-8
182;54964;0.005;9.096863401499163E-8
196;51023;0.005;9.799502185288987E-8
