
# Subgraph dimension;# concept pairs;Overall time (secs);Avg time (time/concept pair)
4;500000;1.795;3.59E-6
5;500126;3.907;7.81203136809524E-6
6;500000;3.362;6.724E-6
7;502957;4.577;9.10018152645256E-6
8;511020;5.003;9.790223474619389E-6
9;518336;5.551;1.0709269662921349E-5
10;532240;6.256;1.1754095896588006E-5
11;502275;6.691;1.332138768602857E-5
12;536624;7.992;1.4893109514296789E-5
13;662592;10.227;1.5434837728194727E-5
14;586770;10.219;1.7415682465020364E-5
15;655287;12.914;1.970739538553336E-5
16;707379;15.655;2.2130993427851263E-5
17;738198;18.273;2.4753521412954247E-5
18;746007;20.517;2.750242289951703E-5
19;732582;22.402;3.0579511918119744E-5
20;713313;24.119;3.381264606140642E-5
21;687180;25.603;3.7258069210396116E-5
22;660375;26.687;4.041188718531138E-5
23;636243;27.802;4.369714087227679E-5
24;619293;29.55;4.771570161458308E-5
25;609828;28.787;4.720511357300747E-5
26;602283;30.004;4.981711255340098E-5
27;590469;31.226;5.28833859186511E-5
28;592263;32.741;5.528118420363926E-5
29;578130;33.454;5.786587791673153E-5
30;561474;33.857;6.030020980490637E-5
31;546936;34.282;6.268009419749293E-5
32;536310;34.747;6.478902127500886E-5
33;523113;34.999;6.690523844752473E-5
34;507726;35.424;6.97699152692594E-5
35;658864;48.062;7.294676898419097E-5
36;652076;50.255;7.70692373281642E-5
37;643852;52.534;8.159328541341799E-5
38;644820;55.953;8.677305294500792E-5
39;635636;58.678;9.231383999647596E-5
40;631288;61.875;9.801390173740036E-5
41;629332;64.194;1.0200339407498745E-4
42;618800;65.527;1.0589366515837105E-4
43;612608;66.924;1.092444107814459E-4
44;602452;67.421;1.1191099041915373E-4
45;586976;67.101;1.1431642861036907E-4
46;567736;65.47;1.1531768286668451E-4
47;550576;64.649;1.1742066490366453E-4
48;533900;62.697;1.1743210339014797E-4
49;516876;55.799;1.0795432560227212E-4
50;500156;54.699;1.0936387846991738E-4
51;604310;66.565;1.101504194866873E-4
52;585030;65.28;1.1158402133223937E-4
53;570425;64.184;1.1251961256957532E-4
54;552520;62.778;1.1362122638094549E-4
55;537380;61.45;1.1435111094569952E-4
56;516935;59.863;1.1580372774139882E-4
57;599910;70.361;1.1728592622226668E-4
58;575748;68.555;1.1907119086822708E-4
59;553956;66.617;1.202568435038162E-4
60;533934;64.988;1.2171541801046571E-4
61;514782;63.065;1.225081685062803E-4
62;576142;71.918;1.248268655991058E-4
63;551173;69.334;1.2579353487924844E-4
64;531377;67.956;1.27886604049479E-4
65;509229;65.76;1.29136400322841E-4
66;557272;72.716;1.304856515310297E-4
67;533640;70.913;1.3288546585713215E-4
68;507368;68.069;1.341610034531149E-4
69;543528;73.859;1.3588812351893553E-4
70;521559;71.755;1.37577915441973E-4
71;547590;76.525;1.397487171058639E-4
72;525340;74.547;1.4190238702554536E-4
73;541794;77.826;1.4364500160577635E-4
74;521433;76.245;1.4622204578536456E-4
75;539604;79.346;1.4704486994166093E-4
76;513684;77.022;1.4994043030345505E-4
77;532636;80.902;1.518898459736105E-4
78;537040;82.484;1.5359004915834945E-4
79;509404;79.47;1.5600584212138106E-4
80;516015;80.933;1.568423398544616E-4
81;521984;82.653;1.583439339136832E-4
82;524263;84.419;1.6102414246284784E-4
83;521370;84.714;1.6248345704585995E-4
84;514273;84.542;1.6439128634013452E-4
85;511120;84.49;1.653036468930975E-4
86;504504;84.881;1.6824643610357896E-4
87;513245;87.455;1.7039620454169062E-4
88;506184;86.811;1.715008771513916E-4
89;507676;87.972;1.7328374790220532E-4
90;500769;86.865;1.7346321357751776E-4
91;514920;91.422;1.7754602656723373E-4
92;501549;89.235;1.7791880753425886E-4
93;511768;92.262;1.8028090853668068E-4
94;506628;91.387;1.8038284500659262E-4
95;508440;92.918;1.827511604122414E-4
96;508113;92.947;1.8292584523521343E-4
97;504724;85.26;1.6892400599139332E-4
98;502504;84.66;1.6847627083565504E-4
99;506700;86.433;1.7058022498519837E-4
100;501606;86.048;1.7154499746813235E-4
