
# Subgraph dimension;# concept pairs;Overall time (secs);Avg time (time/concept pair)
4;500000;0.095;1.9E-7
5;500010;0.183;3.659926801463971E-7
6;500280;0.363;7.255936675461741E-7
7;501144;0.538;1.0735437319413184E-6
8;504955;0.664;1.3149686605737146E-6
9;521662;0.842;1.6140719469694936E-6
10;548358;1.125;2.051579442626897E-6
11;576186;1.367;2.3724977698173855E-6
12;656256;1.696;2.584357323971133E-6
13;520046;1.665;3.2016398549359095E-6
14;718272;2.558;3.5613249576762003E-6
15;880300;3.448;3.9168465295921845E-6
16;1007472;4.203;4.171828100433561E-6
17;1073502;4.826;4.495566845706855E-6
18;1069243;5.503;5.146631775938678E-6
19;980144;5.86;5.978713331918575E-6
20;810668;4.715;5.816191091790967E-6
21;634939;3.684;5.8021321733268866E-6
22;957788;5.375;5.611889061044824E-6
23;705754;4.179;5.92132669457063E-6
24;516602;3.337;6.459518159047004E-6
25;544059;3.819;7.0194592865847265E-6
26;507744;3.53;6.9523224302010456E-6
27;519138;3.596;6.92686722990804E-6
28;524637;3.788;7.220230368807384E-6
29;510419;3.826;7.495802468168309E-6
30;512480;3.879;7.569075866375273E-6
31;508834;4.102;8.061568212815968E-6
32;504406;4.03;7.98959568284279E-6
33;500916;4.004;7.993356171493823E-6
34;500487;4.06;8.112098815753455E-6
35;500388;3.972;7.937840235976882E-6
36;501322;4.089;8.156434387479504E-6
37;500088;4.115;8.22855177488762E-6
38;500402;4.426;8.844888709477581E-6
39;500075;4.496;8.990651402289658E-6
40;500066;4.758;9.5147440537849E-6
41;500094;4.982;9.962127120101421E-6
42;500010;5.054;1.010779784404312E-5
43;500010;4.545;9.089818203635928E-6
44;500004;5.067;1.0133918928648572E-5
45;500004;4.74;9.479924160606716E-6
46;500000;4.324;8.648E-6
47;500000;4.756;9.512E-6
48;500000;5.429;1.0858E-5
49;500000;7.803;1.5606E-5
51;500000;5.909;1.1818E-5
52;500000;5.329;1.0658E-5
