
GO Id1;GO Id1;Rada;AncSPLRada
GO:1900306;GO:0001777;-5.0;-5.0
GO:1904793;GO:0009851;-3.5;-3.5
GO:0070548;GO:0072280;-5.5;-5.5
GO:1904300;GO:1901227;-2.0;-3.5
GO:1904340;GO:0031380;-6.5;-7.5
GO:0008907;GO:0046219;-4.5;-4.5
GO:0052094;GO:0030901;-2.0;-2.0
GO:2000022;GO:1900171;-0.5;-0.5
GO:0030976;GO:1990340;-3.0;-3.0
GO:1900840;GO:1902831;-3.0;-4.0
GO:0018301;GO:0005088;-4.5;-4.5
GO:0060213;GO:0052887;-6.0;-7.0
GO:1990405;GO:0003978;-3.0;-3.0
GO:0006607;GO:1990736;-3.5;-4.5
GO:0102626;GO:0120185;-5.0;-6.0
GO:0030679;GO:0030281;-3.5;-3.5
GO:0050321;GO:0140068;-2.5;-3.5
GO:0032534;GO:0052820;-6.0;-6.0
GO:0010256;GO:0097063;-3.0;-3.0
GO:0003278;GO:0010280;-4.5;-5.0
GO:0046187;GO:0031363;-2.5;-3.0
GO:1900549;GO:0090481;-2.5;-2.5
GO:0034611;GO:0099699;-4.5;-4.5
GO:0090669;GO:0071369;-4.0;-4.0
GO:0003913;GO:0048747;-4.5;-4.5
GO:0045486;GO:0001985;-5.0;-5.0
GO:0032152;GO:1903761;-5.0;-5.0
GO:0072164;GO:0038011;-4.0;-4.0
GO:0060578;GO:0018085;-4.5;-4.5
GO:0006769;GO:0045538;-3.5;-4.5
GO:0034281;GO:0000466;-7.0;-8.0
GO:0050704;GO:0098624;-4.5;-4.5
GO:0006006;GO:1900498;-4.0;-5.0
GO:0033701;GO:1901326;-4.5;-4.5
GO:0036289;GO:0021858;-4.0;-5.0
GO:0070016;GO:0051877;-5.0;-5.0
GO:0090028;GO:0052604;-4.5;-5.0
GO:0003958;GO:1900583;-4.5;-4.5
GO:0043113;GO:2001010;-2.5;-4.0
GO:0000921;GO:1901876;-2.5;-4.0
GO:0110162;GO:0031904;-6.0;-6.0
GO:0001956;GO:0061076;-2.0;-3.0
GO:0060281;GO:0072552;-5.5;-5.5
GO:1901296;GO:1990160;-5.5;-6.0
GO:2000291;GO:1900109;-3.5;-3.5
GO:0043354;GO:2000327;-3.5;-3.5
GO:2000432;GO:0000244;-4.0;-6.0
GO:0008275;GO:1901128;-4.0;-4.0
GO:0010617;GO:0044346;-2.5;-3.0
GO:1990812;GO:0102447;-5.0;-5.0
GO:0008016;GO:0001118;-3.5;-5.5
GO:0019592;GO:0019434;-3.5;-3.5
GO:0030118;GO:0060052;-4.0;-4.0
GO:0043815;GO:0050089;-3.0;-3.0
GO:0010585;GO:2001096;-3.0;-3.0
GO:0033756;GO:0031768;-4.0;-4.0
GO:0044585;GO:1902443;-6.0;-6.0
GO:0102499;GO:0071414;-5.0;-5.0
GO:0033255;GO:0032966;-8.0;-8.5
GO:0032414;GO:0008070;-3.5;-3.5
GO:0072580;GO:0043051;-4.5;-6.0
GO:1904718;GO:2001160;-4.0;-4.0
GO:0140429;GO:0032708;-3.5;-4.0
GO:0005502;GO:0046780;-5.0;-6.5
GO:0016699;GO:1990408;-4.5;-4.5
GO:0061485;GO:0004415;-5.5;-6.0
GO:0015355;GO:0040011;-3.0;-3.0
GO:0015478;GO:0005865;-4.0;-4.0
GO:0048007;GO:0009201;-3.5;-4.5
GO:0015131;GO:0035788;-5.5;-6.0
GO:0045830;GO:1901535;-1.0;-1.0
GO:0070239;GO:0036163;-4.0;-4.0
GO:0030651;GO:1903922;-3.5;-6.0
GO:0004386;GO:0005548;-2.5;-4.5
GO:1902694;GO:0007451;-3.5;-3.5
GO:0051299;GO:1902985;-0.5;-0.5
GO:0060536;GO:0046067;-4.5;-4.5
GO:1903729;GO:0061209;-2.5;-3.5
GO:0006357;GO:0009522;-3.5;-5.5
GO:1900533;GO:0009422;-4.0;-4.0
GO:0099180;GO:1902203;-4.5;-6.0
GO:0050354;GO:0047774;-2.5;-3.0
GO:0048874;GO:0048908;-3.5;-4.5
GO:0003029;GO:0006699;-4.0;-4.0
GO:0030695;GO:0001163;-3.5;-4.0
GO:0016344;GO:0043548;-3.0;-3.0
GO:0009714;GO:1904254;-3.0;-4.0
GO:2001068;GO:0097526;-5.0;-5.0
GO:0080183;GO:0030859;-3.5;-3.5
GO:1902914;GO:1905485;-4.0;-5.0
GO:0051428;GO:0090650;-5.0;-5.0
GO:1900950;GO:0090223;-3.5;-4.5
GO:0051270;GO:0060659;-2.0;-2.5
GO:0009835;GO:0033000;-4.0;-4.0
GO:0043711;GO:0047879;-5.0;-5.0
GO:0031230;GO:0004632;-4.0;-4.0
GO:0051187;GO:1903396;-4.0;-5.5
GO:0044776;GO:0071155;0.0;0.0
GO:0099636;GO:0004739;-5.0;-5.0
GO:0009051;GO:0009141;-1.0;-1.0
GO:0002210;GO:0007301;-2.0;-2.0
GO:0033170;GO:0000749;-5.0;-7.5
