
SNOMED Id1;SNOMED Id1;Rada;AncSPLRada
34997001;90102008;-4.0;-4.5
115805001;114855002;-8.0;-8.5
274089002;299556002;-5.5;-8.0
783064000;227768007;-5.5;-5.5
702237002;23507000;-6.5;-6.5
446867006;293524001;-5.0;-5.5
92179009;74812000;-5.0;-5.5
84920009;439125003;-2.0;-3.0
419160004;369904007;-4.0;-4.5
240557004;75277002;-4.5;-5.0
282804002;272163001;-4.0;-4.5
734676007;211577007;-4.5;-4.5
13282008;730121009;-7.0;-7.5
706794008;15007006;-3.5;-3.5
179202003;703976001;-4.5;-5.0
242138007;297322004;-6.5;-6.5
308362000;34687008;-5.0;-6.5
94026003;186687008;-5.0;-5.5
40803002;446256001;-5.0;-5.0
293280006;267335003;-3.0;-3.5
95224004;730674003;-6.0;-6.5
783855009;165599007;-3.5;-4.0
386884002;271947006;-5.0;-6.0
55119004;359966009;-5.0;-8.5
43043007;50623009;-4.5;-5.0
121535009;177331009;-3.0;-3.0
377138005;292319006;-4.5;-4.5
773368003;440102005;-3.5;-3.5
778787009;300758009;-5.0;-5.0
90006008;3920009;-7.5;-7.5
735416002;15729961000119108;-6.5;-6.5
70276009;311943006;-2.5;-3.0
277460003;102978000;-3.0;-3.0
159940008;132670009;-9.5;-9.5
291544001;727378003;-6.0;-7.5
27335004;15552004;-4.0;-5.0
444113001;7761000119106;-5.0;-5.0
445661000;442761002;-4.5;-4.5
292831000119103;70393007;-5.0;-5.0
52396005;440304004;-6.0;-7.5
58272008;368525007;-6.5;-8.0
778224001;244833001;-2.5;-2.5
420457008;438131000124102;-7.5;-7.5
761880008;116356005;-4.0;-4.0
285841006;259387009;-4.0;-5.0
305566000;123027009;-5.5;-5.5
67586006;257986001;-4.0;-4.0
305707005;262232008;-8.0;-8.0
59274003;218247007;-1.5;-1.5
36358004;372584003;-3.0;-3.0
4938003;298551000119105;-5.0;-5.0
377572005;164751001;-3.0;-3.0
7220001;216590004;-2.5;-2.5
404433008;471858004;-6.5;-8.5
473157001;385072008;-4.5;-5.0
387109000;728702002;-7.5;-9.5
160472006;212477006;-5.5;-5.5
734254005;166315009;-5.0;-6.0
391532003;365878003;-4.5;-4.5
421496007;104540009;-4.5;-4.5
212044001;226651007;-5.0;-5.0
123595002;232728008;-4.0;-4.5
397347001;369849009;-6.5;-8.0
177272008;94434002;-6.5;-7.0
300752005;698537008;-3.5;-3.5
224930009;27092008;-4.5;-5.5
307671001;277623009;-3.5;-5.0
254152004;258259005;-4.5;-4.5
205110009;223904003;-5.0;-5.0
468961009;463134006;-1.5;-1.5
81603009;11314201000119109;-7.5;-8.5
266918002;128909006;-7.5;-8.0
736858000;412864005;-2.5;-3.5
472881004;284959003;-3.5;-3.5
732723006;409617000;-3.0;-3.0
260761004;116814003;-5.5;-5.5
27991004;276624006;-5.5;-5.5
729720002;10311005;-6.0;-8.0
449455000;293521009;-3.0;-4.5
277766008;273393009;-3.0;-3.0
731357004;366576003;-5.0;-5.5
729494000;27977005;-4.5;-4.5
204630003;608984003;-5.0;-5.5
128477000;107173004;-5.0;-5.0
763267007;773115001;-6.0;-6.0
727880000;131942006;-10.5;-12.0
39901006;439071000124106;-7.0;-7.5
421866006;412426002;-4.5;-5.0
704718009;8446002;-6.5;-6.5
256798008;106805002;-8.5;-8.5
426777008;398588002;-7.5;-8.5
301212004;239818009;-4.0;-4.5
368153004;330239000;-4.5;-6.0
240075007;404520004;-1.5;-2.5
21531001;76006007;-7.0;-8.0
403789008;274713001;-3.0;-3.0
408632000;408318008;-6.0;-7.0
437011000124105;313999004;-3.0;-3.5
447273009;118068001;-5.0;-6.0
385555005;10953881000119109;-5.0;-5.0
775667000;166842003;-5.0;-5.0
248879001;8051000146104;-7.0;-8.0
259564000;58611004;-5.5;-5.5
102971006;209318001;-3.0;-3.0
763718009;781212007;-5.0;-5.5
84087006;85913005;-6.0;-6.0
25919002;297137006;-6.0;-6.0
710780005;118724008;-5.0;-7.0
15538001;297493000;-2.5;-2.5
105329009;473347009;-4.5;-4.5
44583001;38931008;-4.5;-5.0
4760008;167649004;-3.5;-4.0
255631004;20523001;-4.0;-4.5
256975008;11611000087101;-6.5;-6.5
397969000;113320004;-5.0;-5.5
234850001;472859009;-1.0;-1.0
359709005;46339006;-7.0;-7.0
291775007;32436002;-4.5;-4.5
365033002;433439003;-6.0;-6.0
448365004;251386002;-5.5;-6.0
391122001;407295006;-7.0;-8.0
73808000;116003000;-6.5;-6.5
714344000;728415005;-4.0;-4.5
433765000;290865009;-5.0;-5.5
449443006;163244001;-4.0;-4.0
234862002;14063001;-8.5;-8.5
209648005;374413004;-4.0;-4.0
434463003;1091201000119109;-5.0;-6.5
245555005;132234001;-9.0;-9.0
440005009;330126005;-4.0;-4.0
456151000124107;11331001;-3.5;-4.5
43639007;211059005;-5.5;-5.5
447909002;83833006;-5.0;-5.5
3390006;447829000;-4.0;-5.0
452831000124106;432828004;-4.0;-4.5
48088006;762225006;-4.5;-4.5
2029004;78747008;-4.0;-7.5
281456000;88271008;-5.5;-6.0
303543004;315459008;-8.0;-8.5
458109005;229350003;-7.0;-8.0
359702001;15732081000119109;-3.0;-4.0
782785002;37243001;-6.5;-6.5
313018005;212682008;-2.5;-2.5
10521000119108;183649005;-5.0;-5.5
164722000;54600003;-6.0;-6.0
81093004;124596009;-5.0;-5.5
22788004;428952008;-5.0;-5.5
225619003;305240002;-2.0;-2.0
305884008;440193009;-3.5;-3.5
392303003;83079000;-7.0;-7.0
273751006;466700007;-2.5;-2.5
466898000;262868007;-5.0;-6.0
704560005;32997000;-4.5;-5.0
772948007;191997003;-4.5;-5.5
