;;Wordnet-3.0;Wordnet-3.0;Wordnet-3.0;Wordnet-3.0;Wordnet-3.0;Wordnet-3.0;Wordnet-3.0;Wordnet-3.0;Wordnet-3.0;Wordnet-3.0
Measure;IC model;Rubenstein_Goodenough_dataset.csv-Pearson;Rubenstein_Goodenough_dataset.csv-Spearman;Miller_Charles_28_dataset.csv-Pearson;Miller_Charles_28_dataset.csv-Spearman;Agirre201_dataset.csv-Pearson;Agirre201_dataset.csv-Spearman;PirroSeco_full_dataset.csv-Pearson;PirroSeco_full_dataset.csv-Spearman;SimLex665_dataset.csv-Pearson;SimLex665_dataset.csv-Spearman
CosineNormWeightedJiangConrath;Sanchez2011;0.8770408367660595;0.8352381993006993;0.8710065060661039;0.8772577996715928;0.6932702283982162;0.6669872173784543;0.884958459448774;0.8226398601398601;0.5918335546949535;0.5872752950432087
Zhou;Seco;0.8727693081997241;0.8244645979020979;0.8541410426095897;0.8466064586754242;0.6838632379678932;0.6619491650657603;0.8949119049260831;0.8144012237762238;0.6236726285709624;0.6100518411789813
CosineNormJiangConrath;Sanchez2011;0.8751501831799813;0.803409090909091;0.847557021592452;0.8492063492063492;0.688960658610923;0.6575816462243239;0.8996376382847797;0.8003387237762238;0.5940600119655235;0.5905998001353105
PirroSeco;Seco;0.8621804740537502;0.8012237762237762;0.8463432729957492;0.867816091954023;0.6889710303355226;0.6642740505393823;0.8969663987006113;0.7918924825174825;0.5974984621270187;0.5861870362980065
Taieb2014;;0.8670334903941526;0.7971700174825175;0.8247866012844839;0.8077449370552818;0.7123009088533627;0.6632555046549431;0.9067726896866805;0.7973229895104895;0.6093372370514117;0.5960015228563105
Gao2015Strategy3;Resnik,ic-treebank-add1.dat;0.8709374014482512;0.8153299825174825;0.8336226971463953;0.8081554460864806;0.6731176012156721;0.6469070489138466;0.8909096677830807;0.8088833041958042;0.6152435582442554;0.5994266335816748
JiangConrath;Sanchez2011;0.861886026114062;0.803409090909091;0.8594643996126935;0.8492063492063492;0.6591454074512747;0.6575816462243239;0.8762249309863107;0.8003387237762238;0.5837508350444852;0.5905998001353105
Meng2012;Seco;0.8595799094299766;0.7972465034965035;0.8144015561582743;0.8314176245210728;0.6968750448935859;0.653019801980198;0.9031479359232812;0.791083916083916;0.6047631849663999;0.588830163164342
FaITH;Seco;0.8564817066065304;0.7972465034965035;0.8094105343617113;0.8314176245210728;0.6965768744197922;0.653019801980198;0.9041895615102452;0.791083916083916;0.6046028720455132;0.588830163164342
Lin;Seco;0.8608856647844875;0.7972465034965035;0.8239825368640066;0.8314176245210728;0.6850101901383451;0.653019801980198;0.894490904507464;0.791083916083916;0.6009701789522799;0.588830163164342
Li2003Strategy3;;0.8624815774986804;0.8106424825174825;0.8355025153890447;0.8144499178981938;0.6674887903752504;0.6313203783064874;0.8852904632204054;0.7986451048951049;0.6059145612407253;0.591766507199291
Li2003Strategy9;Zhou;0.8438180556342205;0.7931818181818182;0.8101545186036356;0.7985769020251778;0.6998976923308556;0.6611803605733708;0.8896698525521134;0.7902534965034965;0.5911657560703167;0.5804496078196142
Li2003Strategy4;;0.8597984989547071;0.796951486013986;0.8280668507044291;0.7728516694033936;0.6668654605432;0.6442622284616522;0.8786570503192158;0.7878605769230769;0.605165485842989;0.5875137106034379
Sanchez2012;;0.847671855677789;0.7843312937062937;0.8061944774023266;0.7907772304324028;0.6751227926297689;0.6505035466233191;0.8703226160087495;0.7894886363636364;0.5940284777805344;0.5784991724671497
Meng2014;Resnik,ic-treebank-add1.dat;0.8433855111492531;0.8226507867132867;0.8064086104952358;0.8134920634920635;0.6005816816487571;0.6662756760750702;0.8286294567837775;0.810478583916084;0.5659210522099971;0.6056536856631973
Mubaid;;0.807467239244421;0.8122814685314685;0.7906374760579755;0.8055555555555556;0.6503151727710256;0.6514914289936456;0.8529868658705532;0.8070039335664336;0.5755921435198346;0.5777737244446186
Resnik;CondProbRefLeavesSubsumersRatio;0.8232263614168408;0.7640515734265734;0.7934298190880972;0.8394909688013137;0.6727383310073204;0.6423895374612087;0.8740239954375061;0.7577578671328671;0.5123990861170034;0.5111929122709085
PedersenPath;;0.7807225350492051;0.8106424825174825;0.7584752798278517;0.8144499178981938;0.6063743547727444;0.6313203783064874;0.8397577639229721;0.7986451048951049;0.5508634714065789;0.591766507199291
LeacockChodorow;;0.793916560916096;0.8106424825174825;0.7538369153884129;0.8144499178981938;0.594951623456078;0.6313203783064874;0.7776836717700327;0.7986451048951049;0.573980139680734;0.591766507199291
Garla;Sanchez2011;0.7689772178448796;0.803409090909091;0.7197703435871586;0.8492063492063492;0.573280951057827;0.6575816462243239;0.8470386020883298;0.8003387237762238;0.5117413581259191;0.5905998001353105
Rada;;0.7707862476126903;0.8106424825174825;0.7293603496000838;0.8144499178981938;0.5798219466166235;0.6313203783064874;0.7505975083695244;0.7986451048951049;0.5651171777636069;0.591766507199291
WuPalmer;;0.770300134944313;0.7491586538461539;0.7746032373820232;0.7524630541871922;0.6048380263131802;0.6368338998078913;0.7761027607414119;0.7458479020979021;0.5373678255812644;0.5416539455933875
