Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;Garla-Pearson;Garla-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman;Li2003Strategy9-Pearson;Li2003Strategy9-Spearman;Zhou-Pearson;Zhou-Spearman;Meng2014-Pearson;Meng2014-Spearman;Gao2015Strategy3-Pearson;Gao2015Strategy3-Spearman;CosineNormWeightedJiangConrath-Pearson;CosineNormWeightedJiangConrath-Spearman
Resnik,ic-treebank-add1.dat;0.834480247602867;0.777687937062937;0.8589029128023998;0.7761035839160839;0.8560919857495354;0.7830965909090909;0.8334516118012777;0.763319493006993;0.8585423811274183;0.7761035839160839;0.8609245797632963;0.7761035839160839;0.6950105583227656;0.7830965909090909;0.8652854233083096;0.7830965909090909;0.861734340789209;0.7867679195804196;0.8581844892598027;0.7848011363636364;0.8433855111492531;0.8226507867132867;0.8709374014482512;0.8153299825174825;0.8703001839917255;0.8008631993006993
Seco;0.8325974731909593;0.7734812062937063;0.8608856647844875;0.7972465034965035;0.854617730700697;0.7866477272727272;0.8621804740537502;0.8012237762237762;0.8564817066065304;0.7972465034965035;0.8595799094299766;0.7972465034965035;0.8570933197389989;0.7866477272727272;0.8642423431432613;0.7866477272727272;0.8240621754886969;0.7939466783216783;0.8727693081997241;0.8244645979020979;0.8485890402427128;0.8204326923076923;0.7991832401940886;0.8106424825174825;0.8633845004785188;0.8060533216783217
Blanchard;0.8309972343038718;0.7601726398601398;0.858918291356818;0.7850415209790209;0.84933965564019;0.778791520979021;0.8302605526828599;0.7815668706293706;0.8535930521621314;0.7850415209790209;0.8570625341583743;0.7850415209790209;0.6956510979573579;0.778791520979021;0.8606751881825861;0.778791520979021;0.8617724368346621;0.7866586538461539;0.8524605705257718;0.7854895104895105;0.8481528180204436;0.8173513986013986;0.8669386169523899;0.7980441433566434;0.8613632564147375;0.8013767482517482
Zhou;0.8080464070132319;0.7690450174825175;0.8259482907991288;0.7881446678321679;0.8285977328149263;0.8050808566433567;0.8334330185097475;0.7957932692307692;0.858862416720795;0.7881446678321679;0.8538634422656382;0.7881446678321679;0.8662478886334236;0.8050808566433567;0.8558455085615312;0.8050808566433567;0.8438180556342205;0.7931818181818182;0.8573677588172316;0.8243771853146853;0.7748905048805801;0.814652534965035;0.7991832401940886;0.8106424825174825;0.8610294516183795;0.8243553321678322
Sanchez2011;0.8408674683863304;0.771416083916084;0.8529674375932262;0.7944493006993008;0.861886026114062;0.803409090909091;0.8105194534294756;0.7671328671328671;0.8683255912693826;0.7944493006993008;0.866267699409479;0.7944493006993008;0.7689772178448796;0.803409090909091;0.8751501831799813;0.803409090909091;0.858605021244015;0.7845826048951049;0.8638602947513733;0.8081293706293706;0.814698410415626;0.8201267482517482;0.8682136932543588;0.8108391608391609;0.8770408367660595;0.8352381993006993
Sanchez2012;0.8355294283531209;0.7706402972027973;0.8615780048782753;0.7910729895104895;0.850792248571455;0.777895541958042;0.8331818861926147;0.7855659965034965;0.8565026586928691;0.7910729895104895;0.8600455200031015;0.7910729895104895;0.6940063015024476;0.777895541958042;0.8606267914112923;0.777895541958042;0.8615015664620792;0.7869427447552447;0.8535469994402449;0.7854130244755244;0.8474801657108014;0.8169908216783217;0.8677617391142697;0.7999781468531468;0.8614110312681853;0.8003387237762238
Meng;0.8259906371998149;0.7607408216783217;0.8607900919906434;0.7816542832167832;0.8598439577492664;0.8166193181818182;0.8585851341220729;0.8139532342657343;0.865804411528942;0.7816542832167832;0.8669634120175451;0.7816542832167832;0.8716704644421648;0.8166193181818182;0.8723339518524029;0.8166193181818182;0.8281673177260579;0.7886472902097902;0.8638465270559894;0.8177338286713287;0.8284791056887751;0.8130791083916084;0.7991832401940886;0.8106424825174825;0.8747080241134287;0.8408107517482517
Yuan;0.8242927179764687;0.774180506993007;0.8621235817684171;0.791881555944056;0.8504946505358835;0.8049934440559441;0.8607213416466756;0.8205965909090909;0.8649002332408754;0.791881555944056;0.8674595109601508;0.791881555944056;0.860870819012483;0.8049934440559441;0.8631844134391938;0.8049934440559441;0.8231346170616423;0.7932145979020979;0.8629124958780774;0.8195039335664336;0.8272755053868911;0.8151333041958042;0.7991832401940886;0.8106424825174825;0.8624389388886352;0.8173841783216783
HadjTaieb;0.4658146561683516;0.5990493881118881;0.782460739732444;0.7417067307692308;0.45426160547053474;0.6125874125874126;0.5090316921619693;0.6123033216783217;0.7932605028433932;0.7417067307692308;0.7924093527900442;0.7417067307692308;0.5939256953018949;0.6125874125874126;0.455215301736847;0.6125874125874126;0.8444179783346505;0.7719187062937063;0.4586060373298386;0.6182036713286714;0.7692553853008918;0.7817198426573426;0.8527484608933732;0.7786604020979021;0.455215301736847;0.6125874125874126
Adhikari;0.8264143115784341;0.7609047202797203;0.8612449584056938;0.7829217657342658;0.8608637664432035;0.8085773601398601;0.8591936353183436;0.8084462412587412;0.8650341821869986;0.7829217657342658;0.8663995181939691;0.7829217657342658;0.870733517079612;0.8085773601398601;0.8721762371468919;0.8085773601398601;0.8267050971282025;0.7886472902097902;0.8649888211987405;0.8178430944055944;0.832117106590734;0.8113527097902098;0.7991832401940886;0.8106424825174825;0.8747300220590463;0.8369427447552448
