Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;Garla-Pearson;Garla-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman;Li2003Strategy9-Pearson;Li2003Strategy9-Spearman;Zhou-Pearson;Zhou-Spearman;Meng2014-Pearson;Meng2014-Spearman;Gao2015Strategy3-Pearson;Gao2015Strategy3-Spearman;CosineNormWeightedJiangConrath-Pearson;CosineNormWeightedJiangConrath-Spearman
Resnik,ic-treebank-add1.dat;0.792904932466258;0.7935139573070608;0.8350119314501763;0.840311986863711;0.88087436118439;0.8882047071702244;0.8466237882710823;0.8255336617405583;0.8233081903898043;0.840311986863711;0.8276390933140474;0.840311986863711;0.661115239686096;0.8882047071702244;0.8709925813915211;0.8882047071702244;0.8259874524440186;0.7733990147783252;0.879516264306298;0.8871100164203612;0.8064086104952358;0.8134920634920635;0.8336226971463953;0.8081554460864806;0.8789044133651697;0.8923097974822113
Seco;0.7833876577268956;0.7947454844006568;0.8239825368640066;0.8314176245210728;0.8557423266375123;0.8727422003284072;0.8463432729957492;0.867816091954023;0.8094105343617113;0.8314176245210728;0.8144015561582743;0.8314176245210728;0.8298575999755993;0.8727422003284072;0.842691786614835;0.8727422003284072;0.7729520862898639;0.7955665024630542;0.8541410426095897;0.8466064586754242;0.8107392780365177;0.8052818828680898;0.7775470600508216;0.8144499178981938;0.836885209706525;0.8801313628899836
Blanchard;0.7822743943119697;0.8238916256157636;0.822832427104554;0.8225232621784346;0.8528206855437698;0.8518062397372742;0.8168681746014506;0.8334701696770662;0.8059789941406039;0.8225232621784346;0.8117559914314404;0.8225232621784346;0.6694278386359472;0.8518062397372742;0.8384732689883183;0.8518062397372742;0.8267307003246785;0.7824302134646962;0.8534505926726951;0.8642583470169677;0.8122475156496428;0.7973453749315819;0.8298723755594389;0.8111658456486043;0.8356189701881526;0.8749315818281336
Zhou;0.8179030626069541;0.797071702244116;0.8221852688473528;0.8071975916803503;0.8282129024543602;0.8244389709906952;0.8281132557156206;0.8091133004926109;0.8344148589982433;0.8071975916803503;0.8337775606987831;0.8071975916803503;0.8410278631432825;0.8244389709906952;0.8402746799086095;0.8244389709906952;0.8101545186036356;0.7985769020251778;0.8395568810399101;0.8192391899288451;0.7638327073149886;0.8041871921182266;0.7775470600508216;0.8144499178981938;0.8492142114473197;0.8600164203612479
Sanchez2011;0.8189414784788269;0.7936507936507937;0.835656501393417;0.8114395183360701;0.8594643996126935;0.8492063492063492;0.8055870070730394;0.7348111658456487;0.8343240829193919;0.8114395183360701;0.8359020895988175;0.8114395183360701;0.7197703435871586;0.8492063492063492;0.847557021592452;0.8492063492063492;0.8235729159342003;0.7635467980295567;0.8582354803467926;0.8412698412698413;0.7911536279315371;0.8058292282430213;0.8365605931208125;0.7983032293377121;0.8710065060661039;0.8772577996715928
Sanchez2012;0.79046208844025;0.7773672687465791;0.8260982334445031;0.8211548987411057;0.8507092642885908;0.8550903119868637;0.8176994460736753;0.8329228243021347;0.8103051734538336;0.8211548987411057;0.8158755557077646;0.8211548987411057;0.6686216864534447;0.8550903119868637;0.8410744411341922;0.8550903119868637;0.8247103564815765;0.7865353037766831;0.8510559903520278;0.8518062397372742;0.8101097240621091;0.7967980295566502;0.8281559695203338;0.7972085385878489;0.8384241657685126;0.8734263820470717
Meng;0.8201502544761675;0.8296387520525452;0.8392794288726265;0.8080186097427476;0.831356637646649;0.8197865353037767;0.8330131436123263;0.805008210180624;0.8330456323114062;0.8080186097427476;0.8361019846168554;0.8080186097427476;0.8376288634904931;0.8197865353037767;0.8393045960559585;0.8197865353037767;0.7959137028574156;0.7925561029009305;0.8349916870113319;0.8197865353037767;0.8004783875122968;0.8041871921182266;0.7775470600508216;0.8144499178981938;0.8568564203326485;0.8542692939244664
Yuan;0.808409904922117;0.797071702244116;0.8340782495070412;0.8041871921182266;0.8347454015966487;0.8274493705528189;0.8383768367748798;0.8082922824302134;0.8276720657903832;0.8041871921182266;0.8314954226300162;0.8041871921182266;0.832010335534822;0.8274493705528189;0.8407161635185197;0.8274493705528189;0.7881064839882708;0.7974822112753147;0.838073249627252;0.8208812260536398;0.7952590360552948;0.8030925013683634;0.7775470600508216;0.8144499178981938;0.8349694208225551;0.828544061302682
HadjTaieb;0.539142830703677;0.6339627805145047;0.6842381292527971;0.6960864805692392;0.4586583980078694;0.6101532567049808;0.4845031522089886;0.467296113847838;0.6898926966997202;0.6960864805692392;0.6874997595068524;0.6960864805692392;0.5515748373756173;0.6101532567049808;0.4593515880955774;0.6101532567049808;0.8048899549572109;0.7881773399014779;0.4622390215150531;0.6109742747673782;0.6791935591947431;0.7428845101258894;0.8242618075234306;0.80103995621237;0.4593515880955774;0.6101532567049808
Adhikari;0.8210790386641628;0.8296387520525452;0.8410393398959406;0.8080186097427476;0.8331250184655478;0.8197865353037767;0.8350705010363365;0.805008210180624;0.8331147564095395;0.8080186097427476;0.836453942537571;0.8080186097427476;0.8366466906493708;0.8197865353037767;0.8391978602518234;0.8197865353037767;0.7948663817909652;0.7925561029009305;0.8368300884996489;0.8197865353037767;0.8039980986985664;0.803639846743295;0.7775470600508216;0.8144499178981938;0.8552276471084933;0.8526272577996716
CondProbHyponyms;0.7859859668066799;0.8130815544608648;0.8214841596039212;0.8033661740558292;0.855191956128332;0.8553639846743295;0.8110181212026288;0.8186918445539135;0.8070084753872072;0.8033661740558292;0.8123835377823643;0.8033661740558292;0.6687210859574064;0.8553639846743295;0.8429478171707472;0.8553639846743295;0.8241842679557446;0.7733990147783252;0.8547619707886432;0.8589217296113848;0.8029664315111571;0.7874931581828133;0.8279950725108954;0.7842090859332238;0.8406269340301092;0.8753420908593322
CondProbUniform;0.7407997085864013;0.7564313081554461;0.7752607320690139;0.774904214559387;0.6483156247508778;0.7281061850027367;0.6365406765707496;0.6154898741105638;0.8038502527621189;0.774904214559387;0.7970991125269768;0.774904214559387;0.6250427227692671;0.7281061850027367;0.6698253922691586;0.7281061850027367;0.818964858779695;0.776135741652983;0.6530144885700636;0.7338533114395183;0.7275554336833122;0.7746305418719212;0.8325323753766534;0.7813355227148331;0.7925026520702997;0.8077449370552818
CondProbLeaves;0.7868707901612139;0.8073344280240832;0.8219044632566648;0.8039135194307608;0.851087049733321;0.8389436234263821;0.8073259992371727;0.8110290093048713;0.8080141830081184;0.8039135194307608;0.8131420915344146;0.8039135194307608;0.6693678679629582;0.8389436234263821;0.8402194541948852;0.8389436234263821;0.8248478293127507;0.7824302134646962;0.8507246517010032;0.8435960591133005;0.8039247923755599;0.7874931581828133;0.8287309511896789;0.7978927203065134;0.8386969921726944;0.8741105637657361
CondProbCosine;0.7796996347304821;0.7791461412151067;0.8207940541033426;0.8115763546798029;0.8561993190369657;0.8605637657361795;0.8126547425009314;0.8323754789272031;0.8054148154924488;0.8115763546798029;0.8108966360226231;0.8115763546798029;0.634152963690034;0.8605637657361795;0.8445452455877195;0.8605637657361795;0.8210738392784703;0.7635467980295567;0.8562978096987293;0.8687739463601533;0.8058291467333039;0.791871921182266;0.8316107013381839;0.8011767925561029;0.8410209091024315;0.8750684181718664
CondProbLogistic, K=8.0;0.7699708738461463;0.7909140667761357;0.8142480317384801;0.7751778872468528;0.8019754641998058;0.8033661740558292;0.7687282088824019;0.7376847290640394;0.8078770125639153;0.7751778872468528;0.8119168001210703;0.7751778872468528;0.6624288410437847;0.8033661740558292;0.8095149826714434;0.8033661740558292;0.8225432384494482;0.7769567597153804;0.8045708504084373;0.7967980295566502;0.7801281494527128;0.7847564313081554;0.8249394171013914;0.7957033388067871;0.823232699300781;0.8096606458675424
CondProbCorpus,ic-treebank-add1.dat;0.7912182521248379;0.7706622879036672;0.8289890378037339;0.8058292282430213;0.8678168266937197;0.8501642036124795;0.8281268658342793;0.7946086480569239;0.8162750424352879;0.8058292282430213;0.8208870601977087;0.8058292282430213;0.683866327920242;0.8501642036124795;0.8612817585110892;0.8501642036124795;0.8262228568000938;0.7733990147783252;0.8668437999259595;0.8537219485495348;0.8014162710855693;0.798440065681445;0.8337515710425132;0.8074712643678161;0.8744723185502539;0.8797208538587848
CondProbRefHyponyms;0.7884396206825222;0.8433223864258347;0.8241514119342462;0.8312807881773399;0.8519211211303593;0.8504378762999453;0.8133524695996014;0.8274493705528189;0.806097161111508;0.8312807881773399;0.8122447080688516;0.8312807881773399;0.6669877746271744;0.8504378762999453;0.8412068407785118;0.8504378762999453;0.831458308872092;0.79584017515052;0.8522333220657573;0.8507115489874111;0.8169528115391931;0.8115763546798029;0.8348295031144993;0.8275862068965517;0.8406269340301092;0.8753420908593322
CondProbRefUniform;0.7316501230151926;0.7738095238095238;0.8257180649206299;0.7713464696223317;0.6998316482732703;0.7286535303776683;0.7000431027779538;0.659688013136289;0.8223262481322686;0.7713464696223317;0.8253609008428741;0.7713464696223317;0.6487103305202623;0.7286535303776683;0.7205787521687553;0.7286535303776683;0.8192831528764362;0.7728516694033936;0.7034819875878336;0.7344006568144499;0.7782075489515103;0.7836617405582923;0.8343853087510663;0.7868089764641488;0.7925026520702997;0.8077449370552818
CondProbRefLeaves;0.7891495636372976;0.8375752599890531;0.8243920666505372;0.8362068965517242;0.8475952356302281;0.8408593322386426;0.8091979744132619;0.8241652983032294;0.8072606986118747;0.8362068965517242;0.8130935142141446;0.8362068965517242;0.6674505446742242;0.8408593322386426;0.8386179794612116;0.8408593322386426;0.8322184968562897;0.7911877394636015;0.8479950239449926;0.85727969348659;0.817721120654434;0.8115763546798029;0.8355492936570362;0.8275862068965517;0.8386969921726944;0.8741105637657361
CondProbRefCosine;0.7767208336809832;0.8288177339901478;0.8214822794293359;0.8217022441160372;0.8532843506780536;0.8509852216748768;0.8144071156477086;0.8296387520525452;0.8028748609352362;0.8217022441160372;0.8093192364844425;0.8217022441160372;0.6674736061265759;0.8509852216748768;0.8454532179861746;0.8509852216748768;0.8278165822119945;0.8048713738368911;0.8539514055550519;0.8600164203612479;0.812283719802541;0.8066502463054187;0.8308935020255451;0.8133552271483306;0.839309142872139;0.8693212917350849
CondProbRefLogistic, K=8.0;0.7848031829988507;0.7736726874657909;0.8226226790578125;0.7757252326217843;0.8375719855898273;0.8123973727422004;0.7998608319509551;0.7546524356869184;0.8182809767318245;0.7757252326217843;0.8210113171465598;0.7757252326217843;0.6818357115167047;0.8123973727422004;0.8374444597022586;0.8123973727422004;0.8373627332593656;0.8252599890530925;0.8396186742789429;0.8279967159277504;0.824758519032629;0.8107553366174056;0.8287878021156418;0.8134920634920635;0.8436850757712793;0.8460591133004927
CondProbRefCorpus,ic-treebank-add1.dat;0.7949748943904892;0.8123973727422004;0.8311688782458172;0.8367542419266557;0.8675287887803138;0.8591954022988506;0.8324080200421993;0.8181444991789819;0.8155323791757148;0.8367542419266557;0.82061932278527;0.8367542419266557;0.6758050718663703;0.8591954022988506;0.8596721832638013;0.8591954022988506;0.832494709697975;0.79584017515052;0.8669978832366932;0.8649425287356322;0.8165094946136111;0.8110290093048713;0.8382815411234811;0.8333333333333334;0.8744723185502539;0.8797208538587848
CondProbRefCosineLeaves;0.7805254235242138;0.8310071154898742;0.8220219701220943;0.8217022441160372;0.8455563433589288;0.8466064586754242;0.8069397735757146;0.8296387520525452;0.8046364505292144;0.8217022441160372;0.8105826406157909;0.8217022441160372;0.6680237893608778;0.8466064586754242;0.8391498183821683;0.8466064586754242;0.8288351652687729;0.7999452654625069;0.8464321705434301;0.8567323481116584;0.8140685892431715;0.8077449370552818;0.8325754182601387;0.8221127531472359;0.8364952480161514;0.8654898741105638
CondProbRefLogisticLeaves;0.7880743674878427;0.7736726874657909;0.8240164498474463;0.7757252326217843;0.8382655824906938;0.8137657361795293;0.8004407333682235;0.7595785440613027;0.8201825534542482;0.7757252326217843;0.8227445706488267;0.7757252326217843;0.6836460304008882;0.8137657361795293;0.8384560228281493;0.8137657361795293;0.8374286021941426;0.8258073344280241;0.8402118827656495;0.8238916256157636;0.8252132389455006;0.8118500273672687;0.8291865736553778;0.8085659551176793;0.8444206607134449;0.8452380952380952
CondProbRefLeavesSubsumersRatio;0.7934298190880972;0.8394909688013137;0.8242755012311568;0.8394909688013137;0.8362588792145816;0.7959770114942528;0.7975178048110227;0.7967980295566502;0.8114560952587152;0.8394909688013137;0.8160429631395825;0.8394909688013137;0.6564874265884986;0.7959770114942528;0.8356095007378291;0.7959770114942528;0.8315296319074837;0.7895457033388068;0.8362059555826767;0.8039135194307608;0.8143312263699839;0.7905035577449371;0.8352275735737752;0.8248494800218938;0.8417294377175852;0.8353858784893268
