Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;Garla-Pearson;Garla-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman;Li2003Strategy9-Pearson;Li2003Strategy9-Spearman;Zhou-Pearson;Zhou-Spearman;Meng2014-Pearson;Meng2014-Spearman;Gao2015Strategy3-Pearson;Gao2015Strategy3-Spearman;CosineNormWeightedJiangConrath-Pearson;CosineNormWeightedJiangConrath-Spearman
Resnik,ic-treebank-add1.dat;0.6715633550158454;0.6320067976946948;0.6697319298689499;0.646082828432097;0.6348978742587624;0.6382141273828875;0.640112699141215;0.6281638835525344;0.6912959873767461;0.646082828432097;0.6882250583664643;0.646082828432097;0.5007101859806583;0.6382141273828875;0.652430357088368;0.6382141273828875;0.6726280662590118;0.6503044185015516;0.6392805768976312;0.6412287572040787;0.6005816816487571;0.6662756760750702;0.6731176012156721;0.6469070489138466;0.6490171611205511;0.6331476281956554
Seco;0.6628699961472767;0.630771390571893;0.6850101901383451;0.653019801980198;0.6723521300034381;0.6612169351263484;0.6889710303355226;0.6642740505393823;0.6965768744197922;0.653019801980198;0.6968750448935859;0.653019801980198;0.6885227183783543;0.6612169351263484;0.6903713075823469;0.6612383626422343;0.6856473856279305;0.656028520762524;0.6838632379678932;0.6619491650657603;0.6184864988086037;0.6605892566868627;0.6252035252193676;0.6313203783064874;0.6784258228194233;0.6481790305896261
Blanchard;0.6614663955514317;0.6308744643121029;0.6833871454876941;0.6505312546179991;0.6716286716158364;0.6577057780404907;0.659026699436236;0.640853406236146;0.6939101085484065;0.6505312546179991;0.694533707713142;0.6505312546179991;0.5045760617681282;0.6577057780404907;0.6890744620202701;0.6577057780404907;0.677645187226066;0.6535547509974878;0.6742126271792314;0.6612830648736516;0.6184055237466893;0.6593808186788828;0.675066453309308;0.6445304418501552;0.6803245678348923;0.6464596571597458
Zhou;0.6452775135016053;0.646028151322595;0.6409422101887331;0.6590734446578986;0.6287842550788437;0.6524327619329098;0.6502501984830221;0.6581443032362938;0.6847918033782634;0.6590734446578986;0.6752586440252082;0.6590734446578986;0.6815025059990795;0.6524327619329098;0.6564125753125307;0.6524327619329098;0.6998976923308556;0.6611803605733708;0.661579998944717;0.6556284173193438;0.559132732233438;0.6630597014925372;0.6252035252193676;0.6313203783064874;0.6638433770778327;0.6590575587409487
Sanchez2011;0.6591536968884998;0.6408242204817496;0.6642569759397818;0.6533718782325995;0.6591454074512747;0.6575816462243239;0.6339137613821008;0.6224497561696468;0.6946480995829502;0.6533718782325995;0.6889478897228954;0.6533718782325995;0.573280951057827;0.6575816462243239;0.688960658610923;0.6575816462243239;0.6676048966592089;0.6481542781143785;0.6616185458758705;0.6597742722033397;0.5841935702843738;0.6600576326289345;0.6663538718065803;0.6495825328801537;0.6932702283982162;0.6669872173784543
Sanchez2012;0.6677781094787782;0.634518250332496;0.6847910137323067;0.6493800797990247;0.6720388075528884;0.6589507906014482;0.660224546239971;0.6399316536131225;0.6972335219337826;0.6493800797990247;0.6973333203818077;0.6493800797990247;0.5052394747657194;0.6589507906014482;0.6878131892620594;0.6589507906014482;0.6761545428831199;0.6544868479385252;0.674257860273041;0.6590047288310921;0.6166706373784957;0.6605622875720407;0.6746946745836009;0.6475964238214866;0.6788434914405116;0.6490002955519433
Meng;0.675608053844023;0.6461744495345056;0.6816808154421437;0.6581358061179252;0.6593349746565761;0.6487524013595389;0.6863183620516772;0.6559860351706812;0.7038537730844505;0.6581358061179252;0.7008307008487191;0.6581358061179252;0.6889619334460014;0.6487524013595389;0.674717405560498;0.6487524013595389;0.6979804539347451;0.6646349933500812;0.6718506110797442;0.6531934387468598;0.6005926105780967;0.6620433722476725;0.6252035252193676;0.6313203783064874;0.6781676774222685;0.6561692773754988
Yuan;0.6760007807062035;0.6480881483670755;0.6857793054571832;0.6652371804344613;0.6543282043867011;0.6504968967045959;0.6863341537764716;0.6656173341214718;0.7060641078536889;0.6652371804344613;0.7040024818418422;0.6652371804344613;0.6834163464158727;0.6504968967045959;0.6695008504802475;0.6504968967045959;0.6944187571198451;0.6656276784394857;0.6681332105433877;0.6494731786611496;0.6045828081798204;0.6678110684202749;0.6252035252193676;0.6313203783064874;0.6632611708288639;0.6466465937638539
HadjTaieb;0.41653844246419186;0.5343442441259052;0.6345263310164513;0.617461947687306;0.07899693248764962;0.15560070932466386;0.3150268886389749;0.46755135215014043;0.6490347936741734;0.617461947687306;0.6466765976505859;0.617461947687306;0.267434117450978;0.15560070932466386;0.07934152497840552;0.15560070932466386;0.6826917691868566;0.6600007388798581;0.08442545744391612;0.1671907787793705;0.5884730081270914;0.6309583271760012;0.6774347152399898;0.6662379932023053;0.07934152497840549;0.15560070932466386
Adhikari;0.675547334878681;0.6456638835525343;0.6823589211718643;0.6583818531106842;0.6606195362388368;0.6496723067829171;0.6865735903216845;0.6563251810255653;0.7040709096382258;0.6583818531106842;0.7012664848781256;0.6583818531106842;0.689017111569314;0.6496723067829171;0.6756400408723007;0.6496723067829171;0.6974684805740594;0.6651222846165213;0.6727915958168909;0.653845869661593;0.6028419367146532;0.6610185458844392;0.6252035252193676;0.6313203783064874;0.6786169396828134;0.6560052460469927
