Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;Garla-Pearson;Garla-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman;Li2003Strategy9-Pearson;Li2003Strategy9-Spearman;Zhou-Pearson;Zhou-Spearman;Meng2014-Pearson;Meng2014-Spearman;Gao2015Strategy3-Pearson;Gao2015Strategy3-Spearman;CosineNormWeightedJiangConrath-Pearson;CosineNormWeightedJiangConrath-Spearman
Resnik,ic-treebank-add1.dat;0.535497009154121;0.5209990643329261;0.5935225638165171;0.5809681012201621;0.5691943575167637;0.5700496458502166;0.5488710669944519;0.5449761859876001;0.5947623049844034;0.5809681012201621;0.5955068837860206;0.5809681012201621;0.4643813386319681;0.5700496458502166;0.5780749175559761;0.5700484930985883;0.6110380312995404;0.5919864685321248;0.5752870686869532;0.5741236231248914;0.5659210522099971;0.6056536856631973;0.6152435582442554;0.5994266335816748;0.577519289027135;0.5682847831072309
Seco;0.5339374028691944;0.5209663894350007;0.6009701789522799;0.588830163164342;0.5917863355568332;0.590110074518762;0.5974984621270187;0.5861870362980065;0.6046028720455132;0.588830163164342;0.6047631849663999;0.588830163164342;0.6034679325986297;0.590110074518762;0.6012501031926184;0.5901244686121034;0.5762666469808703;0.5808601404194302;0.6236726285709624;0.6100518411789813;0.5712155641019716;0.610471208140834;0.5601511057723536;0.591766507199291;0.6027477099725318;0.5915557984835094
Blanchard;0.531954451926891;0.5190453237457042;0.5958208615534183;0.5843521617459474;0.5828496791567879;0.5820128818464265;0.5516889984533601;0.5465678401474217;0.5985797925521311;0.5843521617459474;0.5990257163956544;0.5843521617459474;0.46532405559361084;0.5820128818464265;0.5934623031626151;0.5819886638608895;0.6133038635669136;0.5892272809996335;0.5881873049776185;0.5852668446596792;0.5695583595182154;0.6071477027802329;0.6153938240802781;0.5954724812682961;0.5959694164017647;0.584811742397348
Zhou;0.5110485090711867;0.502578225929526;0.5778041678692186;0.5840647287381593;0.5824943489548007;0.5945138305712181;0.5802569422689189;0.5766846087867014;0.5984861248036587;0.5840647287381593;0.5945173004936178;0.5840647287381593;0.609222728630794;0.5945138305712181;0.5972568459589354;0.5945138305712181;0.5911657560703167;0.5804496078196142;0.6162406734549585;0.6088578659282528;0.5300234990496341;0.6024638484847743;0.5601511057723536;0.591766507199291;0.6050531471105287;0.6000918426806188
Sanchez2011;0.5364236626415448;0.5247787124927265;0.579076325020331;0.5803360770862356;0.5837508350444852;0.5905998001353105;0.5317911553734672;0.5204443459674912;0.5904210362156265;0.5803360770862356;0.5882528402761126;0.5803360770862356;0.5117413581259191;0.5905998001353105;0.5940600119655235;0.5905998001353105;0.606376888160559;0.588782777931478;0.5886634148782235;0.5933240378706454;0.5448094046795527;0.6015337207394912;0.6111989144394522;0.5952720146997255;0.5918335546949535;0.5872752950432087
Sanchez2012;0.5353835779310483;0.5232146223585665;0.5963713436511258;0.5850348355421279;0.5861385429006617;0.5834879040649491;0.5532083018222599;0.5475820779562061;0.599086637332007;0.5850348355421279;0.5995382567519434;0.5850348355421279;0.46371337654417183;0.5834879040649491;0.5944866688308031;0.5834587486299598;0.6124121558104811;0.5895681486359989;0.5909711350321859;0.586647137217841;0.5682951467529388;0.6067519927301157;0.615251854182122;0.5965139056530939;0.5976125467362301;0.5868283232503271
Meng;0.49717665371461733;0.48962771427102436;0.5840827913481232;0.5767096122755603;0.5938896736273503;0.5956935851514165;0.5862630641102932;0.5713816350547485;0.5887083678766172;0.5767096122755603;0.5883822968598836;0.5767096122755603;0.6063588699179677;0.5956935851514165;0.6009967935863656;0.5956935851514165;0.5661070848676689;0.5671765807387241;0.6149174175786367;0.6049820803229173;0.5525841546298611;0.5963533773378416;0.5601511057723536;0.591766507199291;0.6055552714729767;0.5980017305556304
Yuan;0.512026188091573;0.5030069679245329;0.6004028380958615;0.5902538012239977;0.602716127699823;0.602702233440978;0.5980979570865352;0.5868515109003378;0.6063453750147098;0.5902538012239977;0.6061980447057957;0.5902538012239977;0.6166040586139607;0.602702233440978;0.6105903808437727;0.602702233440978;0.5722395360746539;0.5727445241237251;0.6202586704842827;0.6114142303822075;0.557947253627896;0.6050880416606479;0.5601511057723536;0.591766507199291;0.6156662368749164;0.6075674573930756
HadjTaieb;0.20326139115000486;0.3004054115262105;0.4849064212836593;0.4832570987057354;0.21536648898770075;0.3255514029293357;0.3236558897103197;0.4243182545259273;0.492080886495355;0.4832570987057354;0.4895697763523757;0.4832570987057354;0.3571952377179707;0.3255514029293357;0.2177389296506829;0.3255514029293357;0.5358782266891562;0.5275236079452947;0.21922237041851675;0.33068888029255816;0.5078195397321422;0.5432381527736632;0.5448121626969173;0.5423319675776873;0.21773892965068284;0.3255514029293357
Adhikari;0.49828314280761554;0.48988685895787987;0.5848422849915714;0.5765930313409704;0.5944900736227406;0.5960392168144228;0.5870647153890356;0.5718133354388903;0.5892676510626706;0.5765930313409704;0.5889799347380237;0.5765930313409704;0.6069277111093259;0.5960392168144228;0.6016182784815429;0.5960392168144228;0.5648301723464525;0.5673362215372362;0.6154611515142059;0.6050064105232146;0.5540768557473471;0.596808591814933;0.5601511057723536;0.591766507199291;0.6060084972627826;0.5983432612792157
CondProbHyponyms;0.5222626034104176;0.506664189780867;0.5910022897657746;0.579869967576055;0.5810716335043468;0.5805845307668389;0.5467669738829145;0.5390678850333257;0.5931650077788384;0.5798184201957188;0.5939920739336098;0.579869967576055;0.4572932385661076;0.5723373375640338;0.5896129618554493;0.5805845307668389;0.6118304437639537;0.5872991253777557;0.5867183062579615;0.5847457193129355;0.5660211592916732;0.6046054365807061;0.6143519243587103;0.5919828980624795;0.6022765456956727;0.5921903627515549
CondProbUniform;0.36317918516086933;0.36491867694309044;0.5245136795078122;0.5223437950134209;0.5365878531180529;0.5506240772886302;0.46934479427072895;0.4620422351874476;0.5185563952176597;0.5220093746251007;0.5259964188277799;0.5223437950134209;0.39076925489015796;0.5671677361753455;0.5416097568355883;0.5505967376924892;0.604373764580452;0.5825132168584928;0.5408305136340318;0.552976608731206;0.5090661240443106;0.5571827239867824;0.5991869240663614;0.5845971979770331;0.601045439615646;0.6027767440418043
CondProbLeaves;0.5204214638749113;0.5042993657213695;0.5903532617607608;0.5796574736254507;0.580819406087128;0.5799073758965959;0.545657046662982;0.5392368906636503;0.5927027296633955;0.5796059262451145;0.5934484578265868;0.5796574736254507;0.4565291720878464;0.571583223770922;0.5896579391243478;0.5798893909309255;0.6118000924292665;0.5866504934593076;0.5864307845081479;0.5838555298209706;0.5652444853664317;0.6043970741735485;0.6142540581531966;0.5924398671703681;0.6032504044814829;0.5928796062118826
CondProbCosine;0.5273640305870096;0.5150316466026675;0.5934081056340116;0.5821318090896404;0.5841289916581329;0.5827625784585202;0.5489958959265351;0.5413106296349797;0.5958791126727923;0.5820918096282712;0.5964374555717276;0.5821318090896404;0.41688277525874906;0.5745423576035498;0.5919579849776123;0.5827449811438397;0.6062866757203682;0.5897863961434031;0.5871632593297617;0.5848962197091556;0.5687588014007208;0.607042027080074;0.6109488593013936;0.5924384797878774;0.5984077347887967;0.5884355752618277
CondProbLogistic, K=8.0;0.5067838081056751;0.4924920980406079;0.5925910108101421;0.5790846988849525;0.5678628055556578;0.5738441879691087;0.5441196793515272;0.5357738309466273;0.5966470951672599;0.5790449646584713;0.5971737954382133;0.5790846988849525;0.3876435115537327;0.5738441879691087;0.5778095133916525;0.5738441879691087;0.6097787280361354;0.5885158802248213;0.5726215345894968;0.5767008493229165;0.5588772853656918;0.6031811150311468;0.6140679373336791;0.593595189536851;0.5976348465361563;0.5903745545074017
CondProbCorpus,ic-treebank-add1.dat;0.5271483576434659;0.5084940554740809;0.5856178963007774;0.57350927791638;0.556367099716865;0.5577552436937345;0.5404487546526628;0.5334674707772362;0.5843849642994579;0.5734502631538142;0.5862695364032612;0.57350927791638;0.059341767813789394;0.545998482856441;0.5642072861587991;0.5577552436937345;0.6112392841607149;0.5912261625245139;0.5639285209251496;0.5639399194012384;0.5630364205997739;0.6023725770792987;0.6151816380898202;0.5982997933616196;0.575865611419492;0.5662405872218808
CondProbRefHyponyms;0.5203783369804946;0.5076909344347518;0.5935348494591729;0.5822474617021225;0.5864371946201735;0.5856029074640362;0.5525064835461655;0.5470375915366403;0.5961550314345782;0.5822474617021225;0.5966197561661172;0.5822474617021225;0.46894987507018376;0.5856029074640362;0.5950074265333;0.5856029074640362;0.6133102584697928;0.5896182474257934;0.5917921440454345;0.5893791993823699;0.5703803301864727;0.6076296039675875;0.6140792385621395;0.5945552378177617;0.6022765456956727;0.5921903627515549
CondProbRefUniform;0.43728064154905083;0.4437544528857148;0.5703627272797116;0.5599019528632718;0.5562805012087558;0.5639425819514596;0.5180357732635442;0.5097246637433701;0.5718871989722455;0.5599019528632718;0.5728029072892746;0.5599019528632718;0.4268957134247167;0.5639425819514596;0.56120949903938;0.5639278818178628;0.6045939493405403;0.5861455270380445;0.5598786070710168;0.5662221431958274;0.5507042265632053;0.5930729624451883;0.6049841734771082;0.5914488170115945;0.601045439615646;0.6027767440418043
CondProbRefLeaves;0.5186623827017728;0.507279340895384;0.5931145106794068;0.581653947633656;0.5868649784770318;0.5864231157509534;0.5518763347061338;0.5468913757039946;0.5961858318983123;0.581653947633656;0.596514027394853;0.581653947633656;0.4692830770716958;0.5864231157509534;0.595778621516732;0.5863976838057371;0.6131534185273111;0.5891177389909159;0.5921005672659818;0.5901318441822563;0.5696571077771104;0.6074373392778593;0.6138484543899991;0.5943393162162978;0.6032504044814829;0.5928796062118826
CondProbRefCosine;0.5206987828873276;0.5080674251568355;0.5966072483508896;0.5844037397303092;0.5874833680859196;0.5864043962886702;0.5557083343941781;0.5508708579491712;0.5977929539801972;0.5844037397303092;0.5986540005009933;0.5844037397303092;0.4718095092530262;0.5864043962886702;0.5943250425085002;0.5864043962886702;0.6128370487385243;0.5879323532700198;0.5930798737599906;0.5905718586600007;0.572334180325738;0.6098694003814487;0.6140949829298151;0.5919730537676005;0.5941012593490579;0.5863291715939147
