Methods;Resnik-Pearson;Lin-Pearson;JiangConrath-Pearson;Li2003Strategy9-Pearson;Zhou-Pearson;PirroSeco-Pearson;Meng2012-Pearson;Meng2014-Pearson;Gao2015Strategy3-Pearson;WeightedJiangConrath-Pearson;CosineNormJiangConrath-Pearson;CosineNormWeightedJiangConrath-Pearson
Seco;0.8325974731909593;0.8608856647844875;0.854617730700697;0.8240621754886969;0.8727693081997241;0.8621804740537502;0.8595799094299766;0.8485890402427128;0.7991832401940886;0.8519875728648119;0.8642423431432613;0.8633845004785188
Zhou;0.8080464070132319;0.8259482907991288;0.8285977328149263;0.8438180556342205;0.8573677588172316;0.8334330185097475;0.8538634422656382;0.7748905048805801;0.7991832401940886;0.8336819084654996;0.8558455085615312;0.8610294516183795
Sanchez2011;0.8408674683863304;0.8529674375932262;0.861886026114062;0.858605021244015;0.8638602947513733;0.8105194534294756;0.866267699409479;0.814698410415626;0.8682136932543588;0.852575306450792;0.8751501831799813;0.8770408367660595
Sanchez2012;0.8355294283531209;0.8615780048782753;0.850792248571455;0.8615015664620792;0.8535469994402449;0.8331818861926147;0.8600455200031015;0.8474801657108014;0.8677617391142697;0.8503704700826935;0.8606267914112923;0.8614110312681853
Meng;0.8259906371998149;0.8607900919906434;0.8598439577492664;0.8281673177260579;0.8638465270559894;0.8585851341220729;0.8669634120175451;0.8284791056887751;0.7991832401940886;0.8612951143786511;0.8723339518524029;0.8747080241134287
Yuan;0.8242927179764687;0.8621235817684171;0.8504946505358835;0.8231346170616423;0.8629124958780774;0.8607213416466756;0.8674595109601508;0.8272755053868911;0.7991832401940886;0.8473796032019678;0.8631844134391938;0.8624389388886352
Resnik,ic-bnc-resnik-add1.dat;0.8280587304231862;0.8542630231456058;0.8608599485193967;0.8603269204464332;0.8633194228647035;0.8311259485631337;0.8590702353740655;0.8376556410804541;0.8672539200851055;0.8587288496137206;0.8644272237653874;0.8643957173613178
Resnik,ic-brown-resnik-add1.dat;0.8293438207882072;0.8518618432542986;0.8530654464843757;0.8598603558834793;0.8559402798682999;0.8267906197713376;0.8554961432695519;0.8388616840250277;0.8658586616647471;0.8513609541174604;0.858112247378702;0.8597416533517408
Resnik,ic-semcor-add1.dat;0.8256571370467949;0.8505884151342253;0.8550662021290044;0.8604694125552885;0.8576966405025979;0.8278592060604024;0.8521572504565676;0.8401672799202041;0.8659878116550545;0.8539061523298542;0.8590231235194032;0.8604525653622725
Resnik,ic-semcorraw-add1.dat;0.8363059857823952;0.8569459667008805;0.8594926866890541;0.8607810778571933;0.8620188918044102;0.8341549860093372;0.8580992963538883;0.8432149504155814;0.8680344121375417;0.8618275628320032;0.8657661922208478;0.8700390613159995
Resnik,ic-semcorraw-resnik-add1.dat;0.8345149559826182;0.8564033940649411;0.8559582328745948;0.8601759231680441;0.8590455044921631;0.8300621407903148;0.8581041886642187;0.8417089590661553;0.8665347105018117;0.8550781607752527;0.8621827414539963;0.864021352291892
Resnik,ic-shaks-resnink-add1.dat;0.8223371690112249;0.8502143675808362;0.8527698514954626;0.8596331918241864;0.8551048039448078;0.8184854061724184;0.8548864144253298;0.836646778906291;0.8640149360847516;0.858205518468297;0.8637854396002975;0.8703254531605417
Resnik,ic-treebank-add1.dat;0.834480247602867;0.8589029128023998;0.8560919857495354;0.861734340789209;0.8581844892598027;0.8334516118012777;0.8609245797632963;0.8433855111492531;0.8709374014482512;0.8578896997097671;0.8652854233083096;0.8703001839917255
Resnik,ic-treebank-resnik-add1.dat;0.8331074406979926;0.8542029318037427;0.853592145962513;0.860323557458852;0.8564191948763547;0.8259497086539578;0.8588661203810977;0.8391822477599441;0.8672993552242487;0.853900653473397;0.8618083357399872;0.8661452529018553
