Methods;Resnik-Pearson;Lin-Pearson;JiangConrath-Pearson;Li2003Strategy9-Pearson;Zhou-Pearson;PirroSeco-Pearson;Meng2012-Pearson;Meng2014-Pearson;Gao2015Strategy3-Pearson;WeightedJiangConrath-Pearson;CosineNormJiangConrath-Pearson;CosineNormWeightedJiangConrath-Pearson
Seco;0.879874222903542;0.894490904507464;0.8781404774432847;0.8839286896555809;0.8949119049260831;0.8969663987006113;0.9031479359232812;0.8374461911026678;0.8585474722238856;0.8601113270360887;0.8966111090100546;0.8819091044987268
Zhou;0.8357215798025243;0.8419621757862517;0.8372091601598066;0.8896698525521134;0.8724811187825482;0.8563303620392919;0.8806291831504038;0.7488416769190985;0.8585474722238856;0.8247363611871458;0.8726486863646957;0.8593371080669446
Sanchez2011;0.8739655417202489;0.87382570110763;0.8762249309863107;0.8807315169522744;0.8788679711517218;0.8050725207175492;0.8963800210200351;0.7943385265597193;0.8843600911918429;0.8482834296660843;0.8996376382847797;0.884958459448774
Sanchez2012;0.8828531144934687;0.8947907589930243;0.8741643464451767;0.8876906616785669;0.8771220469347133;0.839762258500525;0.9034831071976052;0.8350399496222454;0.8919818991676921;0.8586977514843229;0.8917777810536598;0.8790461656655156
Meng;0.8645407721687277;0.8862858438871181;0.8714952752552406;0.8812820830157284;0.8805286911662508;0.8897242072619137;0.9025458820563411;0.8105546158906195;0.8585474722238856;0.855000469487525;0.8917395328023837;0.8764904373760446
Yuan;0.8654712066472176;0.8895911490807;0.8640908301985267;0.8774180771659141;0.8795545672474671;0.8890652500731246;0.9060534562137853;0.808547201833265;0.8585474722238856;0.8490727287634533;0.8840028790038202;0.8713482871800948
Resnik,ic-bnc-resnik-add1.dat;0.8632254868457087;0.8820865967862781;0.8809125479571337;0.885316146996414;0.8838960908706506;0.8291312964669871;0.8960552150443212;0.8229790750742838;0.8887360140478604;0.8628676015492701;0.8890777135703535;0.8733542445368836
Resnik,ic-brown-resnik-add1.dat;0.8673491372569413;0.881196546596723;0.8749251845876459;0.8856604007249312;0.8783086027591933;0.8276977670568851;0.8942189014032249;0.8253124550502964;0.8888213346580145;0.8565055204563659;0.8873215315354063;0.8729488076088571
Resnik,ic-semcor-add1.dat;0.869227888470568;0.8812183600251303;0.874638586534767;0.8868509083031302;0.87794908622602;0.8288315800879895;0.8926912107559255;0.8274456960023199;0.8900211122118651;0.8579203296869826;0.8875122296964358;0.8743798373565266
Resnik,ic-semcorraw-add1.dat;0.8792133833097691;0.8876441855984396;0.8824886138177552;0.885746643361592;0.8854852637236134;0.8369960723374027;0.8983207799335495;0.8291933187982069;0.8899249557631944;0.8697315779490168;0.8967920615481555;0.8869473683653332
Resnik,ic-semcorraw-resnik-add1.dat;0.8771874032079818;0.8877613611302206;0.8804861821027083;0.88594238268956;0.8838998726413688;0.834788940854303;0.8991359673232108;0.8287676969152771;0.8896594297645145;0.862854200828455;0.894634175866939;0.8809231607507351
Resnik,ic-shaks-resnink-add1.dat;0.8620459108008156;0.8817506313370026;0.8784248295856512;0.886090276357609;0.8808849221869783;0.8238854146120674;0.8961033766835148;0.8251626682861689;0.8879023047094449;0.8669112899760149;0.8966033762390391;0.8875135765473764
Resnik,ic-treebank-add1.dat;0.8735624185287638;0.8877126735654091;0.8749047699475505;0.8857349328395634;0.8777865849689938;0.8327735633991089;0.8988097010265502;0.8286294567837775;0.8909096677830807;0.862029942515461;0.8922395779629574;0.8826103201368193
Resnik,ic-treebank-resnik-add1.dat;0.870405969285622;0.8834820853790492;0.8736211192671026;0.885506955601503;0.8770298511121382;0.8264733252292389;0.8972727555114532;0.8257347393958545;0.8892987627412346;0.8553264208691587;0.8900563300420109;0.8761668327048187
