Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman
Seco;0.879874222903542;0.7734593531468532;0.894490904507464;0.791083916083916;0.8781404774432847;0.7768138111888112;0.8969663987006113;0.7918924825174825;0.9041895615102452;0.791083916083916;0.9031479359232812;0.791083916083916;0.8966111090100546;0.7768138111888112
Zhou;0.8357215798025243;0.772027972027972;0.8419621757862517;0.7867242132867133;0.8372091601598066;0.7999344405594405;0.8563303620392919;0.7937937062937063;0.8905326541032987;0.7867242132867133;0.8806291831504038;0.7867242132867133;0.8726486863646957;0.7999344405594405
Sanchez2011;0.8739655417202489;0.7731643356643356;0.87382570110763;0.7935970279720279;0.8762249309863107;0.8003387237762238;0.8050725207175492;0.7572880244755245;0.9024570268228993;0.7935970279720279;0.8963800210200351;0.7935970279720279;0.8996376382847797;0.8003387237762238
Harispe;0.8699328999932008;0.7516717657342658;0.893288103211469;0.7904173951048952;0.8686056994634299;0.7740712412587413;0.8411488559254354;0.7680397727272728;0.9001465563332159;0.7904173951048952;0.9002794723636037;0.7904173951048952;0.8833528357577412;0.7740712412587413
Sanchez2012;0.8828531144934687;0.7727491258741259;0.8947907589930243;0.7854458041958042;0.8741643464451767;0.7652425699300699;0.839762258500525;0.7680725524475525;0.9042090947929844;0.7854458041958042;0.9034831071976052;0.7854458041958042;0.8917777810536598;0.7652425699300699
Meng;0.8645407721687277;0.75430506993007;0.8862858438871181;0.7775677447552447;0.8714952752552406;0.8126748251748251;0.8897242072619137;0.8121503496503497;0.9057206893757693;0.7775677447552447;0.9025458820563411;0.7775677447552447;0.8917395328023837;0.8126748251748251
Yuan;0.8654712066472176;0.7759178321678322;0.8895911490807;0.7904611013986014;0.8640908301985267;0.7956949300699301;0.8890652500731246;0.8198863636363636;0.9082225717007056;0.7904611013986014;0.9060534562137853;0.7904611013986014;0.8840028790038202;0.7956949300699301
HadjTaieb;0.49150424608320503;0.6140297202797202;0.7961964453557754;0.7463068181818182;0.42606094142224915;0.6093640734265735;0.4659602745737424;0.6107408216783217;0.8167430031666129;0.7463068181818182;0.812507355476958;0.7463068181818182;0.4271713441346072;0.6093640734265735
Resnik,ic-semcorraw-add1.dat;0.8792133833097691;0.7800480769230769;0.8876441855984396;0.7835118006993007;0.8824886138177552;0.7652753496503497;0.8369960723374027;0.7603802447552448;0.899678302125276;0.7835118006993007;0.8983207799335495;0.7835118006993007;0.8967920615481555;0.7652753496503497
Resnik,ic-treebank-add1.dat;0.8735624185287638;0.7783107517482517;0.8877126735654091;0.7660292832167832;0.8749047699475505;0.7717438811188811;0.8327735633991089;0.7421765734265735;0.9002987859397182;0.7660292832167832;0.8988097010265502;0.7660292832167832;0.8922395779629574;0.7717438811188811
CondProbHyponyms;0.8725486725098685;0.7460664335664335;0.8902607485346363;0.7823645104895105;0.8783390896118975;0.7910074300699301;0.8324576275400757;0.7789991258741259;0.9015281880262752;0.7823645104895105;0.9002387899817498;0.7823645104895105;0.8963027466409602;0.7910074300699301
CondProbUniform;0.7077211434673227;0.6996831293706294;0.8041820067385402;0.7852054195804196;0.720371093415991;0.768389423076923;0.6602473012749911;0.690472027972028;0.864354527351343;0.7852054195804196;0.8497732664797055;0.7852054195804196;0.7477788270974545;0.768389423076923
CondProbLeaves;0.8714592520390849;0.7456512237762238;0.8887489695481418;0.7808347902097902;0.8748270520738044;0.7766499125874126;0.8296724449584784;0.7688592657342658;0.9007623295686727;0.7808347902097902;0.8992087085450922;0.7808347902097902;0.8930440954101937;0.7766499125874126
CondProbLogistic, K=8.0;0.8418946639390549;0.7782561188811189;0.8927555362372778;0.7921437937062937;0.8315443047477915;0.7880026223776224;0.8061322900693878;0.7629589160839161;0.9064236924811999;0.7921437937062937;0.9055576869211374;0.7921437937062937;0.8632086559893918;0.7880026223776224
CondProbLogistic, K=10.0;0.8397992097641008;0.7793159965034965;0.8945672760236788;0.7903081293706293;0.8302029180230462;0.7884396853146853;0.8068962571100997;0.7621722027972028;0.9066548729289019;0.7903081293706293;0.9062821773137019;0.7903081293706293;0.8614413178003082;0.7884396853146853
CondProbLogistic, K=12.0;0.8373126858436147;0.7788570804195805;0.8952691695281496;0.7915319055944056;0.827831103640662;0.7831075174825175;0.8060657284256987;0.7656905594405594;0.9064852630672942;0.7915319055944056;0.9064111805734953;0.7915319055944056;0.8591248299879891;0.7831075174825175
CondProbCosine;0.8757363912145092;0.7689466783216783;0.8914983544788682;0.7833697552447553;0.877800604154515;0.7709899475524475;0.8317847611501186;0.7664117132867133;0.9015445417425578;0.7833697552447553;0.9004638780403407;0.7833697552447553;0.8943189106276;0.7709899475524475
CondProbCorpus,ic-semcorraw-add1.dat;0.8714956781419283;0.7739510489510489;0.884344027913691;0.7730441433566433;0.877880236262241;0.7813155594405594;0.8253271829091304;0.7568509615384615;0.8979252277101373;0.7730441433566433;0.8960505328460869;0.7730441433566433;0.8936679029728665;0.7813155594405594
CondProbCorpus,ic-treebank-add1.dat;0.8648783547962109;0.7691215034965035;0.884006558580809;0.757222465034965;0.8710654431397521;0.761451048951049;0.8203354038017484;0.7290646853146854;0.898736821886249;0.757222465034965;0.896369498781892;0.757222465034965;0.8891989564870056;0.761451048951049
