Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman
Seco;0.5339374028691944;0.5209663894350007;0.6009701789522799;0.588830163164342;0.5917863355568332;0.590110074518762;0.5974984621270187;0.5861870362980065;0.6046028720455132;0.588830163164342;0.6047631849663999;0.588830163164342;0.6012501031926184;0.5901244686121034
Zhou;0.5110485090711867;0.502578225929526;0.5778041678692186;0.5840647287381593;0.5824943489548007;0.5945138305712181;0.5802569422689189;0.5766846087867014;0.5984861248036587;0.5840647287381593;0.5945173004936178;0.5840647287381593;0.5972568459589354;0.5945138305712181
Sanchez2011;0.5364236626415448;0.5247787124927265;0.579076325020331;0.5803360770862356;0.5837508350444852;0.5905998001353105;0.5317911553734672;0.5204443459674912;0.5904210362156265;0.5803360770862356;0.5882528402761126;0.5803360770862356;0.5940600119655235;0.5905998001353105
Harispe;0.5309704106756206;0.5191732791764497;0.6045092265136158;0.5917504604885708;0.5775353159046669;0.5735475431496357;0.5634482365656099;0.5616546352040962;0.6038744228254935;0.5917504604885708;0.605559665309532;0.5917504604885708;0.5844399884445943;0.5735475431496357
Sanchez2012;0.5353835779310483;0.5232146223585665;0.5963713436511258;0.5850348355421279;0.5861385429006617;0.5834879040649491;0.5532083018222599;0.5475820779562061;0.599086637332007;0.5850348355421279;0.5995382567519434;0.5850348355421279;0.5944866688308031;0.5834587486299598
Meng;0.49717665371461733;0.48962771427102436;0.5840827913481232;0.5767096122755603;0.5938896736273503;0.5956935851514165;0.5862630641102932;0.5713816350547485;0.5887083678766172;0.5767096122755603;0.5883822968598836;0.5767096122755603;0.6009967935863656;0.5956935851514165
Yuan;0.512026188091573;0.5030069679245329;0.6004028380958615;0.5902538012239977;0.602716127699823;0.602702233440978;0.5980979570865352;0.5868515109003378;0.6063453750147098;0.5902538012239977;0.6061980447057957;0.5902538012239977;0.6105903808437727;0.602702233440978
HadjTaieb;0.20326139115000486;0.3004054115262105;0.4849064212836593;0.4832570987057354;0.21536648898770075;0.3255514029293357;0.3236558897103197;0.4243182545259273;0.492080886495355;0.4832570987057354;0.4895697763523757;0.4832570987057354;0.2177389296506829;0.3255514029293357
Resnik,ic-semcorraw-add1.dat;0.5506072986603185;0.5346332189150832;0.5887993805545346;0.5782251032171768;0.5768175923348604;0.5735784532154222;0.5507498724519513;0.5408323499239795;0.5929504088408015;0.5782251032171768;0.5925732425087326;0.5782251032171768;0.5831647341744417;0.5735784532154222
Resnik,ic-treebank-add1.dat;0.535497009154121;0.5209990643329261;0.5935225638165171;0.5809681012201621;0.5691943575167637;0.5700496458502166;0.5488710669944519;0.5449761859876001;0.5947623049844034;0.5809681012201621;0.5955068837860206;0.5809681012201621;0.5780749175559761;0.5700484930985883
CondProbHyponyms;0.5222626034104176;0.506664189780867;0.5910022897657746;0.579869967576055;0.5810716335043468;0.5805845307668389;0.5467669738829145;0.5390678850333257;0.5931650077788384;0.5798184201957188;0.5939920739336098;0.579869967576055;0.5896129618554493;0.5805845307668389
CondProbUniform;0.36317918516086933;0.36491867694309044;0.5245136795078122;0.5223437950134209;0.5365878531180529;0.5506240772886302;0.46934479427072895;0.4620422351874476;0.5185563952176597;0.5220093746251007;0.5259964188277799;0.5223437950134209;0.5416097568355883;0.5505967376924892
CondProbLeaves;0.5204214638749113;0.5042993657213695;0.5903532617607608;0.5796574736254507;0.580819406087128;0.5799073758965959;0.545657046662982;0.5392368906636503;0.5927027296633955;0.5796059262451145;0.5934484578265868;0.5796574736254507;0.5896579391243478;0.5798893909309255
CondProbLogistic, K=8.0;0.5067838081056751;0.4924920980406079;0.5925910108101421;0.5790846988849525;0.5678628055556578;0.5738441879691087;0.5441196793515272;0.5357738309466273;0.5966470951672599;0.5790449646584713;0.5971737954382133;0.5790846988849525;0.5778095133916525;0.5738441879691087
CondProbLogistic, K=10.0;0.5064884469126983;0.49613324258219627;0.592682991654509;0.5771737019200558;0.5631732481013305;0.569557696341146;0.5431441322725675;0.5357507453100351;0.5954612779046946;0.5771339676935745;0.5963668964394566;0.5771737019200558;0.5727048160052014;0.5695786600986348
CondProbLogistic, K=12.0;0.5053763536289968;0.4944584372850067;0.592340972862642;0.5763038539037271;0.5590920555516293;0.5653170189394032;0.5415842900953591;0.5360693740211813;0.5942335467432982;0.5762641196772459;0.5954202012379433;0.5763038539037271;0.5683860091928826;0.5653170189394032
CondProbCosine;0.5273640305870096;0.5150316466026675;0.5934081056340116;0.5821318090896404;0.5841289916581329;0.5827625784585202;0.5489958959265351;0.5413106296349797;0.5958791126727923;0.5820918096282712;0.5964374555717276;0.5821318090896404;0.5919579849776123;0.5827449811438397
CondProbCorpus,ic-semcorraw-add1.dat;0.5403721831837535;0.5221120817347831;0.581601953131574;0.5712429886177508;0.5674747160155549;0.5640038512105728;0.5433664699528394;0.5317168185034387;0.5837461412399604;0.5711984393579194;0.584327128679808;0.5712429886177508;0.5730806280287934;0.5640038512105728
CondProbCorpus,ic-treebank-add1.dat;0.5271483576434659;0.5084940554740809;0.5856178963007774;0.57350927791638;0.556367099716865;0.5577552436937345;0.5404487546526628;0.5334674707772362;0.5843849642994579;0.5734502631538142;0.5862695364032612;0.57350927791638;0.5642072861587991;0.5577552436937345
