Methods;Resnik-Pearson;Resnik-Spearman;Lin-Pearson;Lin-Spearman;JiangConrath-Pearson;JiangConrath-Spearman;PirroSeco-Pearson;PirroSeco-Spearman;FaITH-Pearson;FaITH-Spearman;Meng2012-Pearson;Meng2012-Spearman;CosineNormJiangConrath-Pearson;CosineNormJiangConrath-Spearman
Seco;0.8325974731909593;0.7734812062937063;0.8608856647844875;0.7972465034965035;0.854617730700697;0.7866477272727272;0.8621804740537502;0.8012237762237762;0.8564817066065304;0.7972465034965035;0.8595799094299766;0.7972465034965035;0.8642423431432613;0.7866477272727272
Zhou;0.8080464070132319;0.7690450174825175;0.8259482907991288;0.7881446678321679;0.8285977328149263;0.8050808566433567;0.8334330185097475;0.7957932692307692;0.858862416720795;0.7881446678321679;0.8538634422656382;0.7881446678321679;0.8558455085615312;0.8050808566433567
Sanchez2011;0.8408674683863304;0.771416083916084;0.8529674375932262;0.7944493006993008;0.861886026114062;0.803409090909091;0.8105194534294756;0.7671328671328671;0.8683255912693826;0.7944493006993008;0.866267699409479;0.7944493006993008;0.8751501831799813;0.803409090909091
Harispe;0.8203207003787388;0.7600524475524475;0.8588868612033383;0.7977272727272727;0.845965418532335;0.7882867132867133;0.8347692781842172;0.7866477272727272;0.850858421457997;0.7977272727272727;0.8553280000925407;0.7977272727272727;0.8545564390006687;0.7882867132867133
Sanchez2012;0.8355294283531209;0.7706402972027973;0.8615780048782753;0.7910729895104895;0.850792248571455;0.777895541958042;0.8331818861926147;0.7855659965034965;0.8565026586928691;0.7910729895104895;0.8600455200031015;0.7910729895104895;0.8606267914112923;0.777895541958042
Meng;0.8259906371998149;0.7607408216783217;0.8607900919906434;0.7816542832167832;0.8598439577492664;0.8166193181818182;0.8585851341220729;0.8139532342657343;0.865804411528942;0.7816542832167832;0.8669634120175451;0.7816542832167832;0.8723339518524029;0.8166193181818182
Yuan;0.8242927179764687;0.774180506993007;0.8621235817684171;0.791881555944056;0.8504946505358835;0.8049934440559441;0.8607213416466756;0.8205965909090909;0.8649002332408754;0.791881555944056;0.8674595109601508;0.791881555944056;0.8631844134391938;0.8049934440559441
HadjTaieb;0.4658146561683516;0.5990493881118881;0.782460739732444;0.7417067307692308;0.45426160547053474;0.6125874125874126;0.5090316921619693;0.6123033216783217;0.7932605028433932;0.7417067307692308;0.7924093527900442;0.7417067307692308;0.455215301736847;0.6125874125874126
Resnik,ic-semcorraw-add1.dat;0.8363059857823952;0.778791520979021;0.8569459667008805;0.7922093531468531;0.8594926866890541;0.781042395104895;0.8341549860093372;0.7820476398601399;0.8554197079438668;0.7922093531468531;0.8580992963538883;0.7922093531468531;0.8657661922208478;0.781042395104895
Resnik,ic-treebank-add1.dat;0.834480247602867;0.777687937062937;0.8589029128023998;0.7761035839160839;0.8560919857495354;0.7830965909090909;0.8334516118012777;0.763319493006993;0.8585423811274183;0.7761035839160839;0.8609245797632963;0.7761035839160839;0.8652854233083096;0.7830965909090909
CondProbHyponyms;0.8282921817758568;0.7561188811188811;0.8587097806476169;0.7887565559440559;0.8561807460305504;0.8016717657342658;0.8285591650892674;0.794110576923077;0.8555971645559847;0.7887565559440559;0.8585447463874701;0.7887565559440559;0.8658209648098654;0.8016717657342658
CondProbUniform;0.6843940204722703;0.7003168706293706;0.795762176540846;0.778638548951049;0.7227750363726696;0.7612652972027972;0.6840133928128094;0.6929960664335664;0.8424529278094861;0.778638548951049;0.8323436811899922;0.778638548951049;0.7472678529261909;0.7612652972027972
CondProbLeaves;0.827175107644664;0.7549388111888111;0.8575277720940063;0.7867679195804196;0.8535363965204875;0.7876857517482517;0.8263012943798385;0.78475743006993;0.8550033370222462;0.7867679195804196;0.8577689860153181;0.7867679195804196;0.8634832780478829;0.7876857517482517
CondProbLogistic, K=8.0;0.8020878266463275;0.7833369755244756;0.8681142124690923;0.7966018356643356;0.8260172094404162;0.7993116258741259;0.8146541338091342;0.7791848776223776;0.8651950104184485;0.7966018356643356;0.8692118781913242;0.7966018356643356;0.8500608841817983;0.7993116258741259
CondProbLogistic, K=10.0;0.7997523843810568;0.7777972027972028;0.8688646947865043;0.7934112762237762;0.8236042666581544;0.7993116258741259;0.8137678411412153;0.7782451923076923;0.8644605648092961;0.7934112762237762;0.8688791809357919;0.7934112762237762;0.8477977370500649;0.7993116258741259
CondProbLogistic, K=12.0;0.7972060497165814;0.7772727272727273;0.868922861851414;0.7948317307692307;0.8206226439558464;0.7942198426573427;0.8119259839643389;0.781042395104895;0.8637428297139894;0.7948317307692307;0.8683860800857308;0.7948317307692307;0.8452300556464192;0.7942198426573427
CondProbCosine;0.8294278867553692;0.7710336538461539;0.8590649873091792;0.7896306818181819;0.8539502801197586;0.7834899475524475;0.8265255036364012;0.7829654720279721;0.8550254379841365;0.7896306818181819;0.8580773061095638;0.7896306818181819;0.8633900174799792;0.7834899475524475
CondProbCorpus,ic-semcorraw-add1.dat;0.8320784974320603;0.7759724650349651;0.8548827709085377;0.7805506993006993;0.8567590021441379;0.7916302447552448;0.824987268688692;0.7762893356643357;0.8548805779394145;0.7805506993006993;0.8570700038128426;0.7805506993006993;0.8647085837073112;0.7916302447552448
CondProbCorpus,ic-treebank-add1.dat;0.8296432456352459;0.7702469405594405;0.8559977534550375;0.7651660839160839;0.8527194714427242;0.772159090909091;0.8223236760669166;0.7515187937062937;0.8574851172276086;0.7651660839160839;0.8591202401709517;0.7651660839160839;0.8633389653372884;0.772159090909091
