C0311394;C0231685;6.69
C0035450;C0034079;2.38
C0409162;C0333286;1
C0011849;C0032584;1
C0020541;C0027962;1
C0018802;C0020541;1.69
C0085649;C0034063;3.92
C0022650;C0041956;4.69
C0004604;C0037944;5.31
C1956089;C0018862;4
C0003873;C0035450;7.08
C0009871;C1444657;1
C0020971;C0021051;2.15
C0026848;C0011633;4.46
C2267026;C0020473;2.23
C0004093;C0442874;4.08
C0013404;C0231835;4.08
C0034065;C0019079;2.77
C0029408;C0221434;2.85
C0231736;C0231749;3.77
C0332536;C0024796;2.08
C0458343;C0016053;3.54
C0457086;C0003873;5.69
C0038454;C0018989;5
C0006121;C1269897;4.23
C0011167;C0031133;4.38
C0011168;C0679317;3.77
C0429103;C0027051;5.23
C1510420;C0041296;4.08
C0027627;C0205699;8.23
C1956391;C0018681;4.69
C0003243;C0443146;5.23
C0034735;C0022116;4.85
C0011644;C0036421;5
C0032285;C0332448;4.85
C0020877;C0010346;6.85
C0030472;C1306459;5.31
C0003873;C1396859;6.15
C0027540;C1547030;1.92
C0011991;C0009319;5.54
C0013395;C0030920;5.23
C0009676;C0011253;6.08
C0018524;C0033975;6
C0038362;C0149745;6.85
C0034065;C0032285;3.23
C0003873;C0003904;3.77
C1533685;C1253936;3.31
C0042164;C0019740;2.23
C0042384;C0040053;3
C0243026;C0020649;1.69
C0042109;C0277942;5.31
C0017196;C0162429;4.31
C0013604;C0017654;2.38
C0009378;C0032584;5.46
C0010137;C1563292;2.85
C0003507;C0006660;5.62
C0024530;C0002438;3.15
C0442874;C0522224;2.85
C0036572;C0018681;3.31
C0333997;C0043352;1
C0036202;C0042866;1.46
C0023223;C0042345;3.92
C0080331;C0432601;4.38
C0030326;C0023798;3.15
C0003811;C0026264;3.31
C0019054;C1561562;5.46
C0013378;C0011167;1.92
C0013394;C0029965;2.31
C0030842;C0020517;3
C0023418;C0038250;5.08
C0376358;C0001109;1.69
C0224498;C0029408;2.62
C0037473;C0024485;1
C0033706;C0039142;1.77
C0026764;C0011581;1.08
C0011849;C0035450;1
C0220982;C0409974;1.23
C0040583;C0007102;1
C0037199;C0442041;2.85
C0267809;C0376180;1
C0018801;C0033975;1
C0034887;C0023055;1
C0162595;C0702166;1.08
C0233651;C1527356;1.31
C0005587;C0232208;1
C0026269;C0030920;1
C0035222;C0007642;1
C0037926;C0886052;1
C0158280;C0023891;1
C0241910;C0022876;1
C0917996;C0034065;1.46
C0149925;C0011860;1
C0018926;C0043352;1.54
C0010043;C0011127;2
C0013404;C0231528;1
C0024117;C0018520;1.08
C0029408;C0392525;1
C0262538;C0040479;1.08
C0034069;C0003615;1
C0007286;C0549493;1
C0041834;C0029456;1.54
