competitor;rival;0.95
rock;stone;0.95
domestic animal;grazing animal;0.75
lunch;dinner;0.95
japanese;chinese;0.75
grazing animal;domesticated animal;0.8
caged animal;game animal;0.85
sri lanka;costa rica;0.9
polo;weight lifting;0.6
microsoft;apple;0.9
rock;jazz;0.9
wild animal;native animal;0.65
romania;sri lanka;0.9
food processing;hospitality;0.15
turkey;sierra leone;0.8
hospital;school;0.65
time;national geographic;0.5
orange;red;0.9
birth date;credit card number;0.35
procter & gamble;apple;0.55
supper;dinner;0.95
range;appliance;0.7
fox;nbc;0.75
twitter;facebook;0.75
bank;citibank;0.9
manufacturing;trading;0.7
spring;summer;0.9
mouse;prairie dog;0.85
general mills;avon;0.45
sun;coca-cola;0.7
nokia;cisco systems;0.8
spirit;cocktail;0.85
country;united kingdom;0.85
monsanto;sun microsystems;0.6
white;cream;0.75
chicken;beef;0.85
rodent;rat;0.9
business;bakery;0.7
business;restaurant;0.55
fruit;apple;0.8
company;coca cola;0.8
video;music;0.8
country;czech republic;0.85
java;perl;0.9
company;bank of america;0.8
country;united states;0.85
company;wells fargo;0.8
mild steel;paper towel;0.25
sun;wind power;0.9
insurance company;big company;0.8
company;american express;0.8
eu country;western country;0.9
worm;ear mite;0.85
fresh;egg;0.5
store;grocery;0.9
company;morgan stanley;0.8
company;goldman sachs;0.8
country;costa rica;0.85
company;cisco systems;0.7
company;barclays;0.8
spectator sport;professional sport;0.75
fox;polar bear;0.7
company;oil company;0.8
gold;chocolate brown;0.65
emerging economy;market;0.7
company;general mills;0.5
giant;large company;0.6
company;hewlett packard;0.75
turkey;corned beef;0.8
organized sport;sport;0.85
company;deutsche bank;0.55
company;technology company;0.8
apple;ipad;0.2
company;icici bank;0.8
sport;table tennis;0.8
sport;ice hockey;0.8
stone;paper towel;0.1
dog;sea turtle;0.65
bank;bank of america;0.9
coal mining;medical device;0.1
notebook;laptop computer;0.95
company;standard chartered;0.8
racquetball;ice skating;0.85
liquid;black tea;0.8
cold-blooded animal;exotic animal;0.7
orange;water melon;0.9
country;asian country;0.85
firm;large company;0.75
sport;sport event;0.9
pie;cookie;0.9
food;baked good;0.75
technology company;microsoft;0.85
domesticated animal;pet;0.9
high impact sport;competitive sport;0.85
blue berry;apple;0.9
shell;exxon mobil corp.;0.85
animal;exotic animal;0.85
domestic pet;domesticated animal;0.9
country;hong kong;0.35
animal;blue jay;0.75
native animal;exotic animal;0.65
summer fruit;climacteric fruit;0.7
date;anniversary;0.75
vegetable;turnip;0.8
company;international company;0.85
small country;neighboring country;0.7
feral animal;grazing animal;0.65
feast;easter;0.45
citrus juice;fruit juice;0.9
sweet;cookie;0.8
room;kitchen;0.8
meal;lunch;0.85
school;new school;0.85
flower;mum;0.75
gold;stainless steel;0.8
social event;dinner;0.75
racquet sport;outdoor sport;0.85
stone fruit;frozen fruit;0.75
vegetable;bean;0.8
popular sport;athletic event;0.8
game animal;exotic animal;0.65
global company;multinational company;0.95
cost;food;0.6
vegetable;eggplant;0.75
sport;martial art;0.75
vegetable;pepper;0.8
spring;river;0.7
vegetable;beet;0.6
animal;german shepherd;0.75
animal;poodle;0.8
date;asian pear;0.5
recreational sport;intramural sport;0.85
tree fruit;berry;0.7
team sport;olympic sport;0.85
small fruit;red fruit;0.7
range;food processor;0.75
insect;caterpillar;0.8
guinea pig;elephant;0.7
athletic event;intramural sport;0.8
sport;kick boxing;0.75
public place;street;0.7
experimental scientist;chemist;0.8
forest animal;caged animal;0.65
marine animal;cold-blooded animal;0.65
india;developing country;0.8
product;instant coffee;0.8
insect;cockroach;0.8
ruminant animal;farm animal;0.8
exotic animal;feral animal;0.7
combat sport;sport;0.85
produce;acidic fruit;0.1
acid;vinegar;0.85
ice;storm;0.7
endangered animal;predatory animal;0.7
bus;flight;0.75
grazing animal;large animal;0.7
nocturnal animal;exotic animal;0.55
sport event;recreational sport;0.75
passion fruit;blackberry;0.85
date;valentine's day;0.85
neighboring country;nation;0.65
tropical fruit;citrus fruit;0.75
developing country;country;0.85
big player;key player;0.95
international company;competitor;0.35
dry fruit;red fruit;0.65
insect;ladybug;0.8
mouse;mp3 player;0.6
athletics;olympic sport;0.8
active sport;athletic event;0.85
role;mentor;0.8
contact sport;winter sport;0.75
social animal;caged animal;0.6
employer;large corporation;0.6
outdoor sport;athletics;0.85
animal;flying squirrel;0.8
adventure sport;popular sport;0.85
citrus juice;dry fruit;0.5
spectator sport;water sport;0.75
juicy fruit;frozen fruit;0.75
animal;monarch butterfly;0.8
asian country;western country;0.75
endurance sport;racquet sport;0.7
leader;gandhi;0.8
rival;multinational company;0.3
farm animal;aquatic animal;0.7
animal;polar bear;0.8
