gem;jewel;3.563
midday;noon;3.247
automobile;car;3.421
cemetery;graveyard;3.43
cushion;pillow;3.134
boy;lad;3.026
cock;rooster;3.143
implement;tool;2.644
forest;woodland;2.975
coast;shore;3.026
autograph;signature;2.676
journey;voyage;2.945
serf;slave;2.554
grin;smile;2.713
glass;tumbler;2.504
cord;string;2.614
hill;mound;2.535
magician;wizard;2.885
furnace;stove;2.325
asylum;madhouse;2.658
brother;monk;1.997
food;fruit;1.757
bird;cock;1.661
bird;crane;1.684
oracle;sage;2.216
sage;wizard;1.893
brother;lad;1.525
crane;implement;1.356
magician;oracle;1.59
glass;jewel;1.146
cemetery;mound;1.253
car;journey;1.176
hill;woodland;1.066
crane;rooster;1.271
furnace;implement;1.111
coast;hill;0.961
bird;woodland;0.878
shore;voyage;0.931
cemetery;woodland;0.697
food;rooster;1.048
forest;graveyard;0.801
lad;wizard;0.752
mound;shore;0.753
automobile;cushion;0.584
boy;sage;0.585
monk;oracle;1.166
shore;woodland;0.756
grin;lad;0.589
coast;forest;0.733
asylum;cemetery;0.672
monk;slave;0.695
cushion;jewel;0.582
boy;rooster;0.643
glass;magician;0.509
graveyard;madhouse;0.562
asylum;monk;0.721
asylum;fruit;0.393
grin;implement;0.515
mound;stove;0.494
automobile;wizard;0.461
autograph;shore;0.45
fruit;furnace;0.438
noon;string;0.443
rooster;voyage;0.421
cord;smile;0.476
