undated;undatable;5.83
dispossess;deprive;6.83
provincialism;narrow-mindedness;8.11
provincialism;partiality;4.5
instrumentality;department;3
instrumentality;utility;7.29
involvement;action;6.86
involvement;implication;4.17
ecclesiastic;clergyman;8.67
brigadier;general;8.17
carbonic;chemical;5.17
carbonic;paper;5.17
aspirate;pronounce;5.2
aspirate;remove;2.5
monotype;machine;5.25
incommensurate;incommensurable;7.6
cognizance;knowing;9.44
urbanize;change;5.67
imperfection;state;0.29
assessment;charge;4.4
assessment;assay;5.83
incubate;breed;6.4
incubate;develop;7.2
principality;domain;7.62
vicarious;abnormal;0.12
vicarious;secondary;6.5
ungraceful;awkward;8.5
unsighted;color-blind;5.29
socialise;educate;6.12
socialise;swing;1
naturalise;adapt;7.75
insubordinate;rebellious;9
insubordinate;defiant;9.56
antifeminism;sexism;8.6
excommunicate;oust;8.2
accomplished;over;5
tenderize;change;5.88
soulfully;emotional;7.6
elector;voter;7.83
intentionality;intended;8.4
vulgarism;profanity;9.62
vulgarism;inelegance;6.29
preliterate;illiterate;4.71
preliterate;noncivilized;4.43
marginalize;interact;2.5
hyperlink;link;9.12
alleviated;comfort;6
alleviated;help;6
postmodernism;genre;2.8
comfortable;cozy;8.83
unfeathered;unfledged;7.14
unfeathered;plucked;8
assigned;regiment;3.8
assigned;allow;3.5
unheralded;unexpected;7.57
tricolour;flag;5.8
omnipotence;state;0.86
calcify;harden;8.12
calcify;change;4.83
disinheritance;discontinuance;5.67
cession;relinquishment;6.67
dwarfish;small;8.38
antipsychotic;lithium;8.17
circumferential;peripheral;7.33
nonpublic;private;10
yodeling;sing;7.71
yodeling;singing;7.5
autoerotic;sexy;8.44
unaccessible;pathless;7.25
monogram;symbol;7.25
opalescence;brightness;7.89
estrogenic;hormone;8
misleading;beat;1.25
consubstantial;considerable;5.4
coeducation;education;7.71
canonical;standard;6
galvanic;exciting;6
nominated;nominate;8.33
nominated;choose;8.67
exceedance;probability;5
confide;consign;5.14
confide;unwrap;0.67
established;initiate;5.86
condescend;act;2.2
tricycle;pedicab;6
discharged;spread;4.57
postmodernist;artist;6.57
ruralist;rustic;7.86
ruralist;advocate;0.67
detestable;offensive;8.75
detestable;hateful;9.62
comparing;compare;10
comparing;analogize;8
hypercoaster;roller;3.25
pittance;payment;5.14
soulless;insensitive;7.17
hypermarket;supermarket;5
confluent;branch;4.2
confluent;convergent;6.29
reasoning;deduce;8
reasoning;re-argue;4
antechamber;room;7.88
concavity;shape;6.67
concavity;recess;7.67
spoonful;containerful;4.2
partible;divisible;7.71
hypersensitive;susceptible;6.33
impurity;adulteration;6.33
impurity;waste;4.83
inscribe;engrave;8.67
infectious;septic;7
infectious;contagious;9.25
retrace;return;7.25
deadness;quality;0.38
deadness;inelasticity;4.29
conformism;legalism;3.67
lastingly;wear;3
lastingly;populate;0.43
unexpected;unannounced;8
interlink;intercommunicate;7
interlink;connect;9.22
subfamily;group;8
encrust;coat;8.44
encrust;decorate;6.71
wingless;flightless;8.8
intraspecific;interspecies;5.5
suppressor;gene;3.75
suppressor;restrainer;9.22
expound;elaborate;8.67
expound;detail;8.88
wealthy;rich;9.67
eventful;important;7.86
eventful;lively;7.57
edgeless;dull;7.43
clownish;humorous;7.67
inquisitor;thousand;0.29
inquisitor;inquirer;7.8
extravert;extroversive;7.83
finality;conclusive;8.57
gibberish;dutch;4
championship;status;4.6
championship;contest;6.22
indelicate;indecent;5.88
indelicate;tasteless;7.33
flighted;fly;8.2
flighted;shoot;2.4
backwardness;idiocy;6.38
discontinuous;disjunct;7.8
cheapen;devalue;10
flatulence;physical;3.2
venomous;toxic;9.78
venomous;malicious;7.14
impotently;ineffective;8.67
deviationism;desertion;3
capitation;tax;6
denominate;label;5.71
illiberal;narrow-minded;8.86
periodical;nightly;5.8
periodical;publication;9.14
distillate;liquid;8
returning;bounce;4.17
dictatorship;state;6.75
postglacial;cold;6.17
cylindrical;rounded;8.4
nonpolitical;apolitical;9.5
circumference;size;7.83
librarianship;position;5.4
conductive;semiconducting;4.4
entreaty;request;8.5
convertible;car;7.29
convertible;security;0.38
constitutive;essential;6
hankering;desire;8.6
hankering;longing;9.12
circumnavigate;circle;7.25
criticality;juncture;2
criticality;urgency;7.29
mistrustful;distrustful;7.43
presuppose;imply;7.43
presuppose;premise;6.75
mayoralty;position;6.71
primates;priest;0.5
omnipotent;powerful;9.38
loveable;desirable;8.83
contrastive;different;9.33
contrastive;antonymous;5.4
clamorous;noisy;9.44
baseness;unworthiness;4
immeasurable;incalculable;9.33
immeasurable;illimitable;8.43
deregulating;liberation;8
deregulating;exempt;6.62
acceptable;satisfactory;8.4
acceptable;standard;7.83
nonviable;dead;7.29
publicise;tell;8.29
reenact;re-create;8.67
reenact;ordain;1.67
interstellar;major;7
scattered;separate;8
admiralty;department;4.5
admiralty;position;7
autobiographer;biographer;7
supplement;constitute;3.6
supplement;leverage;2.6
brightness;intelligence;8.38
brightness;radiance;9.5
reserve;assign;6.43
reserve;withhold;8.62
unflagging;constant;6.33
unflagging;energetic;3.6
preschooler;child;7.75
willingness;wholeheartedness;7.71
unacceptable;unsatisfactory;8.89
unacceptable;unwelcome;7
directionless;purposeless;8.4
fantasist;creator;5.4
adversely;unfavorable;8.43
humanness;quality;4.8
autofocus;optical;6.71
conversely;interview;0.38
conversely;proposition;0.14
ceaseless;continuous;9.33
hybridise;breed;6.86
antitumor;brain;0.71
parallelism;similarity;8.17
sightedness;sight;6.88
subarctic;polar;7.29
subarctic;overshoe;0.14
sufferance;self;2.29
uncomprehending;undiscerning;6.57
regretful;penitent;8.78
steepen;change;3.83
transfuse;breathe;3
transfuse;pour;4.89
hyperextension;extension;6.25
hilarity;gaiety;7.71
appearance;apparition;4.71
transmissible;infectious;8
transmissible;inheritable;6.5
wheaten;source;2.4
magnetize;charm;5
magnetize;change;3
militarize;change;3.17
circumspect;prudent;6
translocate;transfer;6.86
macroevolution;evolution;7
adventism;christianity;6.75
breather;submarine;1.25
breather;respite;8.62
disabused;inform;4.4
contravene;deny;6.33
contravene;transgress;8
icelandic;scandinavian;7.5
uncertainty;speculativeness;8
associational;legion;4.4
associational;affiliation;9
luxuriance;abundance;8.86
impeded;obstruct;9.11
impeded;dam;6.4
irremovable;tenured;6.5
utilitarianism;doctrine;0.71
puffery;flattery;7.4
macrocosmic;large;7.38
functionality;practicality;8.11
instructorship;position;0.86
approved;authorize;8.89
approved;rubberstamp;5.4
headship;position;5.4
credentials;document;6.2
credentials;certificate;7.5
caramelize;convert;3.29
deformity;appearance;5
responsible;causative;6
undisputable;undeniable;9.25
reassess;measure;7.14
colonise;settle;9.11
subserve;help;7
religionist;person;5.33
sanctioned;empower;5.71
sanctioned;back;5
suggestible;susceptible;5.33
warmness;protectiveness;6
warmness;hotness;8.57
cardinality;number;5.86
rotational;transformation;4.29
rotational;circumvolution;7.62
totalism;political;4.38
irrationality;insanity;8
absorbance;density;6
intracerebral;emotional;4.14
disjoined;separate;9.86
intramuscular;powerful;5.29
endangerment;hazard;9.67
decomposition;fragmentation;6.71
decomposition;algebra;2.4
characterless;ordinary;7.33
subspecies;group;6.57
irreproducible;unrepeatable;8.62
embellishment;expansion;6.67
encyclopaedic;comprehensive;7.67
indispensable;critical;7.89
indispensable;necessary;7.5
anamorphosis;evolution;7.8
anamorphosis;copy;3.4
dispersive;distributive;7.29
smoothen;rub;7
interpreter;person;4.86
interpreter;symbolist;2
obtainment;acquiring;9
nonprofessional;lay;5.75
protraction;continuance;6.5
exclaiming;call;6.75
exclaiming;declare;7.78
passable;satisfactory;8
passable;negotiable;3.5
undetectable;invisible;8.89
undetectable;imperceptible;8.2
endurable;tolerable;8.4
supposed;speculate;7.67
supposed;suspect;6.44
transact;bank;5.75
survivalist;person;4.57
increasing;grow;8.29
increasing;up;6.4
fabricate;make;9.22
fabricate;think;4.2
partnership;partner;8.67
partnership;relationship;7.83
microorganism;organism;7.12
repress;suppress;8
dimensional;multidimensional;6.86
performance;universe;0.89
performance;musical;6.83
feudalism;organization;5
behaviorist;psychologist;8.67
interjection;break;7.14
interjection;exclamation;8
subeditor;editor;6.71
standardize;regulate;8.38
standardize;measure;4.6
seriousness;badness;5.8
seriousness;gravity;7.67
metabolism;organic;5.8
replication;procedure;4.5
replication;copying;9.38
highjacking;robbery;9.33
highjacking;seize;9
unsuitable;unfit;10
unsuitable;irrelevant;5
victorious;successful;9.5
victorious;undefeated;8.6
ravenous;gluttonous;7.6
ravenous;hungry;6.67
flavourful;tasty;9.62
spaciousness;largeness;9.67
evidently;obvious;9.38
evidently;noticeable;9
crudeness;wild;4.43
crudeness;impoliteness;9
initialise;divide;0.86
