Holiday Inn;Valentine’s Day;1.882
Blockbuster;Nike;1.588
Inland Revenue;Love;1.216
Google;GMail;4.118
Love  Quotes;TV  Guide;1.549
PC World;United Airlines;1.235
Jokes;Quotes;2.294
Delta Airlines;Love  Poems;1.098
Britney  Spears;Paris Hilton;3.804
NASA;Super  Bowl;1.392
Periodic Table;Toyota;1.176
WinZIP;Zip Code  Finder;1.902
EasyJet;Cheap Flights;4.294
People Search;White Pages;3.843
Tsunami;Harry Potter;1.098
BBC;Jennifer Lopez;1.686
U2;Recipes;1.157
Thesaurus;US Airways;1.118
XBOX Cheats;Yahoo Games;2.941
Currency Converter;Exchange Rates;4.137
Flowers;Weather;2.765
Used Cars;Virgin;1.431
Eminem;Music;4.137
Cars;Honda;4.176
Lyrics;Real Player;2.588
Free Games;XBOX 2;2.549
MSN Messenger;UPS;1.706
Microsoft;Internet Explorer;4.314
Poems;Song Lyrics;3.647
Delta Airlines;Walmart;1.725
